Date,XAU BGN Curncy
1920-01-30,20.68
1920-02-27,20.68
1920-03-31,20.68
1920-04-30,20.68
1920-05-31,20.68
1920-06-30,20.68
1920-07-30,20.68
1920-08-31,20.68
1920-09-30,20.68
1920-10-29,20.68
1920-11-30,20.68
1920-12-31,20.68
1921-01-31,20.58
1921-02-28,20.58
1921-03-31,20.58
1921-04-29,20.58
1921-05-31,20.58
1921-06-30,20.58
1921-07-29,20.58
1921-08-31,20.58
1921-09-30,20.58
1921-10-31,20.58
1921-11-30,20.58
1921-12-30,20.58
1922-01-31,20.66
1922-02-28,20.66
1922-03-31,20.66
1922-04-28,20.66
1922-05-31,20.66
1922-06-30,20.66
1922-07-31,20.66
1922-08-31,20.66
1922-09-29,20.66
1922-10-31,20.66
1922-11-30,20.66
1922-12-29,20.66
1923-01-31,21.32
1923-02-28,21.32
1923-03-30,21.32
1923-04-30,21.32
1923-05-31,21.32
1923-06-29,21.32
1923-07-31,21.32
1923-08-31,21.32
1923-09-28,21.32
1923-10-31,21.32
1923-11-30,21.32
1923-12-31,21.32
1924-01-31,20.69
1924-02-29,20.69
1924-03-31,20.69
1924-04-30,20.69
1924-05-30,20.69
1924-06-30,20.69
1924-07-31,20.69
1924-08-29,20.69
1924-09-30,20.69
1924-10-31,20.69
1924-11-28,20.69
1924-12-31,20.69
1925-01-30,20.64
1925-02-27,20.64
1925-03-31,20.64
1925-04-30,20.64
1925-05-29,20.64
1925-06-30,20.64
1925-07-31,20.64
1925-08-31,20.64
1925-09-30,20.64
1925-10-30,20.64
1925-11-30,20.64
1925-12-31,20.64
1926-01-29,20.63
1926-02-26,20.63
1926-03-31,20.63
1926-04-30,20.63
1926-05-31,20.63
1926-06-30,20.63
1926-07-30,20.63
1926-08-31,20.63
1926-09-30,20.63
1926-10-29,20.63
1926-11-30,20.63
1926-12-31,20.63
1927-01-31,20.64
1927-02-28,20.64
1927-03-31,20.64
1927-04-29,20.64
1927-05-31,20.64
1927-06-30,20.64
1927-07-29,20.64
1927-08-31,20.64
1927-09-30,20.64
1927-10-31,20.64
1927-11-30,20.64
1927-12-30,20.64
1928-01-31,20.66
1928-02-29,20.66
1928-03-30,20.66
1928-04-30,20.66
1928-05-31,20.66
1928-06-29,20.66
1928-07-31,20.66
1928-08-31,20.66
1928-09-28,20.66
1928-10-31,20.66
1928-11-30,20.66
1928-12-31,20.66
1929-01-31,20.63
1929-02-28,20.63
1929-03-29,20.63
1929-04-30,20.63
1929-05-31,20.63
1929-06-28,20.63
1929-07-31,20.63
1929-08-30,20.63
1929-09-30,20.63
1929-10-31,20.63
1929-11-29,20.63
1929-12-31,20.63
1930-01-31,20.65
1930-02-28,20.65
1930-03-31,20.65
1930-04-30,20.65
1930-05-30,20.65
1930-06-30,20.65
1930-07-31,20.65
1930-08-29,20.65
1930-09-30,20.65
1930-10-31,20.65
1930-11-28,20.65
1930-12-31,20.65
1931-01-30,20.63
1931-02-27,20.63
1931-03-31,20.63
1931-04-30,20.63
1931-05-29,20.63
1931-06-30,20.63
1931-07-31,20.63
1931-08-31,20.63
1931-09-30,20.63
1931-10-30,20.63
1931-11-30,20.63
1931-12-31,20.63
1932-01-29,20.69
1932-02-29,20.69
1932-03-31,20.69
1932-04-29,20.69
1932-05-31,20.69
1932-06-30,20.69
1932-07-29,20.69
1932-08-31,20.69
1932-09-30,20.69
1932-10-31,20.69
1932-11-30,20.69
1932-12-30,20.69
1933-01-31,26.33
1933-02-28,26.33
1933-03-31,26.33
1933-04-28,26.33
1933-05-31,26.33
1933-06-30,26.33
1933-07-31,26.33
1933-08-31,26.33
1933-09-29,26.33
1933-10-31,26.33
1933-11-30,26.33
1933-12-29,26.33
1934-01-31,34.69
1934-02-28,34.69
1934-03-30,34.69
1934-04-30,34.69
1934-05-31,34.69
1934-06-29,34.69
1934-07-31,34.69
1934-08-31,34.69
1934-09-28,34.69
1934-10-31,34.69
1934-11-30,34.69
1934-12-31,34.69
1935-01-31,34.84
1935-02-28,34.84
1935-03-29,34.84
1935-04-30,34.84
1935-05-31,34.84
1935-06-28,34.84
1935-07-31,34.84
1935-08-30,34.84
1935-09-30,34.84
1935-10-31,34.84
1935-11-29,34.84
1935-12-31,34.84
1936-01-31,34.87
1936-02-28,34.87
1936-03-31,34.87
1936-04-30,34.87
1936-05-29,34.87
1936-06-30,34.87
1936-07-31,34.87
1936-08-31,34.87
1936-09-30,34.87
1936-10-30,34.87
1936-11-30,34.87
1936-12-31,34.87
1937-01-29,34.79
1937-02-26,34.79
1937-03-31,34.79
1937-04-30,34.79
1937-05-31,34.79
1937-06-30,34.79
1937-07-30,34.79
1937-08-31,34.79
1937-09-30,34.79
1937-10-29,34.79
1937-11-30,34.79
1937-12-31,34.79
1938-01-31,34.85
1938-02-28,34.85
1938-03-31,34.85
1938-04-29,34.85
1938-05-31,34.85
1938-06-30,34.85
1938-07-29,34.85
1938-08-31,34.85
1938-09-30,34.85
1938-10-31,34.85
1938-11-30,34.85
1938-12-30,34.85
1939-01-31,34.42
1939-02-28,34.42
1939-03-31,34.42
1939-04-28,34.42
1939-05-31,34.42
1939-06-30,34.42
1939-07-31,34.42
1939-08-31,34.42
1939-09-29,34.42
1939-10-31,34.42
1939-11-30,34.42
1939-12-29,34.42
1940-01-31,33.85
1940-02-29,33.85
1940-03-29,33.85
1940-04-30,33.85
1940-05-31,33.85
1940-06-28,33.85
1940-07-31,33.85
1940-08-30,33.85
1940-09-30,33.85
1940-10-31,33.85
1940-11-29,33.85
1940-12-31,33.85
1941-01-31,33.85
1941-02-28,33.85
1941-03-31,33.85
1941-04-30,33.85
1941-05-30,33.85
1941-06-30,33.85
1941-07-31,33.85
1941-08-29,33.85
1941-09-30,33.85
1941-10-31,33.85
1941-11-28,33.85
1941-12-31,33.85
1942-01-30,33.85
1942-02-27,33.85
1942-03-31,33.85
1942-04-30,33.85
1942-05-29,33.85
1942-06-30,33.85
1942-07-31,33.85
1942-08-31,33.85
1942-09-30,33.85
1942-10-30,33.85
1942-11-30,33.85
1942-12-31,33.85
1943-01-29,33.85
1943-02-26,33.85
1943-03-31,33.85
1943-04-30,33.85
1943-05-31,33.85
1943-06-30,33.85
1943-07-30,33.85
1943-08-31,33.85
1943-09-30,33.85
1943-10-29,33.85
1943-11-30,33.85
1943-12-31,33.85
1944-01-31,33.85
1944-02-29,33.85
1944-03-31,33.85
1944-04-28,33.85
1944-05-31,33.85
1944-06-30,33.85
1944-07-31,33.85
1944-08-31,33.85
1944-09-29,33.85
1944-10-31,33.85
1944-11-30,33.85
1944-12-29,33.85
1945-01-31,34.71
1945-02-28,34.71
1945-03-30,34.71
1945-04-30,34.71
1945-05-31,34.71
1945-06-29,34.71
1945-07-31,34.71
1945-08-31,34.71
1945-09-28,34.71
1945-10-31,34.71
1945-11-30,34.71
1945-12-31,34.71
1946-01-31,34.71
1946-02-28,34.71
1946-03-29,34.71
1946-04-30,34.71
1946-05-31,34.71
1946-06-28,34.71
1946-07-31,34.71
1946-08-30,34.71
1946-09-30,34.71
1946-10-31,34.71
1946-11-29,34.71
1946-12-31,34.71
1947-01-31,34.71
1947-02-28,34.71
1947-03-31,34.71
1947-04-30,34.71
1947-05-30,34.71
1947-06-30,34.71
1947-07-31,34.71
1947-08-29,34.71
1947-09-30,34.71
1947-10-31,34.71
1947-11-28,34.71
1947-12-31,34.71
1948-01-30,34.71
1948-02-27,34.71
1948-03-31,34.71
1948-04-30,34.71
1948-05-31,34.71
1948-06-30,34.71
1948-07-30,34.71
1948-08-31,34.71
1948-09-30,34.71
1948-10-29,34.71
1948-11-30,34.71
1948-12-31,34.71
1949-01-31,34.69
1949-02-28,34.69
1949-03-31,34.69
