Date,XAG BGN Curncy
1950-01-31,0.733
1950-02-28,0.733
1950-03-31,0.731
1950-04-28,0.718
1950-05-31,0.726
1950-06-30,0.728
1950-07-31,0.728
1950-08-31,0.728
1950-09-29,0.728
1950-10-31,0.751
1950-11-30,0.8
1950-12-29,0.8
1951-01-31,0.887
1951-02-28,0.902
1951-03-29,0.902
1951-04-30,0.902
1951-05-31,0.902
1951-06-29,0.884
1951-07-31,0.902
1951-08-31,0.902
1951-09-28,0.902
1951-10-31,0.881
1951-11-30,0.88
1951-12-31,0.88
1952-01-31,0.88
1952-02-29,0.88
1952-03-31,0.88
1952-04-30,0.88
1952-05-30,0.854
1952-06-30,0.828
1952-07-31,0.829
1952-08-29,0.833
1952-09-30,0.833
1952-10-31,0.833
1952-11-28,0.833
1952-12-31,0.833
1953-01-30,0.845
1953-02-27,0.853
1953-03-31,0.853
1953-04-30,0.853
1953-05-29,0.853
1953-06-30,0.853
1953-07-31,0.853
1953-08-31,0.853
1953-09-30,0.853
1953-10-30,0.853
1953-11-30,0.853
1953-12-31,0.853
1954-01-29,0.853
1954-02-26,0.853
1954-03-31,0.853
1954-04-30,0.853
1954-05-31,0.853
1954-06-30,0.853
1954-07-30,0.853
1954-08-31,0.853
1954-09-30,0.853
1954-10-29,0.853
1954-11-30,0.853
1954-12-31,0.853
1955-01-31,0.853
1955-02-28,0.853
1955-03-31,0.873
1955-04-29,0.871
1955-05-31,0.889
1955-06-30,0.897
1955-07-29,0.905
1955-08-31,0.908
1955-09-30,0.908
1955-10-31,0.918
1955-11-30,0.915
1955-12-30,0.905
1956-01-31,0.904
1956-02-29,0.909
1956-03-30,0.911
1956-04-30,0.909
1956-05-31,0.908
1956-06-29,0.905
1956-07-31,0.901
1956-08-31,0.906
1956-09-28,0.908
1956-10-31,0.912
1956-11-30,0.914
1956-12-31,0.914
1957-01-31,0.914
1957-02-28,0.914
1957-03-29,0.914
1957-04-30,0.914
1957-05-31,0.913
1957-06-28,0.905
1957-07-31,0.903
1957-08-30,0.909
1957-09-30,0.906
1957-10-31,0.906
1957-11-29,0.904
1957-12-31,0.898
1958-01-31,0.894
1958-02-28,0.886
1958-03-31,0.886
1958-04-30,0.886
1958-05-30,0.886
1958-06-30,0.886
1958-07-31,0.886
1958-08-29,0.886
1958-09-30,0.887
1958-10-31,0.9
1958-11-28,0.901
1958-12-31,0.898
1959-01-30,0.902
1959-02-27,0.904
1959-03-31,0.914
1959-04-30,0.914
1959-05-29,0.914
1959-06-30,0.914
1959-07-31,0.914
1959-08-31,0.914
1959-09-30,0.914
1959-10-30,0.914
1959-11-30,0.914
1959-12-31,0.914
1960-01-29,0.914
1960-02-29,0.914
1960-03-31,0.914
1960-04-29,0.914
1960-05-31,0.914
1960-06-30,0.914
1960-07-29,0.914
1960-08-31,0.914
1960-09-30,0.914
1960-10-31,0.914
1960-11-30,0.914
1960-12-30,0.914
1961-01-31,0.914
1961-02-28,0.914
1961-03-31,0.914
1961-04-28,0.914
1961-05-31,0.914
1961-06-30,0.914
1961-07-31,0.914
1961-08-31,0.914
1961-09-29,0.914
1961-10-31,0.914
1961-11-30,0.923
1961-12-29,1.033
1962-01-31,1.045
1962-02-28,1.027
1962-03-30,1.018
1962-04-30,1.018
1962-05-31,1.018
1962-06-29,1.025
1962-07-31,1.038
1962-08-31,1.083
1962-09-28,1.155
1962-10-31,1.206
1962-11-30,1.192
1962-12-31,1.199
1963-01-31,1.244
1963-02-28,1.256
1963-03-29,1.271
1963-04-30,1.273
1963-05-31,1.279
1963-06-28,1.277
1963-07-31,1.29
1963-08-30,1.288
1963-09-30,1.293
1963-10-31,1.293
1963-11-29,1.293
1963-12-31,1.293
1964-01-31,1.293
1964-02-28,1.293
1964-03-31,1.293
1964-04-30,1.293
1964-05-29,1.293
1964-06-30,1.293
1964-07-31,1.293
1964-08-31,1.293
1964-09-30,1.293
1964-10-30,1.293
1964-11-30,1.293
1964-12-31,1.293
1965-01-29,1.293
1965-02-26,1.293
1965-03-31,1.293
1965-04-30,1.293
1965-05-31,1.293
1965-06-30,1.293
