,Date,US CAPE
0,1871-01-31,
1,1871-02-28,
2,1871-03-31,
3,1871-04-30,
4,1871-05-31,
5,1871-06-30,
6,1871-07-31,
7,1871-08-31,
8,1871-09-30,
9,1871-10-31,
10,1871-11-30,
11,1871-12-31,
12,1872-01-31,
13,1872-02-29,
14,1872-03-31,
15,1872-04-30,
16,1872-05-31,
17,1872-06-30,
18,1872-07-31,
19,1872-08-31,
20,1872-09-30,
21,1872-10-31,
22,1872-11-30,
23,1872-12-31,
24,1873-01-31,
25,1873-02-28,
26,1873-03-31,
27,1873-04-30,
28,1873-05-31,
29,1873-06-30,
30,1873-07-31,
31,1873-08-31,
32,1873-09-30,
33,1873-10-31,
34,1873-11-30,
35,1873-12-31,
36,1874-01-31,
37,1874-02-28,
38,1874-03-31,
39,1874-04-30,
40,1874-05-31,
41,1874-06-30,
42,1874-07-31,
43,1874-08-31,
44,1874-09-30,
45,1874-10-31,
46,1874-11-30,
47,1874-12-31,
48,1875-01-31,
49,1875-02-28,
50,1875-03-31,
51,1875-04-30,
52,1875-05-31,
53,1875-06-30,
54,1875-07-31,
55,1875-08-31,
56,1875-09-30,
57,1875-10-31,
58,1875-11-30,
59,1875-12-31,
60,1876-01-31,
61,1876-02-29,
62,1876-03-31,
63,1876-04-30,
64,1876-05-31,
65,1876-06-30,
66,1876-07-31,
67,1876-08-31,
68,1876-09-30,
69,1876-10-31,
70,1876-11-30,
71,1876-12-31,
72,1877-01-31,
73,1877-02-28,
74,1877-03-31,
75,1877-04-30,
76,1877-05-31,
77,1877-06-30,
78,1877-07-31,
79,1877-08-31,
80,1877-09-30,
81,1877-10-31,
82,1877-11-30,
83,1877-12-31,
84,1878-01-31,
85,1878-02-28,
86,1878-03-31,
87,1878-04-30,
88,1878-05-31,
89,1878-06-30,
90,1878-07-31,
91,1878-08-31,
92,1878-09-30,
93,1878-10-31,
94,1878-11-30,
95,1878-12-31,
96,1879-01-31,
97,1879-02-28,
98,1879-03-31,
99,1879-04-30,
100,1879-05-31,
101,1879-06-30,
102,1879-07-31,
103,1879-08-31,
104,1879-09-30,
105,1879-10-31,
106,1879-11-30,
107,1879-12-31,
108,1880-01-31,
109,1880-02-29,
110,1880-03-31,
111,1880-04-30,
112,1880-05-31,
113,1880-06-30,
114,1880-07-31,
115,1880-08-31,
116,1880-09-30,
117,1880-10-31,
118,1880-11-30,
119,1880-12-31,
120,1881-01-31,18.47
121,1881-02-28,18.15
122,1881-03-31,18.27
123,1881-04-30,17.95
124,1881-05-31,18.87
125,1881-06-30,19.03
126,1881-07-31,18.12
127,1881-08-31,17.29
128,1881-09-30,16.72
129,1881-10-31,16.26
130,1881-11-30,16.48
131,1881-12-31,15.96
132,1882-01-31,15.68
133,1882-02-28,15.15
134,1882-03-31,15.09
135,1882-04-30,14.92
136,1882-05-31,14.57
137,1882-06-30,14.33
138,1882-07-31,15.24
139,1882-08-31,15.53
140,1882-09-30,16.08
141,1882-10-31,15.76
142,1882-11-30,15.19
143,1882-12-31,15.38
144,1883-01-31,15.27
145,1883-02-28,14.76
146,1883-03-31,15.05
147,1883-04-30,15.48
148,1883-05-31,15.34
149,1883-06-30,15.9
150,1883-07-31,15.95
151,1883-08-31,15.2
152,1883-09-30,15.49
153,1883-10-31,15.05
154,1883-11-30,15.41
155,1883-12-31,14.9
156,1884-01-31,14.43
157,1884-02-29,14.81
158,1884-03-31,14.74
159,1884-04-30,14.35
160,1884-05-31,13.47
161,1884-06-30,12.91
162,1884-07-31,13.04
163,1884-08-31,13.86
164,1884-09-30,13.57
165,1884-10-31,13.27
166,1884-11-30,13.3
167,1884-12-31,13.43
168,1885-01-31,13.13
169,1885-02-28,13.38
170,1885-03-31,13.73
171,1885-04-30,13.55
172,1885-05-31,13.71
173,1885-06-30,13.98
174,1885-07-31,14.33
175,1885-08-31,15.13
176,1885-09-30,15.12
177,1885-10-31,15.99
178,1885-11-30,16.82
179,1885-12-31,16.3
180,1886-01-31,16.69
181,1886-02-28,17.01
182,1886-03-31,16.84
183,1886-04-30,16.8
184,1886-05-31,16.86
185,1886-06-30,17.83
186,1886-07-31,17.85
187,1886-08-31,17.72
188,1886-09-30,18.15
189,1886-10-31,18.56
190,1886-11-30,18.97
191,1886-12-31,18.19
192,1887-01-31,17.51
193,1887-02-28,17.13
194,1887-03-31,17.47
195,1887-04-30,17.82
196,1887-05-31,18.08
197,1887-06-30,17.71
198,1887-07-31,17.43
199,1887-08-31,16.74
200,1887-09-30,16.68
201,1887-10-31,15.88
202,1887-11-30,15.95
203,1887-12-31,15.46
204,1888-01-31,15.36
205,1888-02-29,15.42
206,1888-03-31,14.81
207,1888-04-30,15.02
208,1888-05-31,15.39
209,1888-06-30,15.08
210,1888-07-31,15.28
211,1888-08-31,15.6
212,1888-09-30,15.99
213,1888-10-31,15.72
214,1888-11-30,15.22
215,1888-12-31,14.95
216,1889-01-31,15.8
217,1889-02-28,16.19
218,1889-03-31,16.07
219,1889-04-30,16.05
220,1889-05-31,16.92
221,1889-06-30,17.22
222,1889-07-31,16.89
223,1889-08-31,17.13
224,1889-09-30,17.35
225,1889-10-31,17.05
226,1889-11-30,16.91
227,1889-12-31,16.61
228,1890-01-31,17.22
229,1890-02-28,17.03
230,1890-03-31,16.9
231,1890-04-30,17.26
232,1890-05-31,17.79
233,1890-06-30,17.68
234,1890-07-31,17.59
235,1890-08-31,16.6
236,1890-09-30,16.17
237,1890-10-31,15.48
238,1890-11-30,14.75
239,1890-12-31,14.44
240,1891-01-31,15.43
241,1891-02-28,15.48
242,1891-03-31,15.05
243,1891-04-30,15.41
244,1891-05-31,15.57
245,1891-06-30,15.66
246,1891-07-31,15.62
247,1891-08-31,16.16
248,1891-09-30,17.71
249,1891-10-31,17.72
250,1891-11-30,17.67
251,1891-12-31,18.21
252,1892-01-31,19.02
253,1892-02-29,19.04
254,1892-03-31,19.74
255,1892-04-30,19.94
256,1892-05-31,19.91
257,1892-06-30,19.77
258,1892-07-31,19.21
259,1892-08-31,19.2
260,1892-09-30,18.69
261,1892-10-31,19.04
262,1892-11-30,18.46
263,1892-12-31,18.01
264,1893-01-31,17.66
265,1893-02-28,17.13
266,1893-03-31,16.9
267,1893-04-30,17.1
268,1893-05-31,15.78
269,1893-06-30,15.42
270,1893-07-31,14.35
271,1893-08-31,14.59
272,1893-09-30,15.01
273,1893-10-31,15.27
274,1893-11-30,15.94
275,1893-12-31,15.61
276,1894-01-31,15.74
277,1894-02-28,16.2
278,1894-03-31,17.19
279,1894-04-30,17.43
280,1894-05-31,16.81
281,1894-06-30,16.61
282,1894-07-31,16.29
283,1894-08-31,16.46
284,1894-09-30,16.52
285,1894-10-31,16.5
286,1894-11-30,16.54
287,1894-12-31,16.67
288,1895-01-31,16.52
289,1895-02-28,16.33
290,1895-03-31,16.36
291,1895-04-30,16.39
292,1895-05-31,17.08
293,1895-06-30,17.21
294,1895-07-31,17.55
295,1895-08-31,18.07
296,1895-09-30,18.2
297,1895-10-31,17.94
298,1895-11-30,17.34
299,1895-12-31,16.55
300,1896-01-31,16.58
301,1896-02-29,17.52
302,1896-03-31,17.23
303,1896-04-30,17.64
304,1896-05-31,17.83
305,1896-06-30,17.78
306,1896-07-31,16.64
307,1896-08-31,15.7
308,1896-09-30,16.54
309,1896-10-31,16.44
310,1896-11-30,17.09
311,1896-12-31,16.5
312,1897-01-31,17.03
313,1897-02-28,16.89
314,1897-03-31,16.96
315,1897-04-30,16.7
316,1897-05-31,17.05
317,1897-06-30,17.85
318,1897-07-31,18.65
319,1897-08-31,19.01
320,1897-09-30,19.37
321,1897-10-31,19.03
322,1897-11-30,18.36
323,1897-12-31,18.75
324,1898-01-31,19.25
325,1898-02-28,18.92
326,1898-03-31,18.04
327,1898-04-30,17.71
328,1898-05-31,17.6
329,1898-06-30,19.54
330,1898-07-31,19.86
331,1898-08-31,20.54
332,1898-09-30,20.44
333,1898-10-31,19.95
334,1898-11-30,20.53
335,1898-12-31,21.4
336,1899-01-31,22.93
337,1899-02-28,23.05
338,1899-03-31,23.28
339,1899-04-30,23.15
340,1899-05-31,22.09
341,1899-06-30,21.21
342,1899-07-31,21.56
343,1899-08-31,21.73
344,1899-09-30,20.59
345,1899-10-31,20.15
346,1899-11-30,20.2
347,1899-12-31,18.51
348,1900-01-31,18.67
349,1900-02-28,18.7
350,1900-03-31,18.78
351,1900-04-30,18.94
352,1900-05-31,18.4
353,1900-06-30,17.99
354,1900-07-31,17.69
355,1900-08-31,18.07
356,1900-09-30,17.34
357,1900-10-31,18.1
358,1900-11-30,19.42
359,1900-12-31,20.74
360,1901-01-31,20.98
361,1901-02-28,21.68
362,1901-03-31,22.35
363,1901-04-30,24.41
364,1901-05-31,23.06
365,1901-06-30,25.24
366,1901-07-31,23.14
367,1901-08-31,23.08
368,1901-09-30,22.59
369,1901-10-31,22.25
370,1901-11-30,22.38
371,1901-12-31,21.68
372,1902-01-31,22.34
373,1902-02-28,22.46
374,1902-03-31,22.41
375,1902-04-30,22.82
376,1902-05-31,22.43
377,1902-06-30,21.96
378,1902-07-31,22.39
379,1902-08-31,23.17
380,1902-09-30,22.86
381,1902-10-31,20.6
382,1902-11-30,20.41
383,1902-12-31,19.63
384,1903-01-31,20.32
385,1903-02-28,20.11
386,1903-03-31,19.88
387,1903-04-30,18.98
388,1903-05-31,18.95
389,1903-06-30,17.82
390,1903-07-31,16.92
391,1903-08-31,16.3
392,1903-09-30,15.65
393,1903-10-31,15.25
394,1903-11-30,15.41
395,1903-12-31,16.04
396,1904-01-31,15.86
397,1904-02-29,15.02
398,1904-03-31,15.08
399,1904-04-30,15.57
400,1904-05-31,15.53
401,1904-06-30,15.47
402,1904-07-31,16.04
403,1904-08-31,16.3
404,1904-09-30,16.74
405,1904-10-31,17.63
406,1904-11-30,18.08
407,1904-12-31,18.16
408,1905-01-31,18.46
409,1905-02-28,19.17
410,1905-03-31,19.83
411,1905-04-30,19.48
412,1905-05-31,18.63
413,1905-06-30,18.74
414,1905-07-31,19.21
415,1905-08-31,19.57
416,1905-09-30,19.74
417,1905-10-31,19.9
418,1905-11-30,19.44
419,1905-12-31,19.58
420,1906-01-31,20.13
421,1906-02-28,19.87
422,1906-03-31,19.26
423,1906-04-30,18.88
424,1906-05-31,18.05
425,1906-06-30,18.17
426,1906-07-31,18.2
427,1906-08-31,18.97
428,1906-09-30,19.2
429,1906-10-31,18.1
430,1906-11-30,18.14
431,1906-12-31,17.66
432,1907-01-31,17.22
433,1907-02-28,16.22
434,1907-03-31,14.69
435,1907-04-30,14.67
436,1907-05-31,13.79
437,1907-06-30,13.14
438,1907-07-31,13.59
439,1907-08-31,12.51
440,1907-09-30,12.33
441,1907-10-31,10.83
442,1907-11-30,10.59
443,1907-12-31,11.33
444,1908-01-31,11.9
445,1908-02-29,11.55
446,1908-03-31,11.98
447,1908-04-30,12.45
448,1908-05-31,13.08
449,1908-06-30,13.05
450,1908-07-31,13.35
451,1908-08-31,13.88
452,1908-09-30,13.7
453,1908-10-31,13.69
454,1908-11-30,14.44
