date,ticker,open,high,low,close
2005-01-03,NIFTY LOW VOL 50,1201.23,1201.23,1201.23,1201.23
2005-01-04,NIFTY LOW VOL 50,1201.41,1201.41,1201.41,1201.41
2005-01-05,NIFTY LOW VOL 50,1174.62,1174.62,1174.62,1174.62
2005-01-06,NIFTY LOW VOL 50,1159.74,1159.74,1159.74,1159.74
2005-01-07,NIFTY LOW VOL 50,1166.87,1166.87,1166.87,1166.87
2005-01-10,NIFTY LOW VOL 50,1160.13,1160.13,1160.13,1160.13
2005-01-11,NIFTY LOW VOL 50,1141.32,1141.32,1141.32,1141.32
2005-01-12,NIFTY LOW VOL 50,1116.12,1116.12,1116.12,1116.12
2005-01-13,NIFTY LOW VOL 50,1135.63,1135.63,1135.63,1135.63
2005-01-14,NIFTY LOW VOL 50,1124.36,1124.36,1124.36,1124.36
2005-01-17,NIFTY LOW VOL 50,1122.21,1122.21,1122.21,1122.21
2005-01-18,NIFTY LOW VOL 50,1127.46,1127.46,1127.46,1127.46
2005-01-19,NIFTY LOW VOL 50,1125.62,1125.62,1125.62,1125.62
2005-01-20,NIFTY LOW VOL 50,1119.41,1119.41,1119.41,1119.41
2005-01-24,NIFTY LOW VOL 50,1113.33,1113.33,1113.33,1113.33
2005-01-25,NIFTY LOW VOL 50,1121.16,1121.16,1121.16,1121.16
2005-01-27,NIFTY LOW VOL 50,1135.16,1135.16,1135.16,1135.16
2005-01-28,NIFTY LOW VOL 50,1156.54,1156.54,1156.54,1156.54
2005-01-31,NIFTY LOW VOL 50,1177.27,1177.27,1177.27,1177.27
2005-02-01,NIFTY LOW VOL 50,1180.43,1180.43,1180.43,1180.43
2005-02-02,NIFTY LOW VOL 50,1181.76,1181.76,1181.76,1181.76
2005-02-03,NIFTY LOW VOL 50,1200.61,1200.61,1200.61,1200.61
2005-02-04,NIFTY LOW VOL 50,1202.29,1202.29,1202.29,1202.29
2005-02-07,NIFTY LOW VOL 50,1197.9,1197.9,1197.9,1197.9
2005-02-08,NIFTY LOW VOL 50,1200.94,1200.94,1200.94,1200.94
2005-02-09,NIFTY LOW VOL 50,1208.36,1208.36,1208.36,1208.36
2005-02-10,NIFTY LOW VOL 50,1213.27,1213.27,1213.27,1213.27
2005-02-11,NIFTY LOW VOL 50,1221.78,1221.78,1221.78,1221.78
2005-02-14,NIFTY LOW VOL 50,1226.47,1226.47,1226.47,1226.47
2005-02-15,NIFTY LOW VOL 50,1221.77,1221.77,1221.77,1221.77
2005-02-16,NIFTY LOW VOL 50,1214.43,1214.43,1214.43,1214.43
2005-02-17,NIFTY LOW VOL 50,1211.35,1211.35,1211.35,1211.35
2005-02-18,NIFTY LOW VOL 50,1210.23,1210.23,1210.23,1210.23
2005-02-21,NIFTY LOW VOL 50,1202.42,1202.42,1202.42,1202.42
2005-02-22,NIFTY LOW VOL 50,1204.13,1204.13,1204.13,1204.13
2005-02-23,NIFTY LOW VOL 50,1206.0,1206.0,1206.0,1206.0
2005-02-24,NIFTY LOW VOL 50,1207.42,1207.42,1207.42,1207.42
2005-02-25,NIFTY LOW VOL 50,1199.13,1199.13,1199.13,1199.13
2005-02-28,NIFTY LOW VOL 50,1218.4,1218.4,1218.4,1218.4
2005-03-01,NIFTY LOW VOL 50,1213.06,1213.06,1213.06,1213.06
2005-03-02,NIFTY LOW VOL 50,1222.29,1222.29,1222.29,1222.29
2005-03-03,NIFTY LOW VOL 50,1236.89,1236.89,1236.89,1236.89
2005-03-04,NIFTY LOW VOL 50,1245.07,1245.07,1245.07,1245.07
2005-03-07,NIFTY LOW VOL 50,1249.53,1249.53,1249.53,1249.53
2005-03-08,NIFTY LOW VOL 50,1252.63,1252.63,1252.63,1252.63
2005-03-09,NIFTY LOW VOL 50,1248.97,1248.97,1248.97,1248.97
2005-03-10,NIFTY LOW VOL 50,1250.33,1250.33,1250.33,1250.33
2005-03-11,NIFTY LOW VOL 50,1245.79,1245.79,1245.79,1245.79
2005-03-14,NIFTY LOW VOL 50,1240.04,1240.04,1240.04,1240.04
2005-03-15,NIFTY LOW VOL 50,1235.04,1235.04,1235.04,1235.04
2005-03-16,NIFTY LOW VOL 50,1231.52,1231.52,1231.52,1231.52
2005-03-17,NIFTY LOW VOL 50,1221.14,1221.14,1221.14,1221.14
2005-03-18,NIFTY LOW VOL 50,1219.04,1219.04,1219.04,1219.04
2005-03-21,NIFTY LOW VOL 50,1214.25,1214.25,1214.25,1214.25
2005-03-22,NIFTY LOW VOL 50,1193.86,1193.86,1193.86,1193.86
2005-03-23,NIFTY LOW VOL 50,1175.64,1175.64,1175.64,1175.64
2005-03-24,NIFTY LOW VOL 50,1167.1,1167.1,1167.1,1167.1
2005-03-28,NIFTY LOW VOL 50,1174.56,1174.56,1174.56,1174.56
2005-03-29,NIFTY LOW VOL 50,1158.34,1158.34,1158.34,1158.34
2005-03-30,NIFTY LOW VOL 50,1164.96,1164.96,1164.96,1164.96
2005-03-31,NIFTY LOW VOL 50,1182.95,1182.95,1182.95,1182.95
2005-04-01,NIFTY LOW VOL 50,1203.12,1203.12,1203.12,1203.12
2005-04-04,NIFTY LOW VOL 50,1203.44,1203.44,1203.44,1203.44
2005-04-05,NIFTY LOW VOL 50,1198.7,1198.7,1198.7,1198.7
2005-04-06,NIFTY LOW VOL 50,1203.08,1203.08,1203.08,1203.08
2005-04-07,NIFTY LOW VOL 50,1201.36,1201.36,1201.36,1201.36
2005-04-08,NIFTY LOW VOL 50,1190.45,1190.45,1190.45,1190.45
2005-04-11,NIFTY LOW VOL 50,1182.21,1182.21,1182.21,1182.21
2005-04-12,NIFTY LOW VOL 50,1192.11,1192.11,1192.11,1192.11
2005-04-13,NIFTY LOW VOL 50,1195.03,1195.03,1195.03,1195.03
2005-04-15,NIFTY LOW VOL 50,1169.71,1169.71,1169.71,1169.71
2005-04-18,NIFTY LOW VOL 50,1160.34,1160.34,1160.34,1160.34
2005-04-19,NIFTY LOW VOL 50,1153.49,1153.49,1153.49,1153.49
2005-04-20,NIFTY LOW VOL 50,1163.31,1163.31,1163.31,1163.31
2005-04-21,NIFTY LOW VOL 50,1175.8,1175.8,1175.8,1175.8
2005-04-22,NIFTY LOW VOL 50,1187.57,1187.57,1187.57,1187.57
2005-04-25,NIFTY LOW VOL 50,1192.54,1192.54,1192.54,1192.54
2005-04-26,NIFTY LOW VOL 50,1188.52,1188.52,1188.52,1188.52
2005-04-27,NIFTY LOW VOL 50,1181.21,1181.21,1181.21,1181.21
2005-04-28,NIFTY LOW VOL 50,1184.08,1184.08,1184.08,1184.08
2005-04-29,NIFTY LOW VOL 50,1162.28,1162.28,1162.28,1162.28
2005-05-02,NIFTY LOW VOL 50,1167.93,1167.93,1167.93,1167.93
2005-05-03,NIFTY LOW VOL 50,1173.23,1173.23,1173.23,1173.23
2005-05-04,NIFTY LOW VOL 50,1184.96,1184.96,1184.96,1184.96
2005-05-05,NIFTY LOW VOL 50,1196.91,1196.91,1196.91,1196.91
2005-05-06,NIFTY LOW VOL 50,1203.56,1203.56,1203.56,1203.56
2005-05-09,NIFTY LOW VOL 50,1218.71,1218.71,1218.71,1218.71
2005-05-10,NIFTY LOW VOL 50,1218.22,1218.22,1218.22,1218.22
2005-05-11,NIFTY LOW VOL 50,1214.58,1214.58,1214.58,1214.58
2005-05-12,NIFTY LOW VOL 50,1220.15,1220.15,1220.15,1220.15
2005-05-13,NIFTY LOW VOL 50,1222.31,1222.31,1222.31,1222.31
2005-05-16,NIFTY LOW VOL 50,1234.17,1234.17,1234.17,1234.17
2005-05-17,NIFTY LOW VOL 50,1225.44,1225.44,1225.44,1225.44
2005-05-18,NIFTY LOW VOL 50,1220.41,1220.41,1220.41,1220.41
2005-05-19,NIFTY LOW VOL 50,1227.89,1227.89,1227.89,1227.89
2005-05-20,NIFTY LOW VOL 50,1229.45,1229.45,1229.45,1229.45
2005-05-23,NIFTY LOW VOL 50,1240.43,1240.43,1240.43,1240.43
2005-05-24,NIFTY LOW VOL 50,1245.78,1245.78,1245.78,1245.78
2005-05-25,NIFTY LOW VOL 50,1253.31,1253.31,1253.31,1253.31
2005-05-26,NIFTY LOW VOL 50,1262.7,1262.7,1262.7,1262.7
2005-05-27,NIFTY LOW VOL 50,1264.75,1264.75,1264.75,1264.75
2005-05-30,NIFTY LOW VOL 50,1259.98,1259.98,1259.98,1259.98
2005-05-31,NIFTY LOW VOL 50,1267.72,1267.72,1267.72,1267.72
2005-06-01,NIFTY LOW VOL 50,1278.3,1278.3,1278.3,1278.3
2005-06-02,NIFTY LOW VOL 50,1269.85,1269.85,1269.85,1269.85
2005-06-03,NIFTY LOW VOL 50,1277.82,1277.82,1277.82,1277.82
2005-06-04,NIFTY LOW VOL 50,1285.5,1285.5,1285.5,1285.5
2005-06-06,NIFTY LOW VOL 50,1285.13,1285.13,1285.13,1285.13
2005-06-07,NIFTY LOW VOL 50,1289.57,1289.57,1289.57,1289.57
2005-06-08,NIFTY LOW VOL 50,1294.09,1294.09,1294.09,1294.09
2005-06-09,NIFTY LOW VOL 50,1292.53,1292.53,1292.53,1292.53
2005-06-10,NIFTY LOW VOL 50,1283.17,1283.17,1283.17,1283.17
2005-06-13,NIFTY LOW VOL 50,1287.53,1287.53,1287.53,1287.53
2005-06-14,NIFTY LOW VOL 50,1289.03,1289.03,1289.03,1289.03
2005-06-15,NIFTY LOW VOL 50,1291.99,1291.99,1291.99,1291.99
2005-06-16,NIFTY LOW VOL 50,1286.57,1286.57,1286.57,1286.57
2005-06-17,NIFTY LOW VOL 50,1279.85,1279.85,1279.85,1279.85
2005-06-20,NIFTY LOW VOL 50,1283.05,1283.05,1283.05,1283.05
2005-06-21,NIFTY LOW VOL 50,1295.95,1295.95,1295.95,1295.95
