date,ticker,open,high,low,close
2005-04-01,NIFTY500 VALUE 50,1000.0,1000.0,1000.0,1000.0
2005-04-04,NIFTY500 VALUE 50,994.18,994.18,994.18,994.18
2005-04-05,NIFTY500 VALUE 50,980.92,980.92,980.92,980.92
2005-04-06,NIFTY500 VALUE 50,1001.34,1001.34,1001.34,1001.34
2005-04-07,NIFTY500 VALUE 50,1001.88,1001.88,1001.88,1001.88
2005-04-08,NIFTY500 VALUE 50,996.57,996.57,996.57,996.57
2005-04-11,NIFTY500 VALUE 50,990.16,990.16,990.16,990.16
2005-04-12,NIFTY500 VALUE 50,996.6,996.6,996.6,996.6
2005-04-13,NIFTY500 VALUE 50,997.5,997.5,997.5,997.5
2005-04-15,NIFTY500 VALUE 50,971.11,971.11,971.11,971.11
2005-04-18,NIFTY500 VALUE 50,965.13,965.13,965.13,965.13
2005-04-19,NIFTY500 VALUE 50,955.63,955.63,955.63,955.63
2005-04-20,NIFTY500 VALUE 50,960.54,960.54,960.54,960.54
2005-04-21,NIFTY500 VALUE 50,973.16,973.16,973.16,973.16
2005-04-22,NIFTY500 VALUE 50,975.25,975.25,975.25,975.25
2005-04-25,NIFTY500 VALUE 50,984.12,984.12,984.12,984.12
2005-04-26,NIFTY500 VALUE 50,988.22,988.22,988.22,988.22
2005-04-27,NIFTY500 VALUE 50,974.97,974.97,974.97,974.97
2005-04-28,NIFTY500 VALUE 50,962.25,962.25,962.25,962.25
2005-04-29,NIFTY500 VALUE 50,944.49,944.49,944.49,944.49
2005-05-02,NIFTY500 VALUE 50,947.29,947.29,947.29,947.29
2005-05-03,NIFTY500 VALUE 50,948.69,948.69,948.69,948.69
2005-05-04,NIFTY500 VALUE 50,961.48,961.48,961.48,961.48
2005-05-05,NIFTY500 VALUE 50,982.1,982.1,982.1,982.1
2005-05-06,NIFTY500 VALUE 50,986.65,986.65,986.65,986.65
2005-05-09,NIFTY500 VALUE 50,997.71,997.71,997.71,997.71
2005-05-10,NIFTY500 VALUE 50,991.97,991.97,991.97,991.97
2005-05-11,NIFTY500 VALUE 50,990.92,990.92,990.92,990.92
2005-05-12,NIFTY500 VALUE 50,1004.58,1004.58,1004.58,1004.58
2005-05-13,NIFTY500 VALUE 50,1008.99,1008.99,1008.99,1008.99
2005-05-16,NIFTY500 VALUE 50,1026.43,1026.43,1026.43,1026.43
