date,ticker,open,high,low,close
2005-01-03,NIFTY 500,1818.55,1836.65,1816.6,1834.75
2005-01-04,NIFTY 500,1838.35,1841.15,1828.55,1831.3
2005-01-05,NIFTY 500,1822.45,1826.3,1725.6,1769.2
2005-01-06,NIFTY 500,1768.95,1773.9,1722.5,1741.1
2005-01-07,NIFTY 500,1743.9,1761.95,1739.7,1758.05
2005-01-10,NIFTY 500,1761.35,1772.7,1733.25,1738.4
2005-01-11,NIFTY 500,1739.25,1743.4,1702.45,1705.9
2005-01-12,NIFTY 500,1706.6,1716.0,1655.15,1662.0
2005-01-13,NIFTY 500,1679.0,1705.15,1679.0,1700.35
2005-01-14,NIFTY 500,1704.6,1708.65,1677.35,1683.55
2005-01-17,NIFTY 500,1693.3,1693.3,1655.05,1679.8
2005-01-18,NIFTY 500,1689.3,1700.4,1677.05,1683.8
2005-01-19,NIFTY 500,1688.35,1692.3,1673.25,1676.0
2005-01-20,NIFTY 500,1679.4,1679.4,1650.85,1668.3
2005-01-24,NIFTY 500,1671.4,1671.4,1649.95,1653.8
2005-01-25,NIFTY 500,1651.3,1673.6,1643.95,1672.6
2005-01-27,NIFTY 500,1681.35,1698.4,1681.35,1692.8
2005-01-28,NIFTY 500,1700.55,1735.3,1700.55,1732.7
2005-01-31,NIFTY 500,1749.75,1771.4,1749.75,1768.25
2005-02-01,NIFTY 500,1769.45,1781.25,1759.4,1775.0
2005-02-02,NIFTY 500,1778.7,1789.45,1770.9,1775.9
2005-02-03,NIFTY 500,1778.9,1802.35,1778.9,1799.8
2005-02-04,NIFTY 500,1810.9,1817.1,1785.75,1798.2
2005-02-07,NIFTY 500,1806.6,1811.7,1783.05,1786.7
2005-02-08,NIFTY 500,1788.1,1797.4,1781.0,1788.85
2005-02-09,NIFTY 500,1798.05,1810.6,1798.05,1805.15
2005-02-10,NIFTY 500,1808.25,1813.2,1793.9,1803.0
2005-02-11,NIFTY 500,1805.35,1821.15,1805.35,1817.5
2005-02-14,NIFTY 500,1825.5,1837.45,1823.6,1828.65
2005-02-15,NIFTY 500,1830.35,1830.35,1811.55,1819.05
2005-02-16,NIFTY 500,1822.35,1832.35,1797.55,1803.45
2005-02-17,NIFTY 500,1800.3,1800.3,1784.75,1797.25
2005-02-18,NIFTY 500,1801.0,1811.0,1789.25,1794.1
2005-02-21,NIFTY 500,1800.25,1801.0,1779.1,1781.5
2005-02-22,NIFTY 500,1781.15,1795.15,1774.5,1793.2
2005-02-23,NIFTY 500,1793.55,1802.15,1789.4,1794.95
2005-02-24,NIFTY 500,1802.35,1808.0,1792.6,1794.55
2005-02-25,NIFTY 500,1809.95,1812.55,1790.5,1796.3
2005-02-28,NIFTY 500,1801.95,1830.9,1791.4,1827.4
2005-03-01,NIFTY 500,1825.05,1825.05,1805.15,1811.9
2005-03-02,NIFTY 500,1817.65,1826.95,1815.8,1825.3
2005-03-03,NIFTY 500,1825.9,1856.25,1825.9,1854.3
2005-03-04,NIFTY 500,1863.65,1874.65,1858.75,1871.95
2005-03-07,NIFTY 500,1875.75,1891.55,1875.75,1883.6
2005-03-08,NIFTY 500,1888.2,1896.3,1881.65,1893.2
2005-03-09,NIFTY 500,1894.6,1905.15,1864.95,1881.8
2005-03-10,NIFTY 500,1882.5,1891.7,1871.85,1889.0
2005-03-11,NIFTY 500,1896.5,1904.55,1876.95,1880.85
2005-03-14,NIFTY 500,1876.9,1889.25,1869.05,1871.8
2005-03-15,NIFTY 500,1874.5,1877.75,1856.9,1860.6
2005-03-16,NIFTY 500,1864.3,1876.05,1856.65,1859.65
2005-03-17,NIFTY 500,1854.5,1856.15,1830.55,1835.95
2005-03-18,NIFTY 500,1837.05,1844.3,1811.6,1838.35
2005-03-21,NIFTY 500,1845.0,1850.3,1824.5,1829.3
2005-03-22,NIFTY 500,1829.45,1829.45,1789.75,1793.3
2005-03-23,NIFTY 500,1791.7,1799.65,1753.15,1758.5
2005-03-24,NIFTY 500,1766.95,1773.25,1741.4,1748.6
2005-03-28,NIFTY 500,1760.15,1774.95,1758.25,1762.6
2005-03-29,NIFTY 500,1764.2,1764.2,1715.15,1724.65
2005-03-30,NIFTY 500,1728.7,1741.8,1715.85,1737.45
2005-03-31,NIFTY 500,1745.1,1777.1,1745.1,1772.85
2005-04-01,NIFTY 500,1786.2,1808.2,1766.45,1805.3
2005-04-04,NIFTY 500,1809.95,1815.15,1799.2,1804.05
2005-04-05,NIFTY 500,1808.35,1811.8,1786.85,1793.05
2005-04-06,NIFTY 500,1798.3,1809.5,1795.0,1807.0
2005-04-07,NIFTY 500,1819.5,1819.5,1795.05,1798.4
2005-04-08,NIFTY 500,1802.2,1804.4,1776.55,1783.3
2005-04-11,NIFTY 500,1782.9,1782.9,1758.3,1764.35
2005-04-12,NIFTY 500,1765.0,1780.0,1765.0,1778.2
2005-04-13,NIFTY 500,1781.75,1789.75,1774.15,1779.35
2005-04-15,NIFTY 500,1771.7,1771.7,1724.65,1726.75
2005-04-18,NIFTY 500,1698.25,1718.15,1691.15,1706.45
2005-04-19,NIFTY 500,1714.5,1733.55,1689.25,1693.55
2005-04-20,NIFTY 500,1696.1,1709.45,1685.45,1707.0
2005-04-21,NIFTY 500,1696.65,1728.3,1696.65,1727.15
2005-04-22,NIFTY 500,1738.55,1744.7,1732.25,1742.15
2005-04-25,NIFTY 500,1740.45,1751.25,1733.1,1748.3
2005-04-26,NIFTY 500,1747.6,1751.65,1736.75,1740.6
2005-04-27,NIFTY 500,1739.55,1742.9,1719.35,1723.05
2005-04-28,NIFTY 500,1722.35,1725.45,1709.65,1718.15
2005-04-29,NIFTY 500,1716.75,1716.75,1684.15,1688.65
2005-05-02,NIFTY 500,1698.5,1703.5,1681.6,1695.25
2005-05-03,NIFTY 500,1696.85,1705.65,1692.5,1698.4
2005-05-04,NIFTY 500,1700.8,1718.75,1700.8,1717.65
2005-05-05,NIFTY 500,1732.45,1745.05,1732.45,1737.6
2005-05-06,NIFTY 500,1742.3,1752.55,1732.95,1748.55
2005-05-09,NIFTY 500,1754.15,1770.75,1754.15,1769.7
2005-05-10,NIFTY 500,1771.65,1776.65,1762.4,1765.9
2005-05-11,NIFTY 500,1763.25,1763.25,1752.0,1760.3
2005-05-12,NIFTY 500,1760.3,1773.85,1760.3,1768.9
2005-05-13,NIFTY 500,1766.6,1771.7,1762.5,1768.25
2005-05-16,NIFTY 500,1772.75,1787.9,1772.75,1785.95
2005-05-17,NIFTY 500,1789.75,1795.55,1762.0,1766.35
2005-05-18,NIFTY 500,1760.75,1766.55,1748.6,1761.6
2005-05-19,NIFTY 500,1778.75,1781.95,1767.0,1770.6
2005-05-20,NIFTY 500,1772.35,1775.0,1760.25,1771.3
2005-05-23,NIFTY 500,1777.5,1790.35,1775.1,1788.15
2005-05-24,NIFTY 500,1796.25,1799.95,1786.65,1797.95
2005-05-25,NIFTY 500,1789.0,1811.15,1789.0,1808.5
2005-05-26,NIFTY 500,1809.45,1824.25,1803.65,1822.25
2005-05-27,NIFTY 500,1829.9,1843.35,1820.15,1824.75
2005-05-30,NIFTY 500,1830.05,1831.45,1814.2,1819.2
2005-05-31,NIFTY 500,1819.6,1837.55,1818.05,1834.85
2005-06-01,NIFTY 500,1836.75,1845.05,1833.35,1838.45
2005-06-02,NIFTY 500,1840.15,1843.75,1820.1,1821.45
2005-06-03,NIFTY 500,1823.7,1844.4,1820.55,1843.05
2005-06-04,NIFTY 500,1844.85,1847.45,1839.0,1844.85
2005-06-06,NIFTY 500,1848.0,1862.2,1845.55,1849.2
2005-06-07,NIFTY 500,1853.55,1859.7,1847.25,1856.5
2005-06-08,NIFTY 500,1861.6,1870.5,1859.3,1867.3
2005-06-09,NIFTY 500,1871.15,1871.15,1858.5,1862.15
2005-06-10,NIFTY 500,1870.7,1872.65,1847.05,1851.0
2005-06-13,NIFTY 500,1856.55,1860.4,1844.7,1858.15
2005-06-14,NIFTY 500,1862.8,1864.45,1855.3,1863.1
2005-06-15,NIFTY 500,1865.3,1876.4,1865.05,1874.75
2005-06-16,NIFTY 500,1879.95,1881.15,1860.7,1862.75
2005-06-17,NIFTY 500,1866.7,1866.7,1842.75,1854.6
2005-06-20,NIFTY 500,1871.25,1872.65,1857.85,1861.65
2005-06-21,NIFTY 500,1864.55,1878.7,1857.9,1877.5
2005-06-22,NIFTY 500,1882.35,1896.45,1882.35,1889.05
2005-06-23,NIFTY 500,1893.1,1896.15,1882.45,1890.8
2005-06-24,NIFTY 500,1881.95,1907.8,1877.55,1901.35
2005-06-27,NIFTY 500,1898.55,1919.55,1898.55,1903.3
2005-06-28,NIFTY 500,1906.95,1908.3,1873.8,1875.8
2005-06-29,NIFTY 500,1880.8,1894.1,1872.05,1892.85
2005-06-30,NIFTY 500,1897.35,1912.15,1897.35,1906.2
2005-07-01,NIFTY 500,1900.85,1915.3,1895.4,1912.35
2005-07-04,NIFTY 500,1913.1,1933.9,1913.1,1933.35
2005-07-05,NIFTY 500,1933.75,1941.1,1913.3,1917.95
2005-07-06,NIFTY 500,1928.75,1941.75,1926.4,1939.3
2005-07-07,NIFTY 500,1940.5,1944.3,1896.95,1903.05
2005-07-08,NIFTY 500,1917.05,1929.1,1908.15,1924.4
2005-07-11,NIFTY 500,1932.25,1948.75,1932.25,1945.0
2005-07-12,NIFTY 500,1941.9,1958.65,1925.65,1948.55
2005-07-13,NIFTY 500,1956.35,1960.9,1939.8,1942.8
2005-07-14,NIFTY 500,1948.95,1949.35,1929.55,1933.6
2005-07-15,NIFTY 500,1944.7,1956.75,1933.65,1955.05
2005-07-18,NIFTY 500,1968.85,1979.2,1965.4,1976.75
2005-07-19,NIFTY 500,1985.85,1988.5,1974.6,1982.3
2005-07-20,NIFTY 500,1991.4,1996.8,1986.65,1989.7
2005-07-21,NIFTY 500,1998.75,2000.35,1971.25,1979.45
2005-07-22,NIFTY 500,1970.75,2008.85,1970.75,2007.4
2005-07-25,NIFTY 500,2017.15,2029.4,2014.95,2027.95
2005-07-26,NIFTY 500,2032.25,2032.25,2014.45,2028.8
2005-07-27,NIFTY 500,2029.35,2041.35,2021.25,2038.35
2005-07-29,NIFTY 500,2013.5,2044.7,2013.5,2027.4
2005-08-01,NIFTY 500,2027.5,2040.8,2012.35,2039.6
2005-08-02,NIFTY 500,2042.5,2075.15,2042.5,2073.5
2005-08-03,NIFTY 500,2086.75,2092.55,2066.3,2073.35
2005-08-04,NIFTY 500,2083.94,2087.4,2071.44,2083.65
2005-08-05,NIFTY 500,2090.5,2095.35,2081.4,2086.0
2005-08-08,NIFTY 500,2093.4,2095.15,2051.44,2055.4
2005-08-09,NIFTY 500,2061.8,2070.05,2039.35,2051.0
2005-08-10,NIFTY 500,2062.19,2088.55,2060.15,2086.44
2005-08-11,NIFTY 500,2095.9,2108.44,2085.75,2103.19
2005-08-12,NIFTY 500,2109.5,2110.15,2088.44,2093.19
2005-08-16,NIFTY 500,2097.3,2108.6,2092.3,2103.65
2005-08-17,NIFTY 500,2102.75,2131.4,2098.55,2129.6
2005-08-18,NIFTY 500,2132.9,2149.35,2113.35,2119.15
2005-08-19,NIFTY 500,2122.69,2136.05,2113.15,2116.5
2005-08-22,NIFTY 500,2117.94,2133.65,2094.55,2104.3
2005-08-23,NIFTY 500,2105.15,2110.6,2062.44,2066.25
2005-08-24,NIFTY 500,2067.35,2071.44,2038.7,2056.4
2005-08-25,NIFTY 500,2059.0,2082.55,2058.8,2080.35
2005-08-26,NIFTY 500,2086.35,2101.55,2081.0,2094.9
2005-08-29,NIFTY 500,2091.3,2091.3,2062.35,2083.0
2005-08-30,NIFTY 500,2085.44,2113.25,2085.44,2110.4
2005-08-31,NIFTY 500,2111.6,2127.75,2108.55,2126.35
2005-09-01,NIFTY 500,2134.55,2149.4,2134.55,2143.6
2005-09-02,NIFTY 500,2145.85,2155.5,2134.44,2150.94
2005-09-05,NIFTY 500,2153.5,2171.1,2153.5,2157.75
2005-09-06,NIFTY 500,2160.94,2169.25,2152.65,2161.5
2005-09-08,NIFTY 500,2167.3,2180.75,2167.3,2179.5
2005-09-09,NIFTY 500,2181.94,2183.35,2170.94,2179.15
2005-09-12,NIFTY 500,2186.94,2206.85,2186.94,2205.69
2005-09-13,NIFTY 500,2208.4,2221.65,2201.69,2220.85
2005-09-14,NIFTY 500,2220.5,2235.85,2197.15,2211.4
2005-09-15,NIFTY 500,2218.5,2237.94,2218.5,2236.65
2005-09-16,NIFTY 500,2244.75,2260.4,2234.15,2258.15
2005-09-19,NIFTY 500,2262.8,2278.4,2260.1,2275.0
2005-09-20,NIFTY 500,2274.25,2282.15,2254.65,2278.44
2005-09-21,NIFTY 500,2277.6,2278.05,2195.3,2260.25
2005-09-22,NIFTY 500,2258.65,2258.69,2159.75,2167.1
2005-09-23,NIFTY 500,2183.55,2196.6,2146.35,2174.65
2005-09-26,NIFTY 500,2195.75,2247.5,2195.75,2245.4
2005-09-27,NIFTY 500,2246.25,2274.8,2241.3,2259.35
2005-09-28,NIFTY 500,2261.3,2282.4,2250.65,2280.35
2005-09-29,NIFTY 500,2289.55,2302.3,2275.55,2281.75
2005-09-30,NIFTY 500,2284.1,2284.9,2242.85,2274.0
2005-10-03,NIFTY 500,2282.5,2302.15,2282.5,2299.44
2005-10-04,NIFTY 500,2300.05,2330.0,2300.05,2327.75
2005-10-05,NIFTY 500,2331.35,2333.1,2307.9,2313.25
2005-10-06,NIFTY 500,2284.9,2299.8,2264.5,2270.05
2005-10-07,NIFTY 500,2268.35,2293.05,2244.3,2264.1
2005-10-10,NIFTY 500,2272.9,2279.25,2249.35,2253.6
2005-10-11,NIFTY 500,2266.85,2267.35,2224.69,2264.0
2005-10-13,NIFTY 500,2254.4,2267.44,2220.15,2226.25
2005-10-14,NIFTY 500,2229.15,2229.5,2176.44,2181.05
2005-10-17,NIFTY 500,2189.6,2189.85,2154.9,2172.6
2005-10-18,NIFTY 500,2178.4,2201.9,2144.6,2157.9
2005-10-19,NIFTY 500,2141.44,2141.44,2094.5,2105.65
