date,ticker,open,high,low,close
2009-10-01,NIFTY100 QUALTY30,1000.0,1000.0,1000.0,1000.0
2009-10-05,NIFTY100 QUALTY30,982.63,982.63,982.63,982.63
2009-10-06,NIFTY100 QUALTY30,968.26,968.26,968.26,968.26
2009-10-07,NIFTY100 QUALTY30,956.95,956.95,956.95,956.95
2009-10-08,NIFTY100 QUALTY30,946.32,946.32,946.32,946.32
2009-10-09,NIFTY100 QUALTY30,943.05,943.05,943.05,943.05
2009-10-12,NIFTY100 QUALTY30,964.44,964.44,964.44,964.44
2009-10-14,NIFTY100 QUALTY30,972.14,972.14,972.14,972.14
2009-10-15,NIFTY100 QUALTY30,963.98,963.98,963.98,963.98
2009-10-16,NIFTY100 QUALTY30,968.24,968.24,968.24,968.24
2009-10-17,NIFTY100 QUALTY30,973.2,973.2,973.2,973.2
2009-10-20,NIFTY100 QUALTY30,972.38,972.38,972.38,972.38
2009-10-21,NIFTY100 QUALTY30,970.55,970.55,970.55,970.55
2009-10-22,NIFTY100 QUALTY30,962.52,962.52,962.52,962.52
2009-10-23,NIFTY100 QUALTY30,973.44,973.44,973.44,973.44
2009-10-26,NIFTY100 QUALTY30,967.85,967.85,967.85,967.85
2009-10-27,NIFTY100 QUALTY30,942.29,942.29,942.29,942.29
2009-10-28,NIFTY100 QUALTY30,948.48,948.48,948.48,948.48
2009-10-29,NIFTY100 QUALTY30,930.3,930.3,930.3,930.3
2009-10-30,NIFTY100 QUALTY30,915.25,915.25,915.25,915.25
2009-11-03,NIFTY100 QUALTY30,883.82,883.82,883.82,883.82
2009-11-04,NIFTY100 QUALTY30,912.4,912.4,912.4,912.4
2009-11-05,NIFTY100 QUALTY30,924.75,924.75,924.75,924.75
2009-11-06,NIFTY100 QUALTY30,925.41,925.41,925.41,925.41
2009-11-09,NIFTY100 QUALTY30,932.51,932.51,932.51,932.51
2009-11-10,NIFTY100 QUALTY30,919.6,919.6,919.6,919.6
2009-11-11,NIFTY100 QUALTY30,942.98,942.98,942.98,942.98
2009-11-12,NIFTY100 QUALTY30,938.55,938.55,938.55,938.55
2009-11-13,NIFTY100 QUALTY30,948.62,948.62,948.62,948.62
2009-11-16,NIFTY100 QUALTY30,959.94,959.94,959.94,959.94
2009-11-17,NIFTY100 QUALTY30,963.83,963.83,963.83,963.83
2009-11-18,NIFTY100 QUALTY30,967.72,967.72,967.72,967.72
2009-11-19,NIFTY100 QUALTY30,953.98,953.98,953.98,953.98
2009-11-20,NIFTY100 QUALTY30,959.81,959.81,959.81,959.81
2009-11-23,NIFTY100 QUALTY30,959.45,959.45,959.45,959.45
2009-11-24,NIFTY100 QUALTY30,961.8,961.8,961.8,961.8
2009-11-25,NIFTY100 QUALTY30,962.19,962.19,962.19,962.19
2009-11-26,NIFTY100 QUALTY30,948.64,948.64,948.64,948.64
2009-11-27,NIFTY100 QUALTY30,937.93,937.93,937.93,937.93
2009-11-30,NIFTY100 QUALTY30,953.9,953.9,953.9,953.9
2009-12-01,NIFTY100 QUALTY30,968.94,968.94,968.94,968.94
2009-12-02,NIFTY100 QUALTY30,967.09,967.09,967.09,967.09
2009-12-03,NIFTY100 QUALTY30,972.49,972.49,972.49,972.49
2009-12-04,NIFTY100 QUALTY30,974.32,974.32,974.32,974.32
2009-12-07,NIFTY100 QUALTY30,969.88,969.88,969.88,969.88
2009-12-08,NIFTY100 QUALTY30,987.34,987.34,987.34,987.34
2009-12-09,NIFTY100 QUALTY30,991.22,991.22,991.22,991.22
2009-12-10,NIFTY100 QUALTY30,991.69,991.69,991.69,991.69
2009-12-11,NIFTY100 QUALTY30,988.3,988.3,988.3,988.3
2009-12-14,NIFTY100 QUALTY30,985.84,985.84,985.84,985.84
2009-12-15,NIFTY100 QUALTY30,979.22,979.22,979.22,979.22
2009-12-16,NIFTY100 QUALTY30,986.58,986.58,986.58,986.58
