date,ticker,open,high,low,close
2005-04-01,NIFTY SMLCAP 250,1000.0,1000.0,1000.0,1000.0
2005-04-04,NIFTY SMLCAP 250,1007.5,1007.5,1007.5,1007.5
2005-04-05,NIFTY SMLCAP 250,998.77,998.77,998.77,998.77
2005-04-06,NIFTY SMLCAP 250,1017.08,1017.08,1017.08,1017.08
2005-04-07,NIFTY SMLCAP 250,1018.96,1018.96,1018.96,1018.96
2005-04-08,NIFTY SMLCAP 250,1011.39,1011.39,1011.39,1011.39
2005-04-11,NIFTY SMLCAP 250,1003.75,1003.75,1003.75,1003.75
2005-04-12,NIFTY SMLCAP 250,1011.74,1011.74,1011.74,1011.74
2005-04-13,NIFTY SMLCAP 250,1009.74,1009.74,1009.74,1009.74
2005-04-15,NIFTY SMLCAP 250,984.13,984.13,984.13,984.13
2005-04-18,NIFTY SMLCAP 250,979.05,979.05,979.05,979.05
2005-04-19,NIFTY SMLCAP 250,973.67,973.67,973.67,973.67
2005-04-20,NIFTY SMLCAP 250,980.67,980.67,980.67,980.67
2005-04-21,NIFTY SMLCAP 250,997.1,997.1,997.1,997.1
2005-04-22,NIFTY SMLCAP 250,1011.45,1011.45,1011.45,1011.45
2005-04-25,NIFTY SMLCAP 250,1017.63,1017.63,1017.63,1017.63
2005-04-26,NIFTY SMLCAP 250,1020.8,1020.8,1020.8,1020.8
2005-04-27,NIFTY SMLCAP 250,1014.41,1014.41,1014.41,1014.41
2005-04-28,NIFTY SMLCAP 250,1014.33,1014.33,1014.33,1014.33
2005-04-29,NIFTY SMLCAP 250,994.01,994.01,994.01,994.01
2005-05-02,NIFTY SMLCAP 250,985.82,985.82,985.82,985.82
2005-05-03,NIFTY SMLCAP 250,991.87,991.87,991.87,991.87
2005-05-04,NIFTY SMLCAP 250,1010.35,1010.35,1010.35,1010.35
2005-05-05,NIFTY SMLCAP 250,1023.33,1023.33,1023.33,1023.33
2005-05-06,NIFTY SMLCAP 250,1029.39,1029.39,1029.39,1029.39
2005-05-09,NIFTY SMLCAP 250,1044.64,1044.64,1044.64,1044.64
2005-05-10,NIFTY SMLCAP 250,1049.7,1049.7,1049.7,1049.7
2005-05-11,NIFTY SMLCAP 250,1054.01,1054.01,1054.01,1054.01
2005-05-12,NIFTY SMLCAP 250,1074.0,1074.0,1074.0,1074.0
2005-05-13,NIFTY SMLCAP 250,1089.1,1089.1,1089.1,1089.1
2005-05-16,NIFTY SMLCAP 250,1104.24,1104.24,1104.24,1104.24
2005-05-17,NIFTY SMLCAP 250,1091.11,1091.11,1091.11,1091.11
2005-05-18,NIFTY SMLCAP 250,1093.86,1093.86,1093.86,1093.86
2005-05-19,NIFTY SMLCAP 250,1108.16,1108.16,1108.16,1108.16
2005-05-20,NIFTY SMLCAP 250,1111.15,1111.15,1111.15,1111.15
2005-05-23,NIFTY SMLCAP 250,1119.48,1119.48,1119.48,1119.48
2005-05-24,NIFTY SMLCAP 250,1117.5,1117.5,1117.5,1117.5
