Index Name,pe,pb,divYield,DATE
Nifty 50,11.62,2.07,1.83,1999-01-01
Nifty 50,11.72,2.08,1.81,1999-01-04
Nifty 50,11.84,2.11,1.79,1999-01-05
Nifty 50,12.11,2.16,1.75,1999-01-06
Nifty 50,12.46,2.22,1.71,1999-01-07
Nifty 50,12.92,2.30,1.64,1999-01-08
Nifty 50,12.86,2.29,1.65,1999-01-11
Nifty 50,12.59,2.24,1.69,1999-01-12
Nifty 50,12.54,2.23,1.69,1999-01-13
Nifty 50,12.46,2.22,1.70,1999-01-14
Nifty 50,12.19,2.17,1.74,1999-01-15
Nifty 50,12.33,2.19,1.72,1999-01-18
Nifty 50,12.06,2.15,1.76,1999-01-19
Nifty 50,12.84,2.29,1.65,1999-01-21
Nifty 50,12.71,2.26,1.67,1999-01-22
Nifty 50,12.61,2.24,1.68,1999-01-25
Nifty 50,12.90,2.29,1.65,1999-01-27
Nifty 50,12.68,2.26,1.68,1999-01-28
Nifty 50,12.83,2.28,1.66,1999-01-29
Nifty 50,12.48,2.22,1.70,1999-02-01
Nifty 50,12.36,2.20,1.72,1999-02-02
Nifty 50,12.64,2.25,1.69,1999-02-03
Nifty 50,12.48,2.22,1.71,1999-02-04
Nifty 50,12.43,2.21,1.71,1999-02-05
Nifty 50,12.17,2.17,1.75,1999-02-08
Nifty 50,12.28,2.18,1.73,1999-02-09
Nifty 50,12.74,2.27,1.67,1999-02-10
Nifty 50,12.75,2.27,1.67,1999-02-11
Nifty 50,12.88,2.29,1.62,1999-02-12
Nifty 50,12.67,2.26,1.64,1999-02-15
Nifty 50,12.73,2.27,1.63,1999-02-16
Nifty 50,12.87,2.29,1.64,1999-02-17
Nifty 50,12.92,2.30,1.63,1999-02-18
Nifty 50,12.96,2.31,1.63,1999-02-19
Nifty 50,12.66,2.25,1.66,1999-02-22
Nifty 50,12.61,2.24,1.67,1999-02-23
Nifty 50,12.72,2.26,1.66,1999-02-24
Nifty 50,12.68,2.26,1.66,1999-02-25
Nifty 50,12.51,2.23,1.66,1999-02-26
Nifty 50,13.04,2.32,1.59,1999-02-27
Nifty 50,13.50,2.40,1.54,1999-03-01
Nifty 50,13.98,2.49,1.49,1999-03-03
Nifty 50,13.83,2.46,1.50,1999-03-04
Nifty 50,14.01,2.49,1.48,1999-03-05
Nifty 50,14.25,2.53,1.46,1999-03-08
Nifty 50,14.33,2.55,1.45,1999-03-09
Nifty 50,14.35,2.55,1.46,1999-03-10
Nifty 50,14.09,2.51,1.48,1999-03-11
Nifty 50,14.26,2.54,1.37,1999-03-12
Nifty 50,14.28,2.54,1.37,1999-03-15
Nifty 50,14.00,2.49,1.39,1999-03-16
Nifty 50,14.10,2.51,1.51,1999-03-17
Nifty 50,14.29,2.54,1.49,1999-03-18
Nifty 50,14.13,2.52,1.50,1999-03-19
Nifty 50,14.10,2.51,1.50,1999-03-20
Nifty 50,14.13,2.52,1.50,1999-03-22
Nifty 50,14.27,2.54,1.49,1999-03-23
Nifty 50,14.13,2.51,1.51,1999-03-24
Nifty 50,14.03,2.50,1.52,1999-03-25
Nifty 50,13.85,2.46,1.53,1999-03-26
Nifty 50,14.02,2.50,1.51,1999-03-30
Nifty 50,16.53,2.84,1.48,1999-03-31
Nifty 50,16.31,2.80,1.50,1999-04-01
Nifty 50,15.51,2.66,1.56,1999-04-05
Nifty 50,15.71,2.70,1.54,1999-04-06
Nifty 50,15.81,2.72,1.54,1999-04-07
Nifty 50,15.65,2.69,1.55,1999-04-08
Nifty 50,15.24,2.62,1.60,1999-04-09
Nifty 50,15.31,2.63,1.59,1999-04-12
Nifty 50,15.25,2.62,1.59,1999-04-13
Nifty 50,14.87,2.56,1.63,1999-04-15
Nifty 50,16.04,2.76,1.38,1999-04-16
Nifty 50,14.85,2.55,1.49,1999-04-17
Nifty 50,15.26,2.62,1.45,1999-04-19
