Date,NIFTY Index - Dividend 12 Month Yld - Gross
2000-06-30,0.951
2000-09-30,1.323
2000-12-31,1.3278
2001-03-31,1.2634
2001-06-30,1.457
2001-09-30,2.1311
2001-12-31,1.9199
2002-03-31,1.5005
2002-06-30,1.5972
2002-09-30,1.9415
2002-12-31,1.9763
2003-03-31,2.0744
2003-06-30,1.9294
2003-09-30,1.8936
2003-12-31,1.5971
2004-03-31,1.6251
2004-06-30,2.5725
2004-09-30,2.1963
2004-12-31,1.8833
2005-03-31,1.9318
2005-06-30,1.773
2005-09-30,1.6591
2005-12-31,1.5888
2006-03-31,1.3895
2006-06-30,1.6216
2006-09-30,1.3447
2006-12-31,1.2836
2007-03-31,1.4648
2007-06-30,1.2537
2007-09-30,1.1338
2007-12-31,0.8423
2008-03-31,1.0326
2008-06-30,1.2339
2008-09-30,1.3921
2008-12-31,1.8334
2009-03-31,1.7578
2009-06-30,1.1881
2009-09-30,0.9576
2009-12-31,0.9635
2010-03-31,0.9509
2010-06-30,1.1906
2010-09-30,1.0893
2010-12-31,1.1884
2011-03-31,1.2605
2011-06-30,1.3942
2011-09-30,1.5787
2011-12-31,1.6175
2012-03-31,1.4984
2012-06-30,1.5915
2012-09-30,1.4459
2012-12-31,1.5043
2013-03-31,1.5404
2013-06-30,1.5749
2013-09-30,1.625
2013-12-31,1.4952
2014-03-31,1.4728
2014-06-30,1.3994
2014-09-30,1.4265
2014-12-31,1.3851
2015-03-31,1.3271
2015-06-30,1.4189
2015-09-30,1.3557
2015-12-31,1.3791
2016-03-31,1.5599
2016-06-30,1.4007
2016-09-30,1.3888
2016-12-31,1.47
2017-03-31,1.3136
2017-06-30,1.2937
2017-09-30,1.3912
2017-12-31,1.2855
2018-03-31,1.3473
2018-06-30,1.3151
2018-09-30,1.3056
2018-12-31,1.4553
2019-03-31,1.2812
2019-06-30,1.2763
2019-09-30,1.2767
2019-12-31,1.2007
2020-03-31,1.8782
2020-06-30,1.5395
2020-09-30,1.2921
2020-12-31,1.02
2021-03-31,0.8518
2021-06-30,1.1976
2021-09-30,1.0514
2021-12-31,1.1988
2022-03-31,1.1335
2022-06-30,1.4287
2022-09-30,1.3263
2022-12-31,1.3349
2023-03-31,1.4612
2023-06-30,1.4255
2023-09-30,1.4114
2023-12-31,1.3344
2024-03-31,1.2525
2024-06-30,1.2035
2024-09-30,1.1762
2024-12-31,1.296
2025-03-31,1.3191
2025-06-30,1.2454
2025-09-30,1.3177
2025-11-14,1.2801
