Date,NIFTY Index - Price Earnings Ratio (P/E)
2002-09-30,13.3168
2002-12-31,15.4252
2003-06-30,13.8178
2003-09-30,14.2316
2003-12-31,19.4329
2004-06-30,12.3307
2004-09-30,13.1782
2004-12-31,18.5061
2005-06-30,12.2865
2005-09-30,14.0756
2005-12-31,13.6822
2006-03-31,16.0044
2006-06-30,14.7172
2006-09-30,17.408
2006-12-31,19.6889
2007-03-31,16.916
2007-06-30,18.7094
2007-09-30,20.786
2007-12-31,20.5905
2008-03-31,14.6762
2008-06-30,14.3296
2008-09-30,13.9781
2008-12-31,10.1722
2009-03-31,10.9415
2009-06-30,16.5374
2009-09-30,19.5864
2009-12-31,20.2304
2010-03-31,21.1243
2010-06-30,20.5961
2010-09-30,23.4258
2010-12-31,22.5443
2011-03-31,20.6137
2011-06-30,17.6858
2011-09-30,15.4978
2011-12-31,14.7273
2012-03-31,16.0808
2012-06-30,14.9273
2012-09-30,16.1115
2012-12-31,16.0256
2013-03-31,15.0388
2013-06-30,15.745
2013-09-30,15.2878
2013-12-31,16.8343
2014-03-31,18.3672
2014-06-30,17.3606
2014-09-30,19.03
2014-12-31,19.2448
2015-03-31,20.1952
2015-06-30,20.1566
2015-09-30,19.2782
2015-12-31,19.834
2016-03-31,19.4704
2016-06-30,20.7742
2016-09-30,22.0725
2016-12-31,19.4124
2017-03-31,22.4637
2017-06-30,22.7884
2017-09-30,23.7871
2017-12-31,24.6723
2018-03-31,21.8644
2018-06-30,22.8964
2018-09-30,23.619
2018-12-31,16.2044
2019-03-31,17.4327
2019-06-30,23.9736
2019-09-30,23.1529
2019-12-31,23.8028
2020-03-31,18.3388
2020-06-30,21.3245
2020-09-30,24.6069
2020-12-31,30.6672
2021-03-31,30.5205
2021-06-30,28.9346
2021-09-30,30.5672
2021-12-31,27.489
2022-03-31,25.657
2022-06-30,20.6992
2022-09-30,22.0731
2022-12-31,23.1765
2023-03-31,21.9134
2023-06-30,22.8343
2023-09-30,21.8168
2023-12-31,23.6155
2024-03-31,23.0353
2024-06-30,23.5132
2024-09-30,24.3586
2024-12-31,22.1552
2025-03-31,21.8411
2025-06-30,24.688
2025-09-30,22.5358
2025-11-14,23.9381
