date,ticker,open,high,low,close
2009-03-02,INDIA VIX,43.19,43.38,41.44,43.17
2009-03-03,INDIA VIX,43.17,43.9,41.2,43.89
2009-03-04,INDIA VIX,43.89,43.89,42.16,42.52
2009-03-05,INDIA VIX,42.52,42.71,40.4,41.49
2009-03-06,INDIA VIX,41.49,41.49,37.57,38.15
2009-03-09,INDIA VIX,38.15,41.14,38.15,40.86
2009-03-12,INDIA VIX,40.86,40.86,38.5,39.27
2009-03-13,INDIA VIX,39.27,39.27,35.08,35.56
2009-03-16,INDIA VIX,35.56,37.88,35.56,36.7
2009-03-17,INDIA VIX,36.7,38.76,34.85,38.43
2009-03-18,INDIA VIX,38.43,38.86,36.99,38.15
2009-03-19,INDIA VIX,38.15,38.6,36.65,37.74
2009-03-20,INDIA VIX,37.74,37.99,34.97,37.0
2009-03-23,INDIA VIX,37.0,38.6,36.61,38.59
2009-03-24,INDIA VIX,38.59,39.86,36.34,38.02
2009-03-25,INDIA VIX,38.02,41.7,35.94,37.4
2009-03-26,INDIA VIX,37.4,40.2,36.52,37.22
2009-03-27,INDIA VIX,37.22,40.34,36.79,37.58
2009-03-30,INDIA VIX,37.58,41.31,37.58,40.09
2009-03-31,INDIA VIX,40.09,41.03,39.15,39.49
2009-04-01,INDIA VIX,39.49,39.49,36.42,36.44
2009-04-02,INDIA VIX,36.44,37.82,34.26,37.36
2009-04-06,INDIA VIX,37.36,42.4,36.44,41.02
2009-04-08,INDIA VIX,41.02,43.54,39.64,43.29
2009-04-09,INDIA VIX,43.29,44.35,40.34,43.21
2009-04-13,INDIA VIX,43.21,47.32,42.98,46.57
2009-04-15,INDIA VIX,46.57,48.91,44.31,47.59
2009-04-16,INDIA VIX,47.59,51.55,44.47,50.1
2009-04-17,INDIA VIX,50.1,51.58,44.98,50.65
2009-04-20,INDIA VIX,50.65,55.6,44.57,54.41
2009-04-21,INDIA VIX,54.41,54.99,50.38,53.27
2009-04-22,INDIA VIX,48.47,54.39,48.47,53.59
