Exchange Date,Open,High,Low,Close
03-Mar-2008,28.4900,41.5400,28.4900,35.7600
04-Mar-2008,38.0800,51.0700,30.5900,38.0800
05-Mar-2008,38.0800,38.7600,27.9500,35.5100
07-Mar-2008,36.9500,39.3400,27.0500,35.2000
10-Mar-2008,25.3300,47.9500,25.3300,32.5800
11-Mar-2008,30.7200,37.5400,29.7500,32.6900
12-Mar-2008,31.1900,34.0600,24.0600,32.3600
13-Mar-2008,37.8300,37.8300,25.2800,34.1500
14-Mar-2008,36.3200,37.8200,29.0700,31.1100
17-Mar-2008,33.4500,38.5500,28.2300,33.4300
18-Mar-2008,31.7800,49.0300,31.7800,37.8400
19-Mar-2008,37.8400,41.8400,30.0400,35.4900
24-Mar-2008,35.4900,39.0400,29.6300,35.2100
25-Mar-2008,35.2100,36.0200,30.4600,33.3000
26-Mar-2008,33.3000,45.8100,28.0800,37.1800
27-Mar-2008,37.1800,39.4100,27.4000,37.2800
28-Mar-2008,46.1500,46.1500,28.4300,33.0700
31-Mar-2008,33.0700,37.9200,28.5700,35.1400
01-Apr-2008,31.2400,38.3800,28.5900,35.1000
02-Apr-2008,35.1000,38.4100,27.6300,33.6200
03-Apr-2008,33.6200,37.2300,30.2800,36.6800
04-Apr-2008,36.6800,37.2300,30.3300,36.9300
07-Apr-2008,36.9300,36.9300,22.4900,30.9900
08-Apr-2008,30.9900,33.7100,26.7700,31.4000
09-Apr-2008,31.4000,39.3600,28.3700,38.2400
10-Apr-2008,38.2400,38.2400,28.4500,30.5200
11-Apr-2008,30.5200,34.7600,21.3400,33.8300
15-Apr-2008,23.9700,42.4200,23.9700,30.2300
16-Apr-2008,30.2300,31.8700,24.0100,27.9400
17-Apr-2008,27.1000,27.1000,27.1000,27.1000
21-Apr-2008,27.1000,27.1000,27.1000,27.1000
22-Apr-2008,39.6200,39.6200,39.6200,39.6200
23-Apr-2008,32.3700,32.3700,32.3700,32.3700
24-Apr-2008,28.7300,28.7300,28.7300,28.7300
25-Apr-2008,27.4000,27.4000,27.4000,27.4000
28-Apr-2008,27.6200,27.6200,27.6200,27.6200
29-Apr-2008,27.6200,27.6200,25.5700,26.1600
30-Apr-2008,26.1600,26.1600,22.4900,26.1600
02-May-2008,25.1600,26.0200,22.4300,24.2100
05-May-2008,24.2100,26.9100,19.9500,25.0700
06-May-2008,25.0700,28.5000,23.0600,24.9100
07-May-2008,24.9100,30.1800,22.2000,25.0600
08-May-2008,25.0600,27.2500,23.6400,25.9400
09-May-2008,25.9400,30.8100,23.3800,27.5300
12-May-2008,27.5300,32.1100,19.0600,31.5000
13-May-2008,31.5000,33.5300,26.0900,33.4300
14-May-2008,33.4300,33.4300,24.7900,29.2200
15-May-2008,29.2200,30.0800,15.8500,29.0200
16-May-2008,29.0200,30.7500,22.3800,23.2500
20-May-2008,28.6700,28.6700,11.7400,24.9900
21-May-2008,30.5300,30.5300,8.7400,27.8600
22-May-2008,27.8600,35.7900,24.1300,34.8600
23-May-2008,34.8600,40.0100,24.7300,34.0300
26-May-2008,34.0300,34.0300,25.0700,33.0100
27-May-2008,33.0100,34.1500,25.6000,28.5900
28-May-2008,28.5900,41.6200,23.5600,32.6300
29-May-2008,32.6300,38.4400,25.6700,28.0800
30-May-2008,28.0800,35.4700,26.5900,26.6800
02-Jun-2008,26.6800,29.4900,25.0200,29.4900
03-Jun-2008,42.6800,42.6800,27.1000,28.4900
04-Jun-2008,28.4900,32.6700,26.1700,29.8200
05-Jun-2008,29.8200,38.7900,25.3100,30.3200
06-Jun-2008,30.3200,30.3200,30.3200,30.3200
09-Jun-2008,32.8700,35.2900,19.3600,32.4300
10-Jun-2008,25.9900,33.2300,25.2900,30.2300
11-Jun-2008,19.5300,39.1100,19.5300,29.6400
12-Jun-2008,29.6400,37.3600,27.8700,29.2300
13-Jun-2008,31.4100,41.1800,16.7200,30.7000
16-Jun-2008,14.4700,38.6400,14.4700,29.0200
17-Jun-2008,30.7000,37.8000,13.7700,28.9600
18-Jun-2008,24.7600,34.4400,22.2800,31.8200
19-Jun-2008,31.8200,44.3000,31.6100,32.3200
20-Jun-2008,32.3200,57.8500,22.4600,28.1900
23-Jun-2008,28.1900,48.2000,28.1900,31.1200
24-Jun-2008,31.1200,67.5200,29.9500,34.0500
25-Jun-2008,34.0500,53.1600,33.1300,36.4600
