Date,.SPX,.NSEI,.NIFSMCP100,.VIX,.NIFMDCP100
12/29/1995,615.93,,,,
1/1/1996,,908.01,,44.28,
1/2/1996,620.73,900.38,,12.19,
1/3/1996,621.32,895.96,,12.1,
1/4/1996,617.7,889.67,,13.78,
1/5/1996,616.71,884.73,,13.58,
1/8/1996,618.46,869.7,,13.11,
1/9/1996,609.45,869.12,,15.21,
1/10/1996,598.48,863.8,,16.4,
1/11/1996,602.69,873.27,,14.69,
1/12/1996,601.81,875.15,,14.23,
1/15/1996,599.82,871.32,,14.99,
1/16/1996,608.44,868.52,,14.09,
1/17/1996,606.37,857.11,,14.25,
1/18/1996,608.24,848.83,,13.58,
1/19/1996,611.83,843.99,,12.7,
1/22/1996,613.4,844.31,,13.34,
1/23/1996,612.79,832.9,,13.56,
1/24/1996,619.96,818.69,,12.54,
1/25/1996,617.03,814.92,,12.94,
1/26/1996,621.62,,,12,
1/29/1996,624.22,830.88,,12.19,
1/30/1996,630.15,846.57,,12.42,
1/31/1996,636.02,848.42,,12.53,
2/1/1996,638.46,869.54,,12.65,
2/2/1996,635.84,918.31,,13.23,
2/5/1996,641.43,943.08,,13.46,
2/6/1996,646.33,925.71,,14.59,
2/7/1996,649.93,932.02,,14.11,
2/8/1996,656.07,980.27,,13.89,
2/9/1996,656.37,1033.02,,14.63,
2/12/1996,661.45,1018.51,,14.69,
2/13/1996,660.51,1027.36,,14.94,
2/14/1996,655.58,1051.99,,15.59,
2/15/1996,651.32,1046.24,,16.13,
2/16/1996,647.98,1023.08,,15.37,
2/19/1996,,1021.38,,28.09,
2/20/1996,640.65,1000.13,,16.8,
2/21/1996,648.1,,,14.47,
2/22/1996,658.86,1024.91,,14.56,
2/23/1996,659.08,1028.84,,14.78,
2/26/1996,650.46,1034.73,,16.38,
2/27/1996,647.24,1027.45,,16.63,
2/28/1996,644.75,1027.39,,16.72,
2/29/1996,640.43,992.51,,17.04,
3/1/1996,644.37,999.47,,16.72,
3/4/1996,650.81,998.84,,16.67,
3/5/1996,655.79,,,16.1,
3/6/1996,652,1002.91,,16.56,
3/7/1996,653.65,998.45,,16.49,
3/8/1996,633.5,988.62,,20.7,
3/11/1996,640.02,975.26,,19.4,
3/12/1996,637.09,976.22,,19.09,
3/13/1996,638.55,992.14,,18.13,
3/14/1996,640.87,991.14,,16.93,
3/15/1996,641.43,981.87,,16.54,
3/18/1996,652.65,962.09,,17.31,
3/19/1996,651.69,947.09,,18.35,
3/20/1996,649.98,,,18.66,
3/21/1996,649.19,965.57,,17.74,
3/22/1996,650.62,956.11,,17.05,
3/25/1996,650.04,953.98,,17.84,
3/26/1996,652.97,957.14,,17.8,
3/27/1996,648.91,974.17,,17.89,
3/28/1996,648.94,997.32,,18.16,
3/29/1996,645.5,985.3,,18.88,
4/1/1996,653.73,994.8,,17.9,
4/2/1996,655.26,1003.28,,16.45,
4/3/1996,655.88,1013.47,,16.33,
4/4/1996,655.86,1010.94,,16.18,
4/5/1996,,,,29.24,
4/8/1996,644.24,1032.13,,18.72,
4/9/1996,642.19,1029.07,,17.32,
4/10/1996,633.5,1029.28,,20.22,
4/11/1996,631.18,1025.18,,19.65,
4/12/1996,636.71,1032.19,,17.38,
4/15/1996,642.49,1046.45,,16.83,
4/16/1996,645,1058.71,,16.45,
4/17/1996,641.61,1096.28,,17.07,
4/18/1996,643.61,1121.68,,16.41,
4/19/1996,645.07,1131.74,,15.12,
4/22/1996,647.89,1106.93,,15.38,
4/23/1996,651.58,1095.82,,15.01,
4/24/1996,650.17,1145.11,,14.91,
4/25/1996,652.87,1120.82,,14.72,
4/26/1996,653.46,1123.63,,14.75,
4/29/1996,654.16,1118.37,,15.45,
4/30/1996,654.17,1114.36,,15.83,
5/1/1996,654.58,1137.86,,16.07,
5/2/1996,643.38,1132.05,,18.62,
5/3/1996,641.63,1119.48,,16.7,
5/6/1996,640.81,1088.22,,16.92,
5/7/1996,638.26,1093.09,,16.87,
5/8/1996,644.77,1108.53,,15.78,
5/9/1996,645.44,1090.53,,16.99,
5/10/1996,652.09,1078.63,,15.61,
5/13/1996,661.51,1088.1,,15.16,
5/14/1996,665.6,1105.47,,14.9,
5/15/1996,665.42,1115.97,,15.59,
5/16/1996,664.85,1128.59,,15.71,
5/17/1996,668.91,1115.54,,15.13,
5/20/1996,673.15,1083.67,,15.8,
5/21/1996,672.76,1074.86,,16,
5/22/1996,678.42,1081.13,,15.5,
5/23/1996,676,1076.71,,16.17,
5/24/1996,678.51,1085.03,,15.54,
5/27/1996,,1065.29,,22.06,
5/28/1996,672.23,1063.36,,16.92,
5/29/1996,667.93,1096.76,,17.15,
5/30/1996,671.7,1082.84,,16.02,
5/31/1996,669.12,1089.92,,16.07,
6/3/1996,667.68,1108.87,,16.86,
6/4/1996,672.56,1105.64,,16.18,
6/5/1996,678.44,1113.14,,16.04,
6/6/1996,673.03,1129.82,,16.84,
6/7/1996,673.31,1133.44,,16.1,
6/10/1996,672.16,1141.35,,16.78,
6/11/1996,670.97,1143.06,,16.68,
