Date,BSE Sensex CAPE 10,BSE Sensex CAPE 7,BSE Sensex CAPE 5,NIFTY 500 CAPE 10,NIFTY 500 CAPE 7,NIFTY 500 CAPE 5
1995-04-30,,,35.67,,,
1995-05-31,,,33.25,,,
1995-06-30,,,33.69,,,
1995-07-31,,,32.58,,,
1995-08-31,,,32.55,,,
1995-09-30,,,31.81,,,
1995-10-31,,,32.38,,,
1995-11-30,,,28.53,,,
1995-12-31,,,27.47,,,
1996-01-31,,,26.52,,,
1996-02-29,,,29.76,,,
1996-03-31,,,28.4,,,
1996-04-30,,,29.83,,,
1996-05-31,,,30.13,,,
1996-06-30,,,30.67,,,
1996-07-31,,,27.89,,,
1996-08-31,,,25.64,,,
1996-09-30,,,24.73,,,
1996-10-31,,,22.56,,,
1996-11-30,,,21.2,,,
1996-12-31,,,19.97,,,
1997-01-31,,,22.99,,,
1997-02-28,,,22.93,,,
1997-03-31,,,24.52,,,
1997-04-30,,25.86,23.5,,,
1997-05-31,,26.03,23.63,,,
1997-06-30,,27.21,24.69,,,
1997-07-31,,28.3,25.65,,,
1997-08-31,,28.0,25.36,,,
1997-09-30,,25.34,22.93,,,
1997-10-31,,25.05,22.63,,,
1997-11-30,,22.34,20.14,,,
1997-12-31,,21.14,19.03,,,
1998-01-31,,20.0,17.98,,,
1998-02-28,,19.5,17.51,,,
1998-03-31,,21.79,19.54,,,
1998-04-30,,23.09,20.69,,,
1998-05-31,,21.42,19.17,,,
1998-06-30,,17.56,15.69,,,
1998-07-31,,16.67,14.87,,,
1998-08-31,,15.03,13.39,,,
1998-09-30,,15.15,13.47,,,
1998-10-31,,13.54,11.99,,,
1998-11-30,,13.49,11.92,,,
1998-12-31,,13.85,12.21,,,
1999-01-31,,15.63,13.75,,,
1999-02-28,,15.77,13.84,,,
1999-03-31,,17.65,15.46,,,
1999-04-30,,16.4,14.33,,,
1999-05-31,,18.12,15.78,,,
1999-06-30,,18.83,16.37,,,
1999-07-31,,20.64,17.89,,,
1999-08-31,,21.05,18.21,,,
1999-09-30,,21.09,18.21,,,
1999-10-31,,21.09,18.2,,,
1999-11-30,,19.86,17.14,,,
1999-12-31,,21.05,18.17,,,
2000-01-31,,23.6,20.38,,,
2000-02-29,,24.61,21.26,,,
2000-03-31,,22.6,19.53,,,
2000-04-30,23.77,20.79,17.97,,,
2000-05-31,20.46,17.91,15.5,,,
2000-06-30,22.35,19.59,16.98,,,
2000-07-31,22.03,19.32,16.81,,,
2000-08-31,20.58,18.06,15.82,,,
2000-09-30,20.9,18.34,16.18,,,
2000-10-31,17.84,15.64,13.9,,,
2000-11-30,18.26,16.01,14.32,,,
2000-12-31,19.1,16.73,15.08,,,
2001-01-31,19.43,17.02,15.45,,,
2001-02-28,20.21,17.7,16.19,,,
2001-03-31,17.73,15.52,14.31,,,
2001-04-30,16.09,14.08,13.08,,,12.47
2001-05-31,16.52,14.46,13.53,,,13.35
2001-06-30,15.48,13.54,12.76,,,12.67
2001-07-31,14.84,12.97,12.31,,,11.95
2001-08-31,14.52,12.68,12.13,,,11.85
2001-09-30,12.82,11.2,10.81,,,10.56
2001-10-31,12.79,11.17,10.89,,,10.49
2001-11-30,13.65,11.93,11.74,,,11.58
2001-12-31,14.37,12.56,12.48,,,12.56
2002-01-31,14.57,12.74,12.78,,,12.82
2002-02-28,15.34,13.42,13.59,,,13.86
2002-03-31,15.47,13.55,13.85,,,14.25
2002-04-30,14.79,12.95,13.39,,,14.24
2002-05-31,14.11,12.36,12.9,,,13.94
2002-06-30,13.77,12.07,12.74,,,14.05
2002-07-31,13.43,11.8,12.57,,,13.8
2002-08-31,12.66,11.17,11.97,,,13.01
2002-09-30,12.74,11.29,12.19,,,12.84
2002-10-31,12.1,10.77,11.7,,,12.48
2002-11-30,12.47,11.15,12.18,,,12.82
2002-12-31,13.62,12.24,13.45,,,13.95
2003-01-31,13.67,12.35,13.64,,,14.22
2003-02-28,13.42,12.19,13.53,,,14.01
2003-03-31,12.81,11.7,13.04,,,13.41
2003-04-30,12.19,11.19,12.53,,11.5,12.94
2003-05-31,12.14,11.22,12.62,,12.16,13.65
2003-06-30,13.44,12.48,14.09,,13.85,15.49
2003-07-31,14.4,13.43,15.21,,14.84,16.53
2003-08-31,15.64,14.66,16.64,,16.68,18.5
2003-09-30,16.9,15.96,18.12,,18.23,20.12
2003-10-31,18.33,17.46,19.8,,19.58,21.5
2003-11-30,19.05,18.27,20.72,,20.65,22.53
2003-12-31,20.84,20.15,22.79,,23.25,25.16
2004-01-31,22.67,22.07,24.88,,25.62,27.52
2004-02-29,22.09,21.66,24.34,,24.33,25.96
2004-03-31,21.17,20.91,23.42,,23.82,25.25
2004-04-30,21.8,21.7,24.23,,25.2,26.55
2004-05-31,19.3,19.36,21.56,,22.3,23.34
2004-06-30,17.66,17.86,19.83,,20.11,20.93
2004-07-31,17.94,18.28,20.21,,20.68,21.42
2004-08-31,18.28,18.76,20.65,,21.24,21.9
2004-09-30,19.14,19.79,21.66,,22.42,23.01
2004-10-31,19.9,20.72,22.54,,23.43,23.87
2004-11-30,20.77,21.77,23.55,,24.53,24.78
2004-12-31,22.37,23.59,25.36,,26.93,26.98
2005-01-31,21.76,23.07,24.65,,26.34,26.19
2005-02-28,22.68,24.14,25.65,,27.48,27.15
2005-03-31,22.83,24.37,25.75,,27.71,27.23
2005-04-30,21.51,23.03,24.2,,26.2,25.59
2005-05-31,21.81,23.42,24.37,,26.44,25.65
2005-06-30,23.08,24.85,25.56,,27.6,26.59
2005-07-31,23.88,25.73,26.19,,28.36,27.14
2005-08-31,24.95,26.85,27.06,,29.8,28.34
2005-09-30,26.49,28.47,28.41,,31.3,29.57
2005-10-31,25.92,27.83,27.51,,30.06,28.22
2005-11-30,26.55,28.48,27.91,,30.23,28.2
2005-12-31,28.53,30.53,29.69,,32.37,30.0
2006-01-31,29.52,31.5,30.43,,33.55,30.91
2006-02-28,31.09,33.08,31.72,,34.42,31.57
2006-03-31,33.27,35.3,33.6,,36.38,33.21
2006-04-30,35.44,37.49,35.43,37.69,38.25,34.76
2006-05-31,34.59,36.5,34.23,36.58,36.89,33.37
2006-06-30,28.91,30.41,28.32,29.54,29.61,26.66
2006-07-31,30.37,31.87,29.48,30.41,30.27,27.12
2006-08-31,32.35,33.86,31.13,32.55,32.21,28.71
2006-09-30,34.02,35.43,32.39,34.28,33.7,29.89
2006-10-31,35.0,36.26,32.95,35.25,34.42,30.4
2006-11-30,37.03,38.15,34.5,37.04,35.92,31.61
2006-12-31,37.46,38.36,34.54,37.13,35.74,31.33
