Regime,Group,Feature,Feature_MeanCorr,Feature_MaxCorr,Feature_MinCorr,Feature_MeanCov,Feature_MaxCov,Feature_MinCov
GFC,LogReturn,LogReturn_.NSEI,0.9411287018929253,0.9478668322605435,0.934390571525307,0.013210009340325277,0.014160227274575015,0.01225979140607554
GFC,LogReturn,LogReturn_.NIFMDCP100,0.9599725463697059,0.9720782604788683,0.9478668322605435,0.014842829963571214,0.017425868521066888,0.01225979140607554
GFC,LogReturn,LogReturn_.NIFSMCP100,0.9532344160020876,0.9720782604788683,0.934390571525307,0.01579304789782095,0.017425868521066888,0.014160227274575015
GFC,ReturnXm,Return3m_.NSEI,0.6240266042113158,0.9640132438599914,0.24359448332203376,0.0450620491971416,0.06662212842110463,0.025679184380376845
GFC,ReturnXm,Return3m_.NIFMDCP100,0.6788187853135812,0.9845797138514704,0.3126727966458036,0.05926361939457211,0.08982247823749963,0.0381530901955128
GFC,ReturnXm,Return3m_.NIFSMCP100,0.6616743827740745,0.9845797138514704,0.2932198072664398,0.06587238770613188,0.10311653049069347,0.04257328314305271
GFC,ReturnXm,Return6m_.NSEI,0.7427794271215038,0.9852231831567326,0.4706701155244454,0.08606642614939199,0.14574382624852494,0.04989232465596684
GFC,ReturnXm,Return6m_.NIFMDCP100,0.7458799222139025,0.9907679823306449,0.5392185278016998,0.10658630742572676,0.18406936229242496,0.05659796726827621
GFC,ReturnXm,Return6m_.NIFSMCP100,0.7419775617752986,0.9907679823306449,0.5070373779864751,0.11767965388528709,0.18406936229242496,0.06662212842110463
GFC,ReturnXm,Return12m_.NSEI,0.6203876821747619,0.9823779693537714,0.3557804787627299,0.09188600733734001,0.1882302520326607,0.026918500055809667
GFC,ReturnXm,Return12m_.NIFMDCP100,0.594519716214284,0.9823779693537714,0.30518796368635537,0.1061162868604286,0.23588944071278004,0.02893737761126657
GFC,ReturnXm,Return12m_.NIFSMCP100,0.541118554544112,0.9812721282629691,0.24359448332203376,0.10563636912167274,0.23588944071278004,0.025679184380376845
GFC,DrawdownXm,Drawdown3m_.NSEI,0.712051968317675,0.969334540092353,0.5223004320353066,0.0097274415177207,0.01136027474983256,0.007719133021587486
GFC,DrawdownXm,Drawdown3m_.NIFMDCP100,0.7733960165263613,0.9769251978142148,0.5970020349613362,0.01264605209874348,0.015587967785656682,0.00840515536747473
GFC,DrawdownXm,Drawdown3m_.NIFSMCP100,0.7793421578712619,0.9769251978142148,0.613274612446504,0.015055325555000708,0.019267557817128127,0.010120344343260809
GFC,DrawdownXm,Drawdown6m_.NSEI,0.8491482286619516,0.9869535417359836,0.7112252245970274,0.01817575092606085,0.026624179481205445,0.007719133021587486
GFC,DrawdownXm,Drawdown6m_.NIFMDCP100,0.853520326187267,0.9878373617674305,0.6895472573659707,0.021752176160112387,0.03308894368228179,0.009076813722145397
GFC,DrawdownXm,Drawdown6m_.NIFSMCP100,0.8409213203015471,0.9878373617674305,0.645531741408777,0.026100211145270346,0.04204657180551323,0.010635003426449385
GFC,DrawdownXm,Drawdown12m_.NSEI,0.8221155784139474,0.9923490860690148,0.6053518561463052,0.025050753536767,0.04546533295176403,0.009414090724074608
GFC,DrawdownXm,Drawdown12m_.NIFMDCP100,0.8129607147760121,0.9923490860690148,0.584440663949432,0.029220051418781097,0.05593055962512642,0.011088716786940617
GFC,DrawdownXm,Drawdown12m_.NIFSMCP100,0.7728005000860494,0.9796212922720839,0.5223004320353066,0.031171423487313537,0.05593055962512642,0.01136027474983256
GFC,SemiStdXm,SemiStd3m_.NSEI,0.6786033111231926,0.9572805087813073,0.39712341931501965,0.0023281584071979918,0.004447621562739526,0.0008815163695227321
GFC,SemiStdXm,SemiStd3m_.NIFMDCP100,0.7462513981676335,0.964181279773326,0.4507812548329812,0.003035169460890264,0.005561619649554423,0.0012337862964633857
GFC,SemiStdXm,SemiStd3m_.NIFSMCP100,0.7514184895159854,0.964181279773326,0.499786323944784,0.0036877329607520465,0.005561619649554423,0.001658918965882303
GFC,SemiStdXm,SemiStd6m_.NSEI,0.7934277760894402,0.9783319504859788,0.6123924376142634,0.0023532070370400372,0.003608590384228153,0.0011074586146200215
GFC,SemiStdXm,SemiStd6m_.NIFMDCP100,0.8025851535945141,0.9780867703991794,0.6420323495304803,0.0028950707272961547,0.004545213890514243,0.0014715314253277091
GFC,SemiStdXm,SemiStd6m_.NIFSMCP100,0.8058051003785929,0.9783319504859788,0.6913285780578058,0.0035720189060290844,0.005395857278052689,0.002004417376319149
GFC,SemiStdXm,SemiStd12m_.NSEI,0.6934886544659549,0.9931761547646916,0.4525900105820041,0.001508371716230936,0.002156634531303569,0.0008815163695227321
GFC,SemiStdXm,SemiStd12m_.NIFMDCP100,0.7202745042750354,0.9931761547646916,0.4919780206385357,0.0018808521723520616,0.002623807331990914,0.0011744464343641816
GFC,SemiStdXm,SemiStd12m_.NIFSMCP100,0.6568447943088114,0.9842774275181835,0.39712341931501965,0.002254334262849101,0.003285808175688054,0.0013286418660717276
Post_GFC,LogReturn,LogReturn_.NSEI,0.8379360418739319,0.8681011042342811,0.8077709795135827,0.0027217373074708913,0.0028679898749647426,0.00257548473997704
Post_GFC,LogReturn,LogReturn_.NIFMDCP100,0.9012314691816992,0.9343618341291171,0.8681011042342811,0.003276911890251376,0.003978339040525712,0.00257548473997704
Post_GFC,LogReturn,LogReturn_.NIFSMCP100,0.8710664068213498,0.9343618341291171,0.8077709795135827,0.0034231644577452274,0.003978339040525712,0.0028679898749647426
Post_GFC,ReturnXm,Return3m_.NSEI,0.5971321852100705,0.9202228083830839,0.360127916605632,0.007829457969392526,0.011994059107398572,0.004867258985658707
Post_GFC,ReturnXm,Return3m_.NIFMDCP100,0.6389882964347875,0.9396859099726271,0.3826337548986185,0.013046911804142119,0.022373129694827555,0.006958462206146899
Post_GFC,ReturnXm,Return3m_.NIFSMCP100,0.5802012765663384,0.9396859099726271,0.2987616419742381,0.014294633075262325,0.024559659407122687,0.007587724279004393
Post_GFC,ReturnXm,Return6m_.NSEI,0.657278103081333,0.9102113060387551,0.5304459083561365,0.013213838761149165,0.02439713359786002,0.004867258985658707
Post_GFC,ReturnXm,Return6m_.NIFMDCP100,0.7251781007125416,0.9497678677264022,0.6153372672201358,0.023359895226807228,0.049517743029303674,0.007043310134358351
Post_GFC,ReturnXm,Return6m_.NIFSMCP100,0.6772864728517123,0.9497678677264022,0.4966277261214224,0.02552167849905112,0.054527435379029134,0.008481911114818724
Post_GFC,ReturnXm,Return12m_.NSEI,0.5746553802503405,0.9583933352160147,0.2987616419742381,0.028587947013085358,0.0808271333128032,0.005327604193861988
Post_GFC,ReturnXm,Return12m_.NIFMDCP100,0.5972348938441827,0.9754008028872603,0.3273398958221299,0.045375858075626184,0.14894849548965597,0.009359972813834109
Post_GFC,ReturnXm,Return12m_.NIFSMCP100,0.6495730569112885,0.9754008028872603,0.4052798697451849,0.052143098627250105,0.14894849548965597,0.011994059107398572
Post_GFC,DrawdownXm,Drawdown3m_.NSEI,0.7691676226447335,0.9293533789127402,0.6181838486426003,0.001687067642401428,0.0020524939181417973,0.001426679053986002
Post_GFC,DrawdownXm,Drawdown3m_.NIFMDCP100,0.7660824631075668,0.9343232680268532,0.6315420536632367,0.002105624642201752,0.002659507534109938,0.001426679053986002
Post_GFC,DrawdownXm,Drawdown3m_.NIFSMCP100,0.7493679538340172,0.9343232680268532,0.5927606627354717,0.0024446851329568363,0.003338129661913882,0.0015656420030802363
Post_GFC,DrawdownXm,Drawdown6m_.NSEI,0.8104137713682119,0.9293533789127402,0.7132988241390492,0.002143532765089113,0.002975036755473495,0.0014350847855466552
Post_GFC,DrawdownXm,Drawdown6m_.NIFMDCP100,0.8242196303633833,0.9246218439076068,0.7254598643587236,0.003029700903247658,0.004647373397860665,0.0016601172092679795
Post_GFC,DrawdownXm,Drawdown6m_.NIFSMCP100,0.7645949152239994,0.9246218439076068,0.6104355538719932,0.0033330805389997593,0.005787823557908181,0.0017117056981679987
Post_GFC,DrawdownXm,Drawdown12m_.NSEI,0.7410665831301395,0.9223473998858938,0.5927606627354717,0.0025411330166725623,0.003973107023372741,0.0016607461454246795
Post_GFC,DrawdownXm,Drawdown12m_.NIFMDCP100,0.8021709585818866,0.9552934456701092,0.6686116651757757,0.003713379070925794,0.006919975893904788,0.0019840723255960756
