,Gold,Silver,Crude,BTC
MonthlyPrice_.NSEI,0.14223646542067994,0.3160746433989505,0.8629073346873114,0.5972514285112023
MonthlyPrice_.NIFMDCP100,0.10298334625303251,0.2742411189795012,0.8684795130242093,0.5866330222242122
MonthlyPrice_.NIFSMCP100,0.172414089406164,0.388625812754929,0.8079461863888401,0.7155152505385081
LogReturn_.NSEI,0.32490477459651307,0.30089684059832067,0.00918422928513771,0.0848690922636702
LogReturn_.NIFMDCP100,0.2714056982974026,0.328551992777195,0.013458369398500642,0.08696827888281794
LogReturn_.NIFSMCP100,0.3077887803568402,0.3905040318597447,-0.04083456947708532,0.08931249271503873
Return3m_.NSEI,0.45038736599015256,0.6558574487274493,0.015181845182229585,0.21545787065159208
Return3m_.NIFMDCP100,0.34379086941386333,0.6315405423529102,-0.03569912294192449,0.220981704241742
Return3m_.NIFSMCP100,0.3809541733657779,0.6696497141338447,-0.14497663933882107,0.16651975464881125
Return6m_.NSEI,0.20220871210378935,0.6584862712669265,-0.0012878536994981162,0.4753140273937954
Return6m_.NIFMDCP100,0.13504805549561563,0.6302633660781654,-0.04977316734574435,0.4674706503800459
Return6m_.NIFSMCP100,0.21330157819819162,0.6563383304072287,-0.14871449301985692,0.4276433278711645
Return12m_.NSEI,0.15712102278981718,0.6229350081435439,0.28169790847780574,0.8396252416126332
Return12m_.NIFMDCP100,0.17239094047877643,0.6266999397456595,0.2553256248331351,0.8439047432121571
Return12m_.NIFSMCP100,0.1896274135578176,0.6371238197540157,0.17590454577639933,0.8206255922006975
Drawdown3m_.NSEI,0.4477949700528426,0.6066452368367926,0.2881601214471207,0.3463184740133431
Drawdown3m_.NIFMDCP100,0.39037088355177496,0.5866391643016838,0.26272792073772894,0.3180111392977201
Drawdown3m_.NIFSMCP100,0.32224667449286304,0.563121163824881,0.17261687661749378,0.280896596503327
Drawdown6m_.NSEI,0.40636363078919957,0.7034347746960523,0.4137199054532794,0.46314399031769293
Drawdown6m_.NIFMDCP100,0.3196659113821714,0.6690975080470312,0.41569467387591263,0.4660120187373762
Drawdown6m_.NIFSMCP100,0.2684738870016068,0.6969028424446495,0.2183417794319277,0.4608213221516585
Drawdown12m_.NSEI,0.2493511261039104,0.6389816279890678,0.5024253442374026,0.5751658503438591
Drawdown12m_.NIFMDCP100,0.22284307292084152,0.6244331386191525,0.49766853281455187,0.5621464905512399
Drawdown12m_.NIFSMCP100,0.3275027802945168,0.7679200109811722,0.22421344336565457,0.662039590489929
SemiStd3m_.NSEI,-0.4340294382316858,-0.6960754799650428,-0.3815674569676348,-0.4328492073004015
SemiStd3m_.NIFMDCP100,-0.3675092751239753,-0.6733803193367611,-0.31305799125475464,-0.39980080438596843
SemiStd3m_.NIFSMCP100,-0.32195744405613763,-0.6527475663271904,-0.24466549328979628,-0.3645552038147407
SemiStd6m_.NSEI,-0.04943284486073761,-0.4462856847849051,-0.5055745515694985,-0.6001924154536684
SemiStd6m_.NIFMDCP100,-0.04302086718922824,-0.479421972856078,-0.43196353136697174,-0.6011164324004613
SemiStd6m_.NIFSMCP100,-0.03748275705847738,-0.4956832840539707,-0.3568384292745091,-0.5846575142986666
SemiStd12m_.NSEI,0.0966177049667188,-0.1283994377186686,-0.7360087544740798,-0.6042111099512778
SemiStd12m_.NIFMDCP100,0.06878834289667002,-0.18365746861779117,-0.6949208296033952,-0.6580586297853269
SemiStd12m_.NIFSMCP100,0.07737869008346043,-0.20075823622667294,-0.6370258413775943,-0.6758228576375737
