,Gold,Silver,Crude,BTC
MonthlyPrice_.NSEI,42973.65850119049,3342.600227456349,67117.79732936506,29714918.519769065
MonthlyPrice_.NIFMDCP100,68398.48192619049,6375.517480277779,148498.20353650794,64161120.46880477
MonthlyPrice_.NIFSMCP100,41047.95677857146,3238.5741113571416,49520.313457142845,28051988.754699998
LogReturn_.NSEI,2.2534217426773924,0.07304784690566998,0.01639876953402864,96.93082603877008
LogReturn_.NIFMDCP100,2.3533850658128825,0.09971983292379037,0.03004336914789199,124.1826366916163
LogReturn_.NIFSMCP100,3.2870746670001316,0.14597742947132267,-0.11227082756261988,157.07062257529086
Return3m_.NSEI,4.9356187836080165,0.2515754563865,0.042831385730888294,388.81565449318674
Return3m_.NIFMDCP100,4.696299170020177,0.30197157044938605,-0.12554549155875724,497.099933736255
Return3m_.NIFSMCP100,6.892394838114184,0.42408069761298073,-0.6752702229279193,496.1227530333682
Return6m_.NSEI,3.2455790991085305,0.36994951699027506,-0.005321585237971681,1256.3161304685498
Return6m_.NIFMDCP100,2.887365155728121,0.47167064194387515,-0.2739623054178248,1645.8630487605992
Return6m_.NIFSMCP100,6.229416687548013,0.6709412386602749,-1.1181209019928626,2056.652810983049
Return12m_.NSEI,3.895622888231728,0.5406158254281844,1.7980774392283994,3428.104619766558
Return12m_.NIFMDCP100,6.44332825868356,0.8198962050355494,2.456814574598415,5194.158714692137
Return12m_.NIFSMCP100,9.723857192388651,1.1435751186750096,2.322184230043608,6929.604959061928
Drawdown3m_.NSEI,2.3886792996144095,0.11327050376213448,0.3957260787211143,304.2147477219078
Drawdown3m_.NIFMDCP100,2.7334096183787127,0.1437810857947329,0.4736043553108666,366.6870758128321
Drawdown3m_.NIFSMCP100,2.93944267951764,0.1797967371750322,0.405361000915875,421.9383481365281
Drawdown6m_.NSEI,2.8296442721983377,0.17145266848563487,0.7416612429410614,531.078857912541
Drawdown6m_.NIFMDCP100,2.8117109433780785,0.20599997244946353,0.9413062951139618,674.9901452108329
Drawdown6m_.NIFSMCP100,3.172681805157847,0.2882704381750944,0.6642682131166079,896.7739885339524
Drawdown12m_.NSEI,1.7473868740957992,0.15673627160312706,0.9064240750107068,663.7381759683415
Drawdown12m_.NIFMDCP100,1.9623566656750053,0.19247226374476922,1.1282390986045392,815.1814337821176
Drawdown12m_.NIFSMCP100,3.9776778663077526,0.32646303017502826,0.7010652229488203,1324.1114731310363
SemiStd3m_.NSEI,-1.82938186987875,-0.10269396553328755,-0.414036539106312,-300.4331008428549
SemiStd3m_.NIFMDCP100,-2.171768008690855,-0.13928647625532037,-0.47626874240640626,-389.0583679195871
SemiStd3m_.NIFSMCP100,-2.446574162882041,-0.17362352943901885,-0.47864639751659893,-456.1935974500023
SemiStd6m_.NSEI,-0.18871752445458048,-0.059636615393704025,-0.4968942710537003,-377.322843767097
SemiStd6m_.NIFMDCP100,-0.23375889665322244,-0.09118225492636421,-0.6042521848309005,-537.8653388166834
SemiStd6m_.NIFSMCP100,-0.25772349613261397,-0.11929717634618478,-0.6316496548678474,-661.9878089606844
SemiStd12m_.NSEI,0.3062909139708378,-0.014247672491372538,-0.6006791186193153,-315.422066740231
SemiStd12m_.NIFMDCP100,0.31376405604246677,-0.029322455920620064,-0.8160294465182724,-494.2866736054077
SemiStd12m_.NIFSMCP100,0.4331208869944604,-0.03933367553042606,-0.9179667751655677,-622.9405479662497
