,Gold,Silver,Crude,BTC
MonthlyPrice_.NSEI,0.40794253475982845,0.060383225027458964,1.3046230762370215e-11,0.0001202640078505901
MonthlyPrice_.NIFMDCP100,0.5500494897008212,0.10553783828022012,6.738831714869775e-12,0.00016974670203007136
MonthlyPrice_.NIFSMCP100,0.3146409602674498,0.01916134460755181,2.568979251549308e-09,9.359250365825744e-07
LogReturn_.NSEI,0.053180892014058845,0.07454557096882541,0.9576031089599077,0.6226253371357462
LogReturn_.NIFMDCP100,0.10933658158582649,0.05041377263018609,0.9379045630938301,0.6140144105096987
LogReturn_.NIFSMCP100,0.06782381032883089,0.018538274960210988,0.8130763799418275,0.6044581500198247
Return3m_.NSEI,0.0058439598015862515,1.4104353403654457e-05,0.9299710594237884,0.2069457256324143
Return3m_.NIFMDCP100,0.04007290240208494,3.620192180142645e-05,0.836243252816848,0.19525876249963736
Return3m_.NIFSMCP100,0.021890701137478485,7.95355927252217e-06,0.39887555462306734,0.33171896453164473
Return6m_.NSEI,0.2369280076449256,1.2673794712370068e-05,0.9940522962796079,0.0033940650123021054
Return6m_.NIFMDCP100,0.43227805549568155,3.79553202578542e-05,0.7731338043762483,0.004044385526434047
Return6m_.NIFSMCP100,0.211636781568751,1.3832168846539261e-05,0.3866961066167307,0.009278730436547367
Return12m_.NSEI,0.3601088158929575,4.9589274008443596e-05,0.09602505199827238,1.5549472820453047e-10
Return12m_.NIFMDCP100,0.31470693110058146,4.326160362033704e-05,0.13285834222952286,1.0165757124980246e-10
Return12m_.NIFSMCP100,0.2679920965802043,2.936613257387144e-05,0.3047931145501406,8.930298722731322e-10
Drawdown3m_.NSEI,0.006169816873399903,8.77537671151174e-05,0.08832375234726708,0.03853712463123338
Drawdown3m_.NIFMDCP100,0.018581880135176476,0.00016971345444916075,0.12160472464815131,0.058741114167640385
Drawdown3m_.NIFSMCP100,0.055272869888901566,0.00034943466249615085,0.3140634195569021,0.09701468941699076
Drawdown6m_.NSEI,0.013920951870922238,1.7091329180818349e-06,0.012133694260974215,0.004447350769414715
Drawdown6m_.NIFMDCP100,0.05736613447296812,8.14272925508952e-06,0.011688394582144435,0.004176547676692177
Drawdown6m_.NIFSMCP100,0.11337209585898256,2.3383181093628025e-06,0.2007850976661818,0.0046776635863192695
Drawdown12m_.NSEI,0.14248863595110173,2.7365696809500406e-05,0.001792518462774062,0.00024305305926564102
Drawdown12m_.NIFMDCP100,0.1914268347980983,4.697746840842676e-05,0.002012560233423999,0.00035963453316134597
Drawdown12m_.NIFSMCP100,0.051197724917367404,4.59572828681587e-08,0.18863968808799947,1.0949842197849335e-05
SemiStd3m_.NSEI,0.008174331454239514,2.4316023232717754e-06,0.02166125432233379,0.008369527678003807
SemiStd3m_.NIFMDCP100,0.027450934516589198,6.776967947930146e-06,0.06301344680907595,0.015697934804927982
SemiStd3m_.NIFSMCP100,0.05550439574898469,1.5985485176672753e-05,0.15039215018486507,0.02881670843230788
SemiStd6m_.NSEI,0.7746447858415546,0.006366630052624389,0.0016587260384830493,0.00010908002161813535
SemiStd6m_.NIFMDCP100,0.8032596421912563,0.0030912581861828325,0.008518609566773527,0.0001057647263835726
SemiStd6m_.NIFSMCP100,0.8281805473331438,0.002111173668194466,0.032649828374476275,0.0001807486416129933
SemiStd12m_.NSEI,0.5750964541674102,0.4554829388982058,3.132088093327212e-07,9.531146779639954e-05
SemiStd12m_.NIFMDCP100,0.6901607845133952,0.2836264844215104,2.567487996429918e-06,1.2897123450095194e-05
SemiStd12m_.NIFSMCP100,0.6537485457286016,0.2403796425696869,2.9475223084274305e-05,6.095082622392667e-06
