,Ind_spread,Us_spread
MonthlyPrice_.NSEI,-0.3021696285609369,-0.08674377907534273
MonthlyPrice_.NIFMDCP100,-0.3290381521248685,-0.0952282323677478
MonthlyPrice_.NIFSMCP100,-0.1359439787409727,0.11615551424190321
LogReturn_.NSEI,0.2633797740037892,0.13412620301148323
LogReturn_.NIFMDCP100,0.23657260115197373,0.15614305324775374
LogReturn_.NIFSMCP100,0.24324163080860067,0.19365403359851935
Return3m_.NSEI,0.21573367757550418,0.22582034984342067
Return3m_.NIFMDCP100,0.19131484621523295,0.29970922489467366
Return3m_.NIFSMCP100,0.22982754633594832,0.34147047217024723
Return6m_.NSEI,0.240500307851043,0.4385614742076734
Return6m_.NIFMDCP100,0.25409156453332016,0.49422561962665035
Return6m_.NIFSMCP100,0.3767615261585454,0.5542960667174811
Return12m_.NSEI,0.3024235280216882,0.714664388992911
Return12m_.NIFMDCP100,0.33475283569094416,0.7477414693515902
Return12m_.NIFSMCP100,0.40360845314757515,0.8043437366531546
Drawdown3m_.NSEI,0.19717691723257463,0.21292253089284274
Drawdown3m_.NIFMDCP100,0.12459698894645364,0.17004864977283426
Drawdown3m_.NIFSMCP100,0.09338266385234965,0.17386675382170205
Drawdown6m_.NSEI,0.04330669344206787,0.19997586148214702
Drawdown6m_.NIFMDCP100,-0.01467010556857057,0.1759567362544883
Drawdown6m_.NIFSMCP100,0.055428558672703965,0.2726113406287206
Drawdown12m_.NSEI,-0.000846936912210239,0.2202604965267747
Drawdown12m_.NIFMDCP100,-0.0373494240026756,0.19371257622653432
Drawdown12m_.NIFSMCP100,0.30768589187033074,0.5256726292574821
SemiStd3m_.NSEI,-0.08932951974531841,-0.25859491633907256
SemiStd3m_.NIFMDCP100,-0.03998713293480383,-0.24446622668328266
SemiStd3m_.NIFSMCP100,-0.018275901801446726,-0.2405330134938343
SemiStd6m_.NSEI,0.010091073029923963,-0.26431365388113137
SemiStd6m_.NIFMDCP100,-0.008162389776470205,-0.3014713855060226
SemiStd6m_.NIFSMCP100,-0.03310063110351596,-0.32779832283793314
SemiStd12m_.NSEI,0.255034582002309,-0.13080937807412538
SemiStd12m_.NIFMDCP100,0.19257970800027302,-0.2159962922748579
SemiStd12m_.NIFSMCP100,0.14120869251726606,-0.2822577439820609
