,Ind_spread,Us_spread
MonthlyPrice_.NSEI,-443.5489167460317,-147.1030674603172
MonthlyPrice_.NIFMDCP100,-1061.7568131746032,-355.00723174603144
MonthlyPrice_.NIFSMCP100,-157.24545571428573,155.22105714285712
LogReturn_.NSEI,0.008874995530231454,0.005221460905317503
LogReturn_.NIFMDCP100,0.00996638849045826,0.007599564623041287
LogReturn_.NIFSMCP100,0.012621007550151336,0.011608479677319573
Return3m_.NSEI,0.011486102598344396,0.013890263943388784
Return3m_.NIFMDCP100,0.012697242827515776,0.022980186071050762
Return3m_.NIFSMCP100,0.020202207560736703,0.03467708487504787
Return6m_.NSEI,0.018754578450227037,0.03951070931121854
Return6m_.NIFMDCP100,0.02639386303105721,0.05931037144274301
Return6m_.NIFSMCP100,0.053458798794348485,0.09086301083785213
Return12m_.NSEI,0.036429861675161365,0.0994573233213039
Return12m_.NIFMDCP100,0.060788218849988265,0.15686978410639726
Return12m_.NIFSMCP100,0.10055346472531895,0.23151074279369896
Drawdown3m_.NSEI,0.00511015464132617,0.0063751773115871485
Drawdown3m_.NIFMDCP100,0.00423871467294657,0.006683323788755702
Drawdown3m_.NIFSMCP100,0.004138492242000067,0.008901949179865195
Drawdown6m_.NSEI,0.0014651138400072184,0.007816036874147598
Drawdown6m_.NIFMDCP100,-0.0006269124857123585,0.008687048699983916
Drawdown6m_.NIFSMCP100,0.0031824192182415677,0.01808258017553183
Drawdown12m_.NSEI,-2.8835542857480316e-05,0.008663758991554653
Drawdown12m_.NIFMDCP100,-0.001597945821000938,0.009574776312722444
Drawdown12m_.NIFSMCP100,0.018156056944434125,0.03583620363163374
SemiStd3m_.NSEI,-0.0018292771879846743,-0.006117826838604486
SemiStd3m_.NIFMDCP100,-0.0011480603790058638,-0.008108789192097907
SemiStd3m_.NIFSMCP100,-0.0006747424991651266,-0.010259510017996357
SemiStd6m_.NSEI,0.00018716873742985888,-0.005663804289260596
SemiStd6m_.NIFMDCP100,-0.00021547934832885881,-0.009194478438472696
SemiStd6m_.NIFSMCP100,-0.0011057529219451233,-0.012650894286759739
SemiStd12m_.NSEI,0.00392803913184672,-0.002327599691465496
SemiStd12m_.NIFMDCP100,0.004267742446350593,-0.0055300193732864275
SemiStd12m_.NIFSMCP100,0.0038401529443338584,-0.008867998967550451
