,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,-0.15457746606340675,0.8429290506852868,-0.15929412948278363,0.1484144814940527
MonthlyPrice_.NIFMDCP100,-0.13709630477901436,0.8693704243964736,-0.16409675149754535,0.16420569318618694
MonthlyPrice_.NIFSMCP100,-0.20241698987070808,0.8651676834939,-0.13691679194783596,-0.022064851450384636
LogReturn_.NSEI,-0.2351013686240547,-0.08169076218786785,-0.02073406589759002,-0.24497941379133534
LogReturn_.NIFMDCP100,-0.2079667961796022,-0.10301136786413675,0.05231976256904715,-0.2540516758135735
LogReturn_.NIFSMCP100,-0.2295529449399396,-0.15067103177372662,0.03238075811020382,-0.2594453088666612
Return3m_.NSEI,-0.3639204100291368,-0.16506108799328637,0.09214014305184924,-0.2729395010479306
Return3m_.NIFMDCP100,-0.2963254568592231,-0.17243136216112806,0.09626605408727906,-0.2942580239728762
Return3m_.NIFSMCP100,-0.2775319233162827,-0.24595595984275934,0.10443142533198042,-0.30590575414461085
Return6m_.NSEI,-0.2817099237597981,-0.021231271451123905,0.19074302338140184,-0.25667306861284245
Return6m_.NIFMDCP100,-0.2771403588304484,-0.02899334623384694,0.2291888722852636,-0.2704089117499601
Return6m_.NIFSMCP100,-0.29053777739507913,-0.10046858428606775,0.2676049767366348,-0.3621533687938042
Return12m_.NSEI,-0.32292050251466886,0.4014157838455079,-0.11526574135894925,-0.4099515638737545
Return12m_.NIFMDCP100,-0.3453136957306844,0.4100492015197478,-0.10787918484065057,-0.4471456069546569
Return12m_.NIFSMCP100,-0.34026703122503243,0.3558205044844347,-0.0957246583698812,-0.4962485145170866
Drawdown3m_.NSEI,-0.22820274927730572,0.12164574796835373,0.021672475434992844,-0.2739722137130054
Drawdown3m_.NIFMDCP100,-0.20529156130996304,0.09379740128451085,0.020727233965204143,-0.2122024580530831
Drawdown3m_.NIFSMCP100,-0.21407292811891607,0.031253467905909674,-0.004099672636154255,-0.16188965444475734
Drawdown6m_.NSEI,-0.1530780432155822,0.3146693887702361,0.06503954139823157,-0.17686770992299114
Drawdown6m_.NIFMDCP100,-0.12201629197323145,0.33731258819186577,0.0908538316775371,-0.11396423825446753
Drawdown6m_.NIFSMCP100,-0.1638124939219145,0.18517033931551066,0.06535729149016632,-0.1152674691878341
Drawdown12m_.NSEI,-0.14110202700838723,0.4354108955777918,-0.0012788179625608028,-0.10800475062575424
Drawdown12m_.NIFMDCP100,-0.13963614198027482,0.4368510033811455,0.03774027074717687,-0.08058876777426262
Drawdown12m_.NIFSMCP100,-0.2999141592411968,0.23859418379680727,0.09002572059710132,-0.38486568340202776
SemiStd3m_.NSEI,0.11663114518884182,-0.2573464128976348,-0.10105484331054716,0.2504698255792661
SemiStd3m_.NIFMDCP100,0.13412658736025615,-0.1874843854376066,-0.05912393992990048,0.1973506735899611
SemiStd3m_.NIFSMCP100,0.1315918651171068,-0.13763144074922515,-0.031928582778289596,0.1591251161073293
SemiStd6m_.NSEI,0.014737520708681643,-0.5273453255880791,-0.1876034293926365,0.0959928607290583
SemiStd6m_.NIFMDCP100,0.060740021913979626,-0.4634845246888988,-0.17469313018674396,0.10147566217731793
SemiStd6m_.NIFSMCP100,0.07136174285714597,-0.39876663510692134,-0.16443398226145842,0.10403225897373232
SemiStd12m_.NSEI,-0.18854016926345754,-0.8397244820074585,0.19639987683340546,-0.1027757083606842
SemiStd12m_.NIFMDCP100,-0.11501261561194637,-0.8260638368185634,0.2087128918150813,-0.03930357192811774
SemiStd12m_.NIFSMCP100,-0.10673044430769218,-0.7900816389807319,0.2118478065064775,0.0024750262104504617
