,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,-483.5379259647844,15066.021205555551,-1629736209801.587,274.11212896825384
MonthlyPrice_.NIFMDCP100,-942.7535914613653,34158.63448412698,-3690673398015.8735,666.6966468253966
MonthlyPrice_.NIFSMCP100,-498.95196412816324,12185.2728,-1103828679285.714,-32.112964285714455
LogReturn_.NSEI,-0.01688241325954043,-0.03351780044655552,-4869641.933913691,-0.01038667576649243
LogReturn_.NIFMDCP100,-0.018670717837406064,-0.052841527288592115,15362643.87550058,-0.013466560679285599
LogReturn_.NIFSMCP100,-0.02538239721182124,-0.0951924978599314,11710352.393316392,-0.01693804194002764
Return3m_.NSEI,-0.04129094333244201,-0.10700801016553317,34192468.7235667,-0.018284470958924656
Return3m_.NIFMDCP100,-0.04191055020375326,-0.1393457899366447,44530826.38696859,-0.024572555683647225
Return3m_.NIFSMCP100,-0.05198802762526182,-0.2632515514950288,63981554.21625328,-0.0338334009813469
Return6m_.NSEI,-0.04681526259016558,-0.02015972083373571,103673357.65687601,-0.025184494280465083
Return6m_.NIFMDCP100,-0.061348808667320356,-0.03667143406215156,165933116.7712842,-0.03534231334340316
Return6m_.NIFSMCP100,-0.08785144430720904,-0.1735800350692364,264651077.3558131,-0.0646556436336563
Return12m_.NSEI,-0.08289554930484304,0.5887802483582496,-96776302.78032938,-0.062134921725935564
Return12m_.NIFMDCP100,-0.13362958038174255,0.9066673253795493,-136539919.25702837,-0.10216576315246777
Return12m_.NIFSMCP100,-0.18065513279500103,1.0794054279086334,-166221594.05430865,-0.155559760948999
Drawdown3m_.NSEI,-0.012603538433619554,0.03838766923645308,3914833.7305262648,-0.008933995937493878
Drawdown3m_.NIFMDCP100,-0.014883030821053082,0.03885387000364613,4914675.154572513,-0.009083188095693985
Drawdown3m_.NIFSMCP100,-0.02021767838497687,0.01686517847253023,-1266344.5855590638,-0.009027266095445038
Drawdown6m_.NSEI,-0.0110362846812286,0.12962467552644225,15336301.833966201,-0.0075288069128360054
Drawdown6m_.NIFMDCP100,-0.011111818793031601,0.17551856915116992,27060994.94164779,-0.006127785204034099
Drawdown6m_.NIFSMCP100,-0.020043080573391436,0.12945298400504343,26154395.132540595,-0.008327062456428398
Drawdown12m_.NSEI,-0.010237737047662494,0.18050664891855392,-303467.80978373927,-0.004626804938740878
Drawdown12m_.NIFMDCP100,-0.012731208486982613,0.227576974708108,11254079.661416315,-0.0043382434366914914
Drawdown12m_.NIFSMCP100,-0.03771417135779247,0.17143150828538825,37026050.65977183,-0.028574879205252535
SemiStd3m_.NSEI,0.00508970611812949,-0.06416814416364025,-14423427.77668699,0.00645358737156614
SemiStd3m_.NIFMDCP100,0.008206405727779875,-0.06554301372959838,-11831359.794420896,0.007129258089702793
SemiStd3m_.NIFSMCP100,0.010353374876906787,-0.06187194180342658,-8216100.125082469,0.007391953809397503
SemiStd6m_.NSEI,0.000582524287414077,-0.11909894182920289,-24252893.87350877,0.0022402483050110466
SemiStd6m_.NIFMDCP100,0.0034170939176254144,-0.14898426486781502,-32143338.52768469,0.003370633082985614
SemiStd6m_.NIFSMCP100,0.005080201250182958,-0.16220247461298926,-38286020.532021284,0.004372714390360874
SemiStd12m_.NSEI,-0.006188341501349277,-0.15748180641267756,21083600.330448333,-0.0019917208612197147
SemiStd12m_.NIFMDCP100,-0.005431587824162468,-0.22290413716711346,32237680.421884876,-0.0010959253200286097
SemiStd12m_.NIFSMCP100,-0.006185418010137244,-0.2616229868710663,40154839.39768134,8.468922403276047e-05
