,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,0.3680350410545148,1.1212497597057336e-10,0.3534187611673363,0.387665586654965
MonthlyPrice_.NIFMDCP100,0.4252634617465647,6.0467186813184526e-12,0.3389020516656265,0.338577058294645
MonthlyPrice_.NIFSMCP100,0.23643513931605975,1.0014655771328762e-11,0.4258756846693721,0.8983608616515306
LogReturn_.NSEI,0.16750630641504194,0.6357570073762444,0.9044620004326074,0.1498528754358741
LogReturn_.NIFMDCP100,0.2235566110882259,0.5499403781192891,0.761853705417409,0.13487030083413942
LogReturn_.NIFSMCP100,0.17805272028809993,0.38040832928541857,0.8512867339631951,0.12650397204269548
Return3m_.NSEI,0.029117369180976294,0.33603190018684903,0.5930168479926046,0.10726906391452862
Return3m_.NIFMDCP100,0.07928327379323852,0.3145917412661212,0.5764949643558617,0.08150123754423477
Return3m_.NIFSMCP100,0.10125533618698568,0.1481843038886903,0.5444242847082781,0.0696111544913478
Return6m_.NSEI,0.09601027181002864,0.902181855419971,0.2651344856883313,0.13075455303384254
Return6m_.NIFMDCP100,0.10175785769636492,0.8666966946283954,0.1787608748516729,0.11069625819720952
Return6m_.NIFSMCP100,0.08561311236252611,0.5598828031051595,0.11458937253312484,0.029967901808446218
Return12m_.NSEI,0.05473645857713261,0.01524388768447893,0.5032253053226583,0.013023330674808875
Return12m_.NIFMDCP100,0.03914180816003343,0.012999603865521125,0.5311420914007252,0.006253844276729259
Return12m_.NIFSMCP100,0.04229634301748719,0.0331852129308472,0.5786510764599502,0.0020826752881466515
Drawdown3m_.NSEI,0.1806890176877758,0.47972352004442076,0.9001591737533001,0.10589375103148702
Drawdown3m_.NIFMDCP100,0.2297034349900684,0.5863556011303417,0.9044933364124059,0.21405596671497173
Drawdown3m_.NIFSMCP100,0.2099503374968501,0.8564092545682196,0.9810679828687121,0.34552736045386956
Drawdown6m_.NSEI,0.37275574235873976,0.06159744261749678,0.7062742688893371,0.30211046659076146
Drawdown6m_.NIFMDCP100,0.4783763730865678,0.04423637878509079,0.5982098039207799,0.5080898697376424
Drawdown6m_.NIFSMCP100,0.33975094489083,0.2796098575218444,0.704903477093195,0.5032188629585963
Drawdown12m_.NSEI,0.41173033338342235,0.007950807846894392,0.9940940253560078,0.5306613407392016
Drawdown12m_.NIFMDCP100,0.4166541902404328,0.007723378031077255,0.8270178942870916,0.6403359609439918
Drawdown12m_.NIFSMCP100,0.07554488852407992,0.16110148641897926,0.6015633575030712,0.020461302142112503
SemiStd3m_.NSEI,0.49814728200423164,0.12971254193870996,0.5575831320473532,0.14064755462036627
SemiStd3m_.NIFMDCP100,0.43545453173193227,0.2735379234364119,0.731956603358475,0.2486210712392667
SemiStd3m_.NIFSMCP100,0.44425820926237103,0.42344131287189124,0.8533407566733673,0.3539363716618693
SemiStd6m_.NSEI,0.9320157684711874,0.0009503353540627479,0.27322790523169793,0.5775825063988291
SemiStd6m_.NIFMDCP100,0.7249105639968714,0.004414422356359582,0.3081885725724216,0.55593513177203
SemiStd6m_.NIFSMCP100,0.6791761689451088,0.01599461233858923,0.33789664937248576,0.5459721554729391
SemiStd12m_.NSEI,0.2707964251823656,1.53991486229188e-10,0.25095390993814193,0.5508583149764912
SemiStd12m_.NIFMDCP100,0.5041695566205808,5.53272982983799e-10,0.22186255650154263,0.8199675744143329
SemiStd12m_.NIFSMCP100,0.5355500161556366,1.0046958154319441e-08,0.21484061022901924,0.9885698415171995
