,Nifty_Div_Yield,Nifty_EPS,Nifty_PB,Nifty_PE,Nifty_CAPE,US_CAPE
MonthlyPrice_.NSEI,-0.47787307617795505,0.6881536981027316,0.7615721212781573,0.4170574790065176,0.9152801789698546,0.4797268103789534
MonthlyPrice_.NIFMDCP100,-0.47065120147677936,0.7052082525990865,0.768291607413078,0.4041949917976062,0.9255360309161078,0.4802458751692589
MonthlyPrice_.NIFSMCP100,-0.5781337501218873,0.5272743732673615,0.8375319816342054,0.5746763754732385,0.9522125121665493,0.666904764586248
LogReturn_.NSEI,0.24401541611692407,-0.09180848289754899,-0.26464297489691346,-0.09137047919084416,-0.13866911945278448,-0.09753158377310081
LogReturn_.NIFMDCP100,0.21034625260326456,-0.12429281842094962,-0.2566523790170325,-0.06900227410833852,-0.15082515119818,-0.08424566289202372
LogReturn_.NIFSMCP100,0.19586588461423118,-0.1726371038327544,-0.25926617742249813,-0.04668627602399153,-0.16618380173206004,-0.070721582914262
Return3m_.NSEI,-0.08446990888962375,-0.15767049218952867,-0.07117643776930561,0.1646447279943453,0.01475755133839053,0.17170877451905606
Return3m_.NIFMDCP100,-0.17586426255952745,-0.23264276905152095,-0.04248746690483093,0.22808567143364272,-0.0013574395090018296,0.21924599004207515
Return3m_.NIFSMCP100,-0.1765467293097937,-0.33014553980009465,-0.0702785501598957,0.23694283948921632,-0.05870606027724635,0.22869815166118052
Return6m_.NSEI,-0.5110891645397001,-0.23072948526825265,0.2504410341920597,0.5465271916956727,0.23993835312715808,0.45407502786427256
Return6m_.NIFMDCP100,-0.5323706003194806,-0.2883976085047309,0.2435316221415512,0.5679646239854172,0.21503210380321336,0.46738826109185694
Return6m_.NIFSMCP100,-0.5040713499334235,-0.40896889140656845,0.19071250625500785,0.5712582110156942,0.13522518357470906,0.4847101148312883
Return12m_.NSEI,-0.7187181107747732,-0.20017628880974017,0.6247524872601262,0.8276078586424552,0.5772309165058729,0.7895998151488506
Return12m_.NIFMDCP100,-0.704962405292642,-0.22137466027923158,0.613810281270213,0.8270604412692836,0.5746144574054659,0.8085825251820433
Return12m_.NIFSMCP100,-0.708070084557921,-0.3112233307101789,0.5849916113663909,0.8393618036733055,0.5146735882814333,0.8163762849134809
Drawdown3m_.NSEI,-0.08671995426018687,0.02505055063787307,0.08605787790695,0.18946303750006116,0.19206665211095955,0.2269180276858966
Drawdown3m_.NIFMDCP100,-0.1276022015576971,0.034326666053631855,0.10353720566995246,0.19694783110926806,0.19134677280100953,0.2284220011473153
Drawdown3m_.NIFSMCP100,-0.12416981342301818,0.0038729834363650933,0.0620676731620146,0.1819500985349828,0.14678147049820006,0.20225749666768922
Drawdown6m_.NSEI,-0.45990507823361393,0.12438388662789455,0.3957091309969424,0.43103421453990853,0.44814564891459313,0.43738997533576063
Drawdown6m_.NIFMDCP100,-0.5067038289862799,0.15638145934712733,0.440355578973656,0.4576232603358793,0.4874202121044899,0.46178390171321854
Drawdown6m_.NIFSMCP100,-0.5324558265078079,-0.0028170833009465383,0.3964526407166646,0.5145392372449711,0.4144826637030828,0.48701304850479865
Drawdown12m_.NSEI,-0.5627912993257094,0.20224686550054538,0.530451093954137,0.5311973569055527,0.584519535223921,0.5153918967486112
Drawdown12m_.NIFMDCP100,-0.5784339109628501,0.22127466937183285,0.5463241003238241,0.5339217202410691,0.598956673657307,0.5254265202607684
Drawdown12m_.NIFSMCP100,-0.6487416499401264,-0.16820067838565234,0.49976115224784795,0.7184548523141221,0.472685862955416,0.7018977916103067
SemiStd3m_.NSEI,0.4796207710897197,-0.03867343348175579,-0.4027771095749639,-0.4539318957289426,-0.41091488016011835,-0.4906979822075008
SemiStd3m_.NIFMDCP100,0.46898704309778405,-0.02371192310386204,-0.3664668801166428,-0.44305297012346223,-0.37467281003824954,-0.45170111240286515
SemiStd3m_.NIFSMCP100,0.446489080748747,-0.004449777512612504,-0.3268363088403878,-0.42046181994086185,-0.3366047653894646,-0.41889618019162056
SemiStd6m_.NSEI,0.71934304313531,-0.1855723995993383,-0.6805703700514891,-0.657188001091982,-0.6678302173475987,-0.636878712031328
SemiStd6m_.NIFMDCP100,0.7353961330680512,-0.12776788344154616,-0.6593589216190583,-0.6807518298733751,-0.6348341982067363,-0.6393044736608985
SemiStd6m_.NIFSMCP100,0.7306464021434552,-0.07130877064587042,-0.6262705598039755,-0.6847125689729928,-0.5913466340052227,-0.631145259409472
SemiStd12m_.NSEI,0.5824563189471879,-0.4550552093332217,-0.8142753297235544,-0.5022824365035583,-0.8380381972509388,-0.5782475493042414
SemiStd12m_.NIFMDCP100,0.6093256172985739,-0.3914000122950863,-0.8198903899892177,-0.5583311022480247,-0.8427761257931756,-0.6320375695702344
SemiStd12m_.NIFSMCP100,0.6297999629142389,-0.3172727516331665,-0.8128863384747423,-0.5946031334739099,-0.8174011246747842,-0.6640283927346647
