,Nifty_Div_Yield,Nifty_EPS,Nifty_PB,Nifty_PE,Nifty_CAPE,US_CAPE
MonthlyPrice_.NSEI,0.0032025494206182614,3.513692303558358e-06,6.891544757081647e-08,0.011389227380307343,5.551115123125783e-15,0.003069755978561295
MonthlyPrice_.NIFMDCP100,0.0037687107789030616,1.5674375777319227e-06,4.486247906498875e-08,0.01448836717005797,6.661338147750939e-16,0.0030334423918354503
MonthlyPrice_.NIFSMCP100,0.00022177154271485477,0.0009521198377149265,1.9057000422151305e-10,0.0002467332755229368,0.0,8.935080952898744e-06
LogReturn_.NSEI,0.15151338889389643,0.5943539015294843,0.11881276959573683,0.5961216818069293,0.41992046104788505,0.5714691554583298
LogReturn_.NIFMDCP100,0.2181846281396962,0.47014335884216707,0.13078666840620334,0.6892451972570055,0.37991559506001704,0.6251922570030475
LogReturn_.NIFSMCP100,0.2522704700852554,0.3140058487253832,0.12677548332094246,0.7868685482681375,0.3327092563425469,0.68190273835808
Return3m_.NSEI,0.6242684401953991,0.3584101086136844,0.6799650100814887,0.3372692730957403,0.9319235814457363,0.3166548954523707
Return3m_.NIFMDCP100,0.30490564109784635,0.17212288285765553,0.8056520015791127,0.18091891286489847,0.9937309338048763,0.1988801155536637
Return3m_.NIFSMCP100,0.30300280387536693,0.04924150566292207,0.683792031565174,0.16410719356368708,0.7337820830135198,0.17971853390381698
Return6m_.NSEI,0.0014454560893093493,0.1757778813138311,0.14069471747618167,0.0005635653885387448,0.15868436553117538,0.005406001180854325
Return6m_.NIFMDCP100,0.000831225609878361,0.08805007266271936,0.15235176369725223,0.0003024783362768346,0.20786622929497445,0.0040517528106691625
Return6m_.NIFSMCP100,0.0017214530732834188,0.013264171694410853,0.26521238689998694,0.00027385457492479226,0.4316689334296189,0.0027362557917924857
Return12m_.NSEI,7.937199781871129e-07,0.24177394051706225,4.643707848961398e-05,4.815035037353255e-10,0.00022806146508758118,1.0404395123231325e-08
Return12m_.NIFMDCP100,1.5864148599220584e-06,0.19444536096504916,6.853736004730493e-05,5.058946594971303e-10,0.00024720235488473463,2.4408497445449484e-09
Return12m_.NIFSMCP100,1.3613242606513865e-06,0.06465678785162488,0.00017884420615121854,1.5955192722572065e-10,0.001320131077982234,1.2839664886854507e-09
Drawdown3m_.NSEI,0.6150304282242822,0.8846939544634196,0.617742751747413,0.26841484412408745,0.2617701374861523,0.18322306516884113
Drawdown3m_.NIFMDCP100,0.45830964926127304,0.8424585317916442,0.5478947426271985,0.24960769542441041,0.2635963869426343,0.1802590500460759
Drawdown3m_.NIFSMCP100,0.4705862844943349,0.9821146462165902,0.7191386404082767,0.2882040988252035,0.3929673844153865,0.23681250174823365
Drawdown6m_.NSEI,0.004771312150374518,0.4698155753447235,0.016899394880754537,0.008677468444236336,0.0061248440346335364,0.007639703745184745
Drawdown6m_.NIFMDCP100,0.0016129317496598183,0.36240281345021974,0.00719304243663732,0.0050116047395096786,0.002568509784580897,0.0045809942791410485
Drawdown6m_.NIFSMCP100,0.0008293251020734527,0.9869902801056631,0.01667552032831754,0.0013246499392558508,0.011960024314036088,0.002593124072389763
Drawdown12m_.NSEI,0.00035285738260060207,0.23683766963609143,0.0008750636895857866,0.0008577831280358605,0.00018154044990015272,0.0012962005316148328
Drawdown12m_.NIFMDCP100,0.00021971504827722477,0.1946521120950524,0.0005667851156039294,0.0007972329481167328,0.00011365990940337412,0.0009996495305211184
Drawdown12m_.NIFSMCP100,1.8744128706282837e-05,0.32679145857057645,0.0019130039433985502,8.046126169780621e-07,0.0036010367131840137,1.8413267555139612e-06
SemiStd3m_.NSEI,0.003077220817632398,0.822807791920481,0.014869777796660877,0.00542245660817442,0.012790828330907056,0.0023776757865769937
SemiStd3m_.NIFMDCP100,0.0039108467402637626,0.890817648999968,0.02792665022691221,0.006806398489198839,0.02435914571252118,0.00568455751577468
SemiStd3m_.NIFSMCP100,0.006339796459631453,0.9794515497119474,0.051700740819455415,0.01067011492441483,0.044711658634196905,0.010995893800826106
SemiStd6m_.NSEI,7.684027123477932e-07,0.27854864231018195,4.945656665533704e-06,1.3362899315527699e-05,8.59247265005969e-06,2.963972923053504e-05
SemiStd6m_.NIFMDCP100,3.240928425629619e-07,0.45772142912957925,1.2228949209713846e-05,4.905939378740953e-06,3.2013508233452725e-05,2.703095150158319e-05
SemiStd6m_.NIFSMCP100,4.210543582683357e-07,0.6794016366914946,4.3944347471791545e-05,4.108408613756609e-06,0.00014588433089324226,3.6736588695518435e-05
SemiStd12m_.NSEI,0.00019375740969884703,0.005294465162878348,1.5312082712881647e-09,0.0017988081386093313,1.8147039426708034e-10,0.0002209898489731188
SemiStd12m_.NIFMDCP100,8.005995270554678e-05,0.018247065097676263,9.515725984954315e-10,0.0004021659097275254,1.1385359321991473e-10,3.553964025448941e-05
SemiStd12m_.NIFSMCP100,3.861028669294164e-05,0.05936302431719476,1.7181975842106567e-09,0.00013120641330655047,1.1773200192521927e-09,1.0080950101354347e-05
