,IND_VIX,US_VIX
MonthlyPrice_.NSEI,-0.6386290081777601,-0.5231904704361939
MonthlyPrice_.NIFMDCP100,-0.6227216954025862,-0.4977212596022371
MonthlyPrice_.NIFSMCP100,-0.6295900511652435,-0.5531096326690976
LogReturn_.NSEI,-0.5407409941177569,-0.5552123083236834
LogReturn_.NIFMDCP100,-0.6054184235196051,-0.5966069676040451
LogReturn_.NIFSMCP100,-0.6235370832359807,-0.6130935298811269
Return3m_.NSEI,-0.5519963154966764,-0.5006105165219362
Return3m_.NIFMDCP100,-0.5189103479958209,-0.44321844057734144
Return3m_.NIFSMCP100,-0.4756552017054472,-0.4158399530665627
Return6m_.NSEI,-0.5096412099729197,-0.5224112245108693
Return6m_.NIFMDCP100,-0.4752256051547758,-0.4845327459613943
Return6m_.NIFSMCP100,-0.4194038060113379,-0.4406330994465251
Return12m_.NSEI,-0.5007000931969455,-0.6574010047850918
Return12m_.NIFMDCP100,-0.4931903977605595,-0.6558651731923432
Return12m_.NIFSMCP100,-0.434388240998574,-0.6185073969082499
Drawdown3m_.NSEI,-0.8280860201789025,-0.7442981892584962
Drawdown3m_.NIFMDCP100,-0.8338628633267411,-0.6996968064139887
Drawdown3m_.NIFSMCP100,-0.7865023871560344,-0.6598922916782908
Drawdown6m_.NSEI,-0.8201389863338431,-0.67200755656498
Drawdown6m_.NIFMDCP100,-0.8167268215749531,-0.6339695273950702
Drawdown6m_.NIFSMCP100,-0.729099492915225,-0.5991901257014615
Drawdown12m_.NSEI,-0.8240386598932972,-0.7037311714835957
Drawdown12m_.NIFMDCP100,-0.8179125308053725,-0.6627104688859127
Drawdown12m_.NIFSMCP100,-0.6646111424304252,-0.6325126494041031
SemiStd3m_.NSEI,0.7212865260020221,0.5760127607056189
SemiStd3m_.NIFMDCP100,0.7098288970067805,0.5543591776403332
SemiStd3m_.NIFSMCP100,0.6951172909491046,0.5435231846030987
SemiStd6m_.NSEI,0.6206771428226777,0.4819127276472377
SemiStd6m_.NIFMDCP100,0.6052001237235174,0.47684720612747616
SemiStd6m_.NIFSMCP100,0.5908983513668037,0.4763840821975514
SemiStd12m_.NSEI,0.544920752528226,0.5000767888921366
SemiStd12m_.NIFMDCP100,0.5511722318184463,0.5318417445776781
SemiStd12m_.NIFSMCP100,0.537857465195408,0.5378692697210533
