,IND_VIX,US_VIX
MonthlyPrice_.NSEI,-16615.72132142857,-12124.023628571429
MonthlyPrice_.NIFMDCP100,-35616.61498571428,-25354.860614285717
MonthlyPrice_.NIFSMCP100,-12907.90705714286,-10100.097957142863
LogReturn_.NSEI,-0.3229645563476736,-0.29535276741713695
LogReturn_.NIFMDCP100,-0.4520732874695841,-0.39678744772602426
LogReturn_.NIFSMCP100,-0.5734535599685443,-0.5022027538995277
Return3m_.NSEI,-0.5209196849499079,-0.4207759895616645
Return3m_.NIFMDCP100,-0.6104258683401289,-0.4643813936637103
Return3m_.NIFSMCP100,-0.7410864023230441,-0.5770576440495107
Return6m_.NSEI,-0.7044270984021166,-0.6431324259801543
Return6m_.NIFMDCP100,-0.8749684425911215,-0.7945698492149392
Return6m_.NIFSMCP100,-1.0547872265864209,-0.9870201135446706
Return12m_.NSEI,-1.069053562123721,-1.2501684861369107
Return12m_.NIFMDCP100,-1.5874118287448298,-1.88020827990337
Return12m_.NIFSMCP100,-1.9182035581237245,-2.432640432053869
Drawdown3m_.NSEI,-0.38039365942681064,-0.3045237503885039
Drawdown3m_.NIFMDCP100,-0.5028067678502662,-0.37577922349275245
Drawdown3m_.NIFSMCP100,-0.6178112011461872,-0.46168437744872126
Drawdown6m_.NSEI,-0.4917944782596961,-0.35891097502814445
Drawdown6m_.NIFMDCP100,-0.6186290990601124,-0.4276990647880967
Drawdown6m_.NIFSMCP100,-0.7419770031711791,-0.5431061085581972
Drawdown12m_.NSEI,-0.4972840201972815,-0.37825100958225455
Drawdown12m_.NIFMDCP100,-0.6202472530355252,-0.44760838119552343
Drawdown12m_.NIFSMCP100,-0.6951226133878096,-0.5892226121038732
SemiStd3m_.NSEI,0.26180153272143314,0.18621422803466578
SemiStd3m_.NIFMDCP100,0.36122515333084065,0.25126496744929916
SemiStd3m_.NIFSMCP100,0.4548803611428637,0.31679152935942195
SemiStd6m_.NSEI,0.20405233075964294,0.14111091076563978
SemiStd6m_.NIFMDCP100,0.2831829997241135,0.19873016955263348
SemiStd6m_.NIFSMCP100,0.34987623601472,0.25123219916647
SemiStd12m_.NSEI,0.1487612865796072,0.1215933058602985
SemiStd12m_.NIFMDCP100,0.21649848122348248,0.186065707101118
SemiStd12m_.NIFSMCP100,0.25925917613189164,0.23091920784444342
