,IND_VIX,US_VIX
MonthlyPrice_.NSEI,2.7735606008327807e-05,0.0010599584825434771
MonthlyPrice_.NIFMDCP100,4.997164965803158e-05,0.0020099970893265873
MonthlyPrice_.NIFSMCP100,3.89103263231938e-05,0.00046762496277441556
LogReturn_.NSEI,0.0006619482676106792,0.00044020355905805
LogReturn_.NIFMDCP100,9.149256735052624e-05,0.0001228484157718146
LogReturn_.NIFSMCP100,4.8524248800863035e-05,7.027202783627118e-05
Return3m_.NSEI,0.0004827510634795029,0.0018738438623122633
Return3m_.NIFMDCP100,0.0011844172996680058,0.006783271881634967
Return3m_.NIFSMCP100,0.0033679704323059667,0.01165618880026531
Return6m_.NSEI,0.0014989772300511017,0.0010817180636781831
Return6m_.NIFMDCP100,0.003400856552057796,0.002747559931855159
Return6m_.NIFSMCP100,0.010889354929684458,0.007152413200047114
Return12m_.NSEI,0.0018697551755118003,1.3247552144157737e-05
Return12m_.NIFMDCP100,0.002240974753853875,1.4099943040246643e-05
Return12m_.NIFSMCP100,0.008115766229195076,5.809389341027149e-05
Drawdown3m_.NSEI,4.6109738249811016e-10,1.9545181784152987e-07
Drawdown3m_.NIFMDCP100,2.7035929051066887e-10,2.0469853687643536e-06
Drawdown3m_.NIFSMCP100,1.2998401244246338e-08,1.1964102955452915e-05
Drawdown6m_.NSEI,9.313898541307708e-10,7.1900706830607675e-06
Drawdown6m_.NIFMDCP100,1.246519110154054e-09,3.3068275196113106e-05
Drawdown6m_.NIFSMCP100,4.579832693085706e-07,0.00011278166089345731
Drawdown12m_.NSEI,6.625155979378405e-10,1.6846633674738598e-06
Drawdown12m_.NIFMDCP100,1.1272358602099075e-09,1.0649402080620263e-05
Drawdown12m_.NIFSMCP100,9.83852515878958e-06,3.491688194023901e-05
SemiStd3m_.NSEI,6.943316190888282e-07,0.00023680130085868
SemiStd3m_.NIFMDCP100,1.2473063228934933e-06,0.0004511517791128128
SemiStd3m_.NIFSMCP100,2.543887481998297e-06,0.0006128874341715385
SemiStd6m_.NSEI,5.37741867172592e-05,0.0029193466262371626
SemiStd6m_.NIFMDCP100,9.217269568928543e-05,0.003278164371924186
SemiStd6m_.NIFSMCP100,0.00014801634771921535,0.003312805845467448
SemiStd12m_.NSEI,0.0005894835424389289,0.0018983685097897496
SemiStd12m_.NIFMDCP100,0.000494226364063266,0.0008431053014459344
SemiStd12m_.NIFSMCP100,0.0007164436291429155,0.000716212664480409
