,Gold,Silver,Crude,BTC
MonthlyPrice_.NSEI,-0.46513412578971114,-0.5093488426095922,0.5134871050112588,0.1155476215064826
MonthlyPrice_.NIFMDCP100,0.5358491963387605,0.5624198237988188,0.03596044733828988,0.8154712686026896
MonthlyPrice_.NIFSMCP100,0.6794367194887518,0.786038694474273,-0.1112888313795976,0.7334928551402479
LogReturn_.NSEI,0.08785350791813393,0.14980592818966953,-0.10534381226845717,0.15770860036152617
LogReturn_.NIFMDCP100,0.06308037705538067,0.08006994389303834,-0.3199984299865314,0.14671452050069242
LogReturn_.NIFSMCP100,0.16303710274444774,0.15899651735808543,-0.46641605247185886,0.07835360074719593
Return3m_.NSEI,0.10459020720453742,0.434122198425648,0.12897783603902097,0.41778136189948095
Return3m_.NIFMDCP100,0.3384836832674676,0.5461662615532799,-0.3299169343199105,0.4760001938011228
Return3m_.NIFSMCP100,0.4720198916398819,0.6840744334969187,-0.49131815741775464,0.39612270827993634
Return6m_.NSEI,0.24975207220732612,0.5200297910268964,-0.1707635162182826,0.31117866812285366
Return6m_.NIFMDCP100,0.6708629886693203,0.72852837248228,-0.4904393537416507,0.5349608863196157
Return6m_.NIFSMCP100,0.6914532761549252,0.8127453773574048,-0.5062368807434329,0.5010648372668418
Return12m_.NSEI,0.42295742364301214,0.6133409968226621,0.0016865154892457036,0.7727435496358493
Return12m_.NIFMDCP100,0.5892148616543809,0.7699473080933991,-0.16376397641985477,0.7379845077081023
Return12m_.NIFSMCP100,0.64525485586118,0.8294472260538569,-0.21755265035040924,0.6791262826193377
Drawdown3m_.NSEI,0.1698820965834085,0.3311060277999408,-0.21694507664149015,0.12181140366900689
Drawdown3m_.NIFMDCP100,0.24186061670411116,0.30515358107589674,-0.567219946502687,0.10198338986853693
Drawdown3m_.NIFSMCP100,0.35465783006150847,0.38588307613545714,-0.6085119706478227,0.09814124740313222
Drawdown6m_.NSEI,0.22495149292159397,0.5510504413623294,-0.04077788864122013,0.4247500251708167
Drawdown6m_.NIFMDCP100,0.4267209788837218,0.6286109679901751,-0.4157868562030354,0.4089435118756311
Drawdown6m_.NIFSMCP100,0.5831553458776988,0.7622895044471719,-0.4997799537883281,0.4129954060289455
Drawdown12m_.NSEI,0.22495149292159397,0.5510504413623294,-0.04077788864122013,0.4247500251708167
Drawdown12m_.NIFMDCP100,0.5878392255760057,0.7782954777417825,-0.38730671466578026,0.464396523204585
Drawdown12m_.NIFSMCP100,0.6854569276301882,0.8720452497503886,-0.35760060875219846,0.48625521998400756
SemiStd3m_.NSEI,-0.14963969352032186,-0.5119468171582701,0.015304551734308986,-0.2909892869787626
SemiStd3m_.NIFMDCP100,-0.5823778816511423,-0.7214031880606742,0.5474319773428126,-0.25303615515597
SemiStd3m_.NIFSMCP100,-0.6870141731456064,-0.8151165091796595,0.5403385498169447,-0.28807391895849244
SemiStd6m_.NSEI,-0.4081278834803897,-0.7170018515416217,0.3009466415034163,-0.37842440821398987
SemiStd6m_.NIFMDCP100,-0.6849508286175899,-0.8564616937013418,0.3623565642122374,-0.5232463607559381
SemiStd6m_.NIFSMCP100,-0.7045190540649838,-0.8804904567320521,0.3111287639133555,-0.5164146755722588
SemiStd12m_.NSEI,-0.5616593262689167,-0.7793013122415443,0.095982520376387,-0.6935910736436125
SemiStd12m_.NIFMDCP100,-0.7018728909519455,-0.8352229625685229,0.11397817022247544,-0.6816356330950019
SemiStd12m_.NIFSMCP100,-0.6945926956248676,-0.8163806489224086,0.07566009514795188,-0.6932864325673838
