,Gold,Silver,Crude,BTC
MonthlyPrice_.NSEI,-10917.701424632338,-262.1826800919119,2346.1288235294137,149452.58704228004
MonthlyPrice_.NIFMDCP100,31453.742294117663,723.9790952205886,410.88863602941,2637714.71660478
MonthlyPrice_.NIFSMCP100,31521.12102941176,799.7094567095589,-1005.0172738970584,1875158.3399448532
LogReturn_.NSEI,0.17248480252923096,0.006449950684759988,-0.040259656353555474,17.06225875022664
LogReturn_.NIFMDCP100,0.1785343524573813,0.004969728939489243,-0.17629689508421467,22.881791731329955
LogReturn_.NIFSMCP100,0.600117505204313,0.012834327683916806,-0.33418937571989255,15.892719672904873
Return3m_.NSEI,0.245943240979978,0.02238677465575366,0.05903754077701482,54.13552431264227
Return3m_.NIFMDCP100,1.258228187101291,0.044522773092821356,-0.23872372580399093,97.50305404976945
Return3m_.NIFSMCP100,2.553526093007298,0.08115569929752144,-0.5173829558114388,118.0862025057287
Return6m_.NSEI,0.5113781605081573,0.02335054201227706,-0.06806086576046405,35.110119826883775
Return6m_.NIFMDCP100,3.2502819101953344,0.07740505682276992,-0.46253203097305595,142.82316256689634
Return6m_.NIFSMCP100,5.471196430860887,0.14102939487228816,-0.7797269663035499,218.47553583250124
Return12m_.NSEI,1.5940428543646734,0.05069218383777622,0.0012372657159859073,160.48267215382617
Return12m_.NIFMDCP100,4.941441737175577,0.14160437036534312,-0.26734229119059394,341.0488969746337
Return12m_.NIFSMCP100,8.329599294669936,0.23481035918921783,-0.5466715975798566,483.09526864176155
Drawdown3m_.NSEI,0.27860906399376195,0.011908316858816857,-0.06925748741217919,11.008420096561567
Drawdown3m_.NIFMDCP100,0.5974742939424497,0.016531345605302582,-0.2727563482633191,13.882667753265247
Drawdown3m_.NIFSMCP100,1.2142439557796847,0.0289726216716124,-0.40554105616200903,18.515582911587867
Drawdown6m_.NSEI,0.36882842968745305,0.019813560714101307,-0.013014561779558672,38.37587940905927
Drawdown6m_.NIFMDCP100,1.1169067321461723,0.03608199433825541,-0.21184244215335085,58.9828364905708
Drawdown6m_.NIFSMCP100,2.3754922378659957,0.06809652659006478,-0.39629399447465324,92.70517816967754
Drawdown12m_.NSEI,0.36882842968745305,0.019813560714101307,-0.013014561779558672,38.37587940905927
Drawdown12m_.NIFMDCP100,1.9200889381156592,0.05574975405452089,-0.24625616592109406,83.58746617219188
Drawdown12m_.NIFSMCP100,3.9664875358689637,0.11066253390459335,-0.40280372426860234,155.0528017231969
SemiStd3m_.NSEI,-0.11835956930774609,-0.00888008410466111,0.0023563862717733666,-12.68302896154518
SemiStd3m_.NIFMDCP100,-0.8453745348959645,-0.022964553826860315,0.15468341640678598,-20.240269307259165
SemiStd3m_.NIFSMCP100,-1.4298963536730642,-0.037204392461205035,0.21891429356998918,-33.03940522064258
SemiStd6m_.NSEI,-0.18975801149484878,-0.007310714036608484,0.027237212476381868,-9.695549139438015
SemiStd6m_.NIFMDCP100,-0.7225607212162496,-0.01981337973191968,0.07440813016899417,-30.416594509470812
SemiStd6m_.NIFSMCP100,-1.1228400150901323,-0.03077410681876827,0.09652384323148246,-45.35374264443541
SemiStd12m_.NSEI,-0.19844862471258742,-0.006038320936619518,0.006601407961095109,-13.50417420503538
SemiStd12m_.NIFMDCP100,-0.4947064893731298,-0.012910029366284097,0.01563796091552572,-26.474687460614625
SemiStd12m_.NIFSMCP100,-0.7516864278980618,-0.01937469455453239,0.01593832521119915,-41.34363100658012
