,Gold,Silver,Crude,BTC
MonthlyPrice_.NSEI,0.05992154562145435,0.036764080421455736,0.035011491532010997,0.6587707693197122
MonthlyPrice_.NIFMDCP100,0.02661881997283788,0.018767734835265504,0.8910162016206473,6.622664053224092e-05
MonthlyPrice_.NIFSMCP100,0.002700052315584456,0.00018332338594295727,0.6706691163718848,0.0008055642058257817
LogReturn_.NSEI,0.7374082264575073,0.5660539797410129,0.687402480974427,0.5454961708770738
LogReturn_.NIFMDCP100,0.8099310088808198,0.7599998395968206,0.21052048188244665,0.5741853635614445
LogReturn_.NIFSMCP100,0.531825202136714,0.5421775955947945,0.0591267388690091,0.7650069603364889
Return3m_.NSEI,0.6895336641607201,0.08165962151358741,0.6217637702058383,0.09517982685542714
Return3m_.NIFMDCP100,0.1838693895584631,0.02331587828537307,0.19592658602487623,0.053430368870501566
Return3m_.NIFSMCP100,0.05574395492364337,0.002457647353191872,0.04519121344232446,0.11547720202488132
Return6m_.NSEI,0.3336656749511371,0.03237166928423618,0.5122831319373118,0.2240741495813805
Return6m_.NIFMDCP100,0.0031994796645968826,0.0009105180104134192,0.045636211680911476,0.026919255779951357
Return6m_.NIFSMCP100,0.0021088097971881936,7.330395869931117e-05,0.03812545630112307,0.04047244430043495
Return12m_.NSEI,0.09073500202343165,0.008834883068499222,0.9948744503966165,0.00027631714501863414
Return12m_.NIFMDCP100,0.012813670644813868,0.0003001972796250474,0.5299724552113174,0.0007194351867634285
Return12m_.NIFSMCP100,0.005154822883520094,3.830363709145246e-05,0.40159037912318096,0.002716950314456401
Drawdown3m_.NSEI,0.5144953692408172,0.19422277920530262,0.40293894375092254,0.6414112131852336
Drawdown3m_.NIFMDCP100,0.34966024302274,0.23364693352863175,0.01756711567270841,0.696922650486326
Drawdown3m_.NIFSMCP100,0.1624705816621983,0.1260623523846518,0.009539347324207359,0.7078601071187696
Drawdown6m_.NSEI,0.38536386951166923,0.021867797877595407,0.8765149696660195,0.08923107862215862
Drawdown6m_.NIFMDCP100,0.08759835803040361,0.006876041671837196,0.09693352247968434,0.10312639599732876
Drawdown6m_.NIFSMCP100,0.014007090424074553,0.0003745759618227762,0.04107213202314952,0.09942660756830657
Drawdown12m_.NSEI,0.38536386951166923,0.021867797877595407,0.8765149696660195,0.08923107862215862
Drawdown12m_.NIFMDCP100,0.013077269210419962,0.0002335848115566641,0.12455163430117722,0.06038244427877881
Drawdown12m_.NIFSMCP100,0.002388932922049669,5.054467595577705e-06,0.15876667172980619,0.047800368434332
SemiStd3m_.NSEI,0.5664899664771057,0.035656195287944614,0.9535106982787347,0.25715929719436303
SemiStd3m_.NIFMDCP100,0.014166350811595896,0.001080701452132793,0.022933668973883936,0.3271362648302516
SemiStd3m_.NIFSMCP100,0.002313421578604258,6.711373919876529e-05,0.02513989037331643,0.2621745760665122
SemiStd6m_.NSEI,0.10388283153004041,0.0011983592625273154,0.24048253810855913,0.1341862902409252
SemiStd6m_.NIFMDCP100,0.0024139030700742747,1.1415034792294776e-05,0.15290235799576846,0.03113116584719533
SemiStd6m_.NIFSMCP100,0.0015907571210027616,3.1070134973720798e-06,0.2241523904222582,0.033810704375669465
SemiStd12m_.NSEI,0.018963698819301156,0.00022646880270360548,0.7140293057539022,0.002015698728279336
SemiStd12m_.NIFMDCP100,0.0016861849116713845,3.0111941116794938e-05,0.6631467345445778,0.0025827974108043605
SemiStd12m_.NIFSMCP100,0.001973247273834522,6.399769247078524e-05,0.7728824795396405,0.00202875759506993
