,Ind_spread,Us_spread
MonthlyPrice_.NSEI,0.3622340869568758,-0.8201493237327261
MonthlyPrice_.NIFMDCP100,0.5546668429336196,-0.7409823826075854
MonthlyPrice_.NIFSMCP100,0.5498556398207726,-0.5699552531894383
LogReturn_.NSEI,0.015082750859388773,-0.04201085292056101
LogReturn_.NIFMDCP100,0.005353348373322747,0.09331870683877315
LogReturn_.NIFSMCP100,0.011217787636864601,0.13077206167799646
Return3m_.NSEI,0.17465217793061105,-0.12417484492498995
Return3m_.NIFMDCP100,0.07755339927840406,0.17682003003719188
Return3m_.NIFSMCP100,0.11859551391844804,0.23518770915042514
Return6m_.NSEI,0.06686576621408932,-0.30735324858081714
Return6m_.NIFMDCP100,-0.05767841275221079,0.23199289627086347
Return6m_.NIFSMCP100,0.05803677697538356,0.24016198528402605
Return12m_.NSEI,-0.09563303975937192,-0.059471501341305376
Return12m_.NIFMDCP100,-0.27036970881421674,0.42437952009480234
Return12m_.NIFSMCP100,-0.07027439887153875,0.3217350301652295
Drawdown3m_.NSEI,0.08510335382870633,-0.01986577037351743
Drawdown3m_.NIFMDCP100,-0.0634439784293134,0.22760147048528762
Drawdown3m_.NIFSMCP100,-0.006543733481017021,0.20074303212748668
Drawdown6m_.NSEI,0.08880894188467338,-0.06884040772840215
Drawdown6m_.NIFMDCP100,-0.11444658511918937,0.46845843294432454
Drawdown6m_.NIFSMCP100,-0.05476632617138374,0.4683141200721975
Drawdown12m_.NSEI,0.05030680142246003,-0.19493070794010625
Drawdown12m_.NIFMDCP100,-0.10540969673197881,0.5354086508432928
Drawdown12m_.NIFSMCP100,-0.053405155635753335,0.5641853223527231
SemiStd3m_.NSEI,-0.17186740038944984,0.01573944745077864
SemiStd3m_.NIFMDCP100,0.012653681329136043,-0.37596994607414363
SemiStd3m_.NIFSMCP100,-0.0694572848665188,-0.30442862843323754
SemiStd6m_.NSEI,-0.021571340095470147,0.07426586046110481
SemiStd6m_.NIFMDCP100,0.18178350489680917,-0.5101952103849872
SemiStd6m_.NIFSMCP100,0.1312322711557741,-0.3604122648593003
SemiStd12m_.NSEI,-0.05677873859980218,0.0321242629045534
SemiStd12m_.NIFMDCP100,0.2003020130635372,-0.6424667978427486
SemiStd12m_.NIFSMCP100,0.04653886568413097,-0.38907902789299065
