,Ind_spread,Us_spread
MonthlyPrice_.NSEI,0.011404678671828261,9.894307595459395e-13
MonthlyPrice_.NIFMDCP100,4.296536581893662e-05,1.7222183679166392e-09
MonthlyPrice_.NIFSMCP100,5.16238872896313e-05,2.3518740025485485e-05
LogReturn_.NSEI,0.9189570307715924,0.7767838969551857
LogReturn_.NIFMDCP100,0.9711933266213428,0.5281271154182985
LogReturn_.NIFSMCP100,0.9396794296318494,0.3756465443311976
Return3m_.NSEI,0.2351165905350694,0.4004081194660174
Return3m_.NIFMDCP100,0.6003253498459293,0.2292651239488348
Return3m_.NIFSMCP100,0.42207044348212364,0.10758600959433529
Return6m_.NSEI,0.6515901868666689,0.033585743578378846
Return6m_.NIFMDCP100,0.6969812497351333,0.11259003109499877
Return6m_.NIFSMCP100,0.695189628740088,0.10013611206655182
Return12m_.NSEI,0.5179008082924126,0.6880333648225967
Return12m_.NIFMDCP100,0.06308651931983045,0.0026454895992917837
Return12m_.NIFSMCP100,0.6350514671318206,0.025750838924524233
Drawdown3m_.NSEI,0.5652126572470944,0.8933873603828992
Drawdown3m_.NIFMDCP100,0.6683611363440085,0.11975534603672044
Drawdown3m_.NIFSMCP100,0.9647914524640595,0.17128059461313572
Drawdown6m_.NSEI,0.5483358989755818,0.6419883609878503
Drawdown6m_.NIFMDCP100,0.43860062660571963,0.0007850083513993855
Drawdown6m_.NIFSMCP100,0.7115999300947511,0.0007883492798850256
Drawdown12m_.NSEI,0.7341852229668668,0.18427800418215878
Drawdown12m_.NIFMDCP100,0.4758213068413619,8.811895364813083e-05
Drawdown12m_.NIFSMCP100,0.7184687122890492,2.9628117290902978e-05
SemiStd3m_.NSEI,0.24278213016916683,0.91544099073226
SemiStd3m_.NIFMDCP100,0.9319753940858253,0.008450200932728968
SemiStd3m_.NIFSMCP100,0.6390004862568224,0.03539881573482195
SemiStd6m_.NSEI,0.8842940116373048,0.6159068213618188
SemiStd6m_.NIFMDCP100,0.21624729542376553,0.00021181150845417385
SemiStd6m_.NIFSMCP100,0.3739540732679534,0.011856340780458163
SemiStd12m_.NSEI,0.7014863061248291,0.828401169223244
SemiStd12m_.NIFMDCP100,0.1722428721671463,8.530640791537536e-07
SemiStd12m_.NIFSMCP100,0.7534437369687899,0.0062726903408245605
