,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,-0.31944426128782955,0.6888848992784352,-0.1616156637069216,-0.558568421954826
MonthlyPrice_.NIFMDCP100,-0.5468979925832387,0.741228674639173,-0.21115685502313214,-0.7762730665775663
MonthlyPrice_.NIFSMCP100,-0.5625516016551358,0.6132189966038066,-0.20519941482194864,-0.7185690503784166
LogReturn_.NSEI,-0.1867299219449982,0.17066476164923264,-0.21919610136192022,-0.12171389305459467
LogReturn_.NIFMDCP100,-0.1035122122065304,0.07180936455921288,-0.28579254829079964,-0.01771806278569195
LogReturn_.NIFSMCP100,-0.1163153163507225,0.017571965282321748,-0.26040335871308284,-0.008388077638261486
Return3m_.NSEI,-0.20685341730531226,0.3767905144574995,-0.2393331624743414,-0.26212299512900095
Return3m_.NIFMDCP100,-0.09403665076157658,0.16725578043399802,-0.28881220550961273,-0.01367888177959471
Return3m_.NIFSMCP100,-0.12218652242969971,0.08788656346641967,-0.25851537754205306,-0.041879759572492764
Return6m_.NSEI,-0.28920111344395594,0.470594828143134,-0.04172822949757065,-0.2537590606293327
Return6m_.NIFMDCP100,-0.2225701036367065,0.06923648210792525,-0.04852822950877255,0.04781896024975251
Return6m_.NIFSMCP100,-0.2846249457571283,0.07765125068648197,-0.04994698240188803,-0.07521301138259191
Return12m_.NSEI,-0.2510163161827947,0.31206425076561267,-0.08627604950955951,0.07449872463838814
Return12m_.NIFMDCP100,-0.15525126093863947,-0.07871861979512267,-0.056819008091822665,0.348266875708469
Return12m_.NIFSMCP100,-0.26654776219252113,0.04525621881579165,-0.06004877566031486,0.12757217683907657
Drawdown3m_.NSEI,-0.17550209991494262,0.18302024033209005,-0.20159601147594117,-0.14072298383102835
Drawdown3m_.NIFMDCP100,-0.03574595196037508,-0.08491762864379747,-0.2144632969655975,0.1297960961613559
Drawdown3m_.NIFSMCP100,-0.09048471558303932,-0.03558373056011404,-0.18798503275818465,0.05727284306126124
Drawdown6m_.NSEI,-0.32029938273879593,0.3412028477774748,-0.22202093436243336,-0.22376680503976498
Drawdown6m_.NIFMDCP100,-0.0891928180257625,-0.1823035942206291,-0.15055015319331758,0.19279459993241005
Drawdown6m_.NIFSMCP100,-0.18652503287178046,-0.13051178385784973,-0.08954851901725971,0.11540853763714477
Drawdown12m_.NSEI,-0.4163134854493654,0.5116977786254518,-0.15842759462931177,-0.26741561761376076
Drawdown12m_.NIFMDCP100,-0.1403050577626126,-0.229685942031051,-0.1010324345206037,0.1778654850824099
Drawdown12m_.NIFSMCP100,-0.1931608266027785,-0.23152332556358085,-0.039097236973368026,0.1192276572493409
SemiStd3m_.NSEI,0.2754210520606186,-0.3394169236818107,0.10568403238738373,0.2934326591662039
SemiStd3m_.NIFMDCP100,0.004860915420540185,0.151449283629826,0.08672330124657089,-0.16594144480394107
SemiStd3m_.NIFSMCP100,0.09545491393712022,0.0389424407084506,0.04561296261061629,-0.06784329991046636
SemiStd6m_.NSEI,0.5156303449461014,-0.367767584971856,-0.08118692522973786,0.26839065739327356
SemiStd6m_.NIFMDCP100,0.07589166718280776,0.30843235760477805,-0.14602080720249827,-0.28696122380758404
SemiStd6m_.NIFSMCP100,0.22264463411598143,0.12542667034801475,-0.1367045831588391,-0.14268864344303495
SemiStd12m_.NSEI,0.38404047718436474,-0.22949030245151159,0.08336797870945216,0.08617645830292185
SemiStd12m_.NIFMDCP100,-0.04013794025960802,0.5101342621917736,-0.0007719634547378176,-0.42268009314062693
SemiStd12m_.NIFSMCP100,0.14912801070312248,0.265076448984288,0.04955066733693029,-0.1814517896963851
