,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,-625.8354183100502,2564.2396263297865,-313064130319.14874,-360.4392287234043
MonthlyPrice_.NIFMDCP100,-2457.509914483727,6328.3145283687945,-938164397163.1206,-1148.9313829787231
MonthlyPrice_.NIFSMCP100,-1109.7799608904847,2298.460308067376,-400253782092.1986,-466.9105053191488
LogReturn_.NSEI,-0.012076045265282014,0.020970151605004726,-14016140.924304508,-0.002592636285936798
LogReturn_.NIFMDCP100,-0.008402439707771834,0.011074950491057283,-22937682.072073165,-0.0004737188602783896
LogReturn_.NIFSMCP100,-0.01305134536860232,0.0037461538358016734,-28890148.282917667,-0.0003100069585915782
Return3m_.NSEI,-0.020537440640046627,0.07107722723388847,-23494776.282548875,-0.008571944839366638
Return3m_.NIFMDCP100,-0.012196142853875876,0.041214817497883645,-37036139.07607609,-0.0005843412843727318
Return3m_.NIFSMCP100,-0.022002753253846763,0.030069285055045865,-46028298.31756536,-0.002483982481105754
Return6m_.NSEI,-0.03765438530019876,0.11641518874354302,-5371930.3500354225,-0.010882477659366754
Return6m_.NIFMDCP100,-0.03863035423374357,0.022831989235264652,-8328007.79174295,0.002733711099570099
Return6m_.NIFSMCP100,-0.06959928399314357,0.03607672958397626,-12076077.161156625,-0.006057806725553408
Return12m_.NSEI,-0.05335414922110572,0.12602513240000549,-18131816.353658773,0.005215617215067411
Return12m_.NIFMDCP100,-0.04951217372179072,-0.0476981157617022,-17916588.474634595,0.0365830282120145
Return12m_.NIFSMCP100,-0.10877427866491336,0.03508943148631169,-24229259.511301924,0.017147379601441234
Drawdown3m_.NSEI,-0.00896841900489198,0.01776967928328838,-10185921.430239549,-0.0023685864091135345
Drawdown3m_.NIFMDCP100,-0.0024313769640668965,-0.010974132089702751,-14423253.00810352,0.0029078880692117843
Drawdown3m_.NIFSMCP100,-0.00888484590492256,-0.006638547186901735,-18250835.89635719,0.001852311578453859
Drawdown6m_.NSEI,-0.01758817454335306,0.03559788596732018,-12054339.103328347,-0.004047165375662924
Drawdown6m_.NIFMDCP100,-0.006643696009171561,-0.025800135876747194,-11087812.726897389,0.004730045921822278
Drawdown6m_.NIFSMCP100,-0.021770348351885068,-0.028941755746319856,-10334071.790303072,0.004436666821759251
Drawdown12m_.NSEI,-0.02980745764770475,0.06960891802197547,-11215537.669657398,-0.006306404865930635
Drawdown12m_.NIFMDCP100,-0.012715425473927363,-0.039549307176574074,-9053222.650281975,0.005309331908801373
Drawdown12m_.NIFSMCP100,-0.029715149837985334,-0.06767067622599195,-5946887.862072647,0.006041245775742224
SemiStd3m_.NSEI,0.007516977476918156,-0.01760056073145886,2851939.4778333805,0.002637820203039087
SemiStd3m_.NIFMDCP100,0.00019544878347788863,0.011569884558756939,3447748.054511766,-0.0021976594706610815
SemiStd3m_.NIFSMCP100,0.005924377554929317,0.004592133445102773,2799094.313173602,-0.0013868900301474173
SemiStd6m_.NSEI,0.009226331918537216,-0.012502905526523098,-1436354.0847049514,0.0015817892709558206
SemiStd6m_.NIFMDCP100,0.0022663734978737673,0.01750024860610805,-4311584.95528264,-0.002822612302930105
SemiStd6m_.NIFSMCP100,0.010286344025575234,0.011009956443153569,-6244773.639448512,-0.0021713450660941994
SemiStd12m_.NSEI,0.005118349346884118,-0.005811177722505923,1098593.4605303572,0.0003782963842527011
SemiStd12m_.NIFMDCP100,-0.0008037975190939688,0.01940988522758414,-15285.27067051393,-0.0027880078895562575
SemiStd12m_.NIFSMCP100,0.0045073986148225125,0.01522245789442478,1480815.8814326988,-0.0018064195432355575
