,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,0.026885219987897724,6.201870439426216e-08,0.272455731778078,3.694475251281304e-05
MonthlyPrice_.NIFMDCP100,5.7711383342651246e-05,1.6899135424353062e-09,0.14967609676016513,9.008394030729505e-11
MonthlyPrice_.NIFSMCP100,3.160543392688453e-05,3.5916394993673606e-06,0.16177459257052096,8.871835266432981e-09
LogReturn_.NSEI,0.20379512096123342,0.24614453000985304,0.13442573003532443,0.4098822348953379
LogReturn_.NIFMDCP100,0.4838436862650146,0.6276603004927477,0.048939336754452833,0.9048571584424658
LogReturn_.NIFSMCP100,0.4311111112718582,0.9056381141942029,0.07384836223869673,0.9548770727050222
Return3m_.NSEI,0.1583462815993424,0.008296894646504738,0.10134901282487108,0.07189446843832181
Return3m_.NIFMDCP100,0.5249441371579149,0.2558464911713687,0.0464968743099865,0.926478588172108
Return3m_.NIFSMCP100,0.4080527891974184,0.5525141945654686,0.07604162105142165,0.777462654189341
Return6m_.NSEI,0.04618964594405117,0.0007370135491644447,0.7782474305692824,0.08179503084563233
Return6m_.NIFMDCP100,0.12838342317418072,0.6400693075583614,0.7432564615617401,0.7468836560312506
Return6m_.NIFSMCP100,0.04991123534480213,0.5998642300506565,0.7360175588648956,0.6114001413392818
Return12m_.NSEI,0.08526472542693186,0.03082709829829655,0.5598456931743678,0.614797512626678
Return12m_.NIFMDCP100,0.2920364841255687,0.5948444099223087,0.7012844409644208,0.01527726683594155
Return12m_.NIFSMCP100,0.06705482963357023,0.7600342045899653,0.6851615386998571,0.3875404695875879
Drawdown3m_.NSEI,0.23281041750720588,0.2130854097301016,0.16943049838729096,0.340075330126524
Drawdown3m_.NIFMDCP100,0.8093969127961584,0.5660648361751843,0.143256320095281,0.37925086814361997
Drawdown3m_.NIFSMCP100,0.5407836297984843,0.8102459097711867,0.2007174343249516,0.6990108442308398
Drawdown6m_.NSEI,0.02645698249948536,0.017629083904400877,0.12935273487818422,0.1262901068370954
Drawdown6m_.NIFMDCP100,0.5466014319475634,0.21491365914269767,0.30707261558435106,0.18922771095656055
Drawdown6m_.NIFSMCP100,0.20430067016272035,0.37660576632858733,0.5449966177751233,0.43473631195903684
Drawdown12m_.NSEI,0.003248748578277061,0.00020140878884400415,0.2821527818005163,0.06613674812572667
Drawdown12m_.NIFMDCP100,0.34152585659287804,0.116312311532067,0.4944339371521942,0.22647935507459716
Drawdown12m_.NIFSMCP100,0.18837244379307982,0.11334022795046783,0.7919076071786753,0.4195832472603418
SemiStd3m_.NSEI,0.058132137339138135,0.018270041240842083,0.4746673075349177,0.04295243404171001
SemiStd3m_.NIFMDCP100,0.9738421717741224,0.30415915806715677,0.5578051135514057,0.2596547834605425
SemiStd3m_.NIFSMCP100,0.5186843564437629,0.792713284409583,0.7581994774427869,0.6468297566544705
SemiStd6m_.NSEI,0.00017634083188378114,0.01012221342496189,0.5833077081365476,0.06511725401426727
SemiStd6m_.NIFMDCP100,0.6081797144337231,0.03293646808818673,0.32201981295064797,0.04798198162416467
SemiStd6m_.NIFSMCP100,0.12825229493855228,0.3956381242844671,0.35418040643727133,0.33330429326620226
SemiStd12m_.NSEI,0.00704369126183968,0.11663222569808118,0.573198369589198,0.5603005526308018
SemiStd12m_.NIFMDCP100,0.7864966145591008,0.00021224358027538415,0.995845165681964,0.002763641190256738
SemiStd12m_.NIFSMCP100,0.3117171520088504,0.06863444110583927,0.7380374278971371,0.2171008970114645
