,Nifty_Div_Yield,Nifty_EPS,Nifty_PB,Nifty_PE,Nifty_CAPE,US_CAPE
MonthlyPrice_.NSEI,-0.5352173629477233,0.5171630915098088,0.5113928243298062,0.8035681332450355,0.9347230345131359,0.9453815737983537
MonthlyPrice_.NIFMDCP100,-0.4491717717845985,0.5029885856471699,0.4292349090484994,0.8458404462213985,0.862684511025363,0.9055110015072954
MonthlyPrice_.NIFSMCP100,-0.39707242014274463,0.3989093717296573,0.43899919802548043,0.7681235004256457,0.7863876951302462,0.8185069185185344
LogReturn_.NSEI,0.16403446899399257,0.16846149185420445,-0.107498807004398,-0.05582860108088135,-0.08071791676970518,-0.003799493646667653
LogReturn_.NIFMDCP100,0.2797682506211656,0.06601133401377801,-0.2223477352913845,-0.15827522355752816,-0.21630360707972013,-0.12790996952530226
LogReturn_.NIFSMCP100,0.31517175481035015,0.02261623144003068,-0.22224415692717533,-0.157753794377063,-0.23582839244431955,-0.1577823089361224
Return3m_.NSEI,0.2724298484609484,0.24194199396332694,-0.15945498557484297,0.026447334868844884,0.10642271957558672,0.17989625556112004
Return3m_.NIFMDCP100,0.4036417040664689,0.01348285679957317,-0.24552996254579232,-0.1636062348421318,-0.17470644395742396,-0.12102378171253504
Return3m_.NIFSMCP100,0.4303953455931843,-0.0434783423410581,-0.2907912506266674,-0.19705101864177804,-0.22246802279704056,-0.17191572622830095
Return6m_.NSEI,-0.18536761588048564,0.19566270847764627,0.10805422608910002,0.3509330767109395,0.33248626028958295,0.3419131974193022
Return6m_.NIFMDCP100,0.03752696256595697,-0.09422801512937971,-0.029866791464422213,0.0016678816062291701,-0.12510174857288825,-0.12272599253099596
Return6m_.NIFSMCP100,0.05257327266106169,-0.11989915851061218,-0.07153728927485363,0.029696732674796382,-0.13202534496784213,-0.11945532524181056
Return12m_.NSEI,-0.20551509211613309,0.3302844868820955,0.49346986895958356,0.23528712967804766,0.46060403257101834,0.43892598778568404
Return12m_.NIFMDCP100,0.04749495058741981,0.07434672673455817,0.27027204500631763,-0.16919353031384385,-0.008432862542317725,-0.04714259594104603
Return12m_.NIFSMCP100,0.06210648058866371,0.1094306800497251,0.20999740314246673,-0.07636993866999355,0.05160965651401991,0.035725816229792026
Drawdown3m_.NSEI,0.19281234776256564,0.18471781733263845,-0.14932968759154247,-0.09547766410271204,-0.05258638283154486,0.0055445896850041506
Drawdown3m_.NIFMDCP100,0.2536104775256856,-0.05625300160426145,-0.22455388413921878,-0.24811000569898037,-0.28000779377679147,-0.22710664946880837
Drawdown3m_.NIFSMCP100,0.23296808868166782,-0.01570184475671422,-0.18897637573882503,-0.18879834359925385,-0.21767893924964526,-0.16011930833618093
Drawdown6m_.NSEI,0.26226995126934477,0.20163972325317325,-0.11566269835582034,0.025617151511938212,0.07442219164832625,0.13219728046163043
Drawdown6m_.NIFMDCP100,0.3497233902290052,-0.1956453108511853,-0.233151534487601,-0.319272012939089,-0.3615714705521756,-0.3216008474817565
Drawdown6m_.NIFSMCP100,0.2500163296011105,-0.13819796434282136,-0.1697921283625035,-0.2425774330586884,-0.28474594320286456,-0.25037830948343764
Drawdown12m_.NSEI,-0.004200612576726941,0.3441638983974232,0.11300672100226215,0.2509209976573837,0.3389349288863695,0.37355261224856595
Drawdown12m_.NIFMDCP100,0.31998131303812505,-0.20951218829828536,-0.1914045699423002,-0.32175108790633883,-0.3582948985764204,-0.33542395816731085
Drawdown12m_.NIFSMCP100,0.28540742691821347,-0.20331020598465568,-0.1758282803622832,-0.3068547749658166,-0.34717084216344957,-0.32945763119265176
SemiStd3m_.NSEI,-0.09883002604368396,-0.1892930268596394,0.12700437019432434,-0.06620366314015763,-0.10160799742613191,-0.1469738118527934
SemiStd3m_.NIFMDCP100,-0.21029874568605436,0.2305953346429027,0.13575495318492256,0.21465652761665793,0.25150733570479544,0.2658741193776655
SemiStd3m_.NIFSMCP100,-0.14929205512623095,0.11091849054918422,0.07391503221680443,0.14463252256813158,0.13785837308181942,0.1407558703941607
SemiStd6m_.NSEI,0.3197478550304107,-0.17023381583939942,-0.19145816890287282,-0.3722633092618218,-0.3316426575581325,-0.32410084665496586
SemiStd6m_.NIFMDCP100,0.01336515747599346,0.34558563831925565,-0.06669904816206786,0.16128580175906357,0.1950261286272322,0.25172638385035867
SemiStd6m_.NIFSMCP100,0.1522089320365906,0.1685086729715988,-0.20934728336277708,-0.013426354619226803,-0.021638634312556887,0.03512044308061571
SemiStd12m_.NSEI,0.3728858363746001,-0.33680859097294585,-0.5920340026713257,-0.34749997726833426,-0.550550556049306,-0.5193801557614275
SemiStd12m_.NIFMDCP100,-0.012281204726976967,0.20752185292544525,-0.2517034353255163,0.30353594480196594,0.16630580914633508,0.2297898075356379
SemiStd12m_.NIFSMCP100,0.19320336598450832,-0.02151152371303903,-0.4566786824610273,0.01159930714500984,-0.173275372881965,-0.11583444449185079
