,Nifty_Div_Yield,Nifty_EPS,Nifty_PB,Nifty_PE,Nifty_CAPE,US_CAPE
MonthlyPrice_.NSEI,8.873061467418175e-05,0.00016736424419772078,0.00020348176886408886,6.212363956592526e-12,0.0,0.0
MonthlyPrice_.NIFMDCP100,0.0013626250893246095,0.0002688126015462089,0.0023321416292814146,3.8413716652030416e-14,3.1086244689504383e-15,0.0
MonthlyPrice_.NIFSMCP100,0.005199950013969001,0.0049773929061187605,0.0017997095562174437,1.8637225096540533e-10,3.499356360237016e-11,1.1968204205459188e-12
LogReturn_.NSEI,0.26524741778987737,0.2523861014436646,0.4670709853237769,0.706255093023636,0.5854920471470892,0.9795525754290753
LogReturn_.NIFMDCP100,0.054123119035065725,0.6557624184069069,0.12877525477995544,0.2826218395270532,0.13977286640717446,0.38627452370862025
LogReturn_.NIFSMCP100,0.029112467669922593,0.8787303061947787,0.1289580749367607,0.28423086754190097,0.10660333509780995,0.2841427225738631
Return3m_.NSEI,0.06102666963660108,0.09756909183896201,0.2790034012088185,0.8583824035876721,0.4715674050044827,0.22113500353926097
Return3m_.NIFMDCP100,0.00444197104890498,0.927529358654303,0.09254957942466868,0.2665142587035527,0.2349688798084104,0.4125619570558885
Return3m_.NIFSMCP100,0.002262303243123931,0.7691970853619745,0.04495062075034584,0.179457244228985,0.12856318674009448,0.24264767414011024
Return6m_.NSEI,0.20717308345298302,0.18260335596135535,0.46475920144258565,0.014461874843992861,0.020947427504076188,0.017379494314370802
Return6m_.NIFMDCP100,0.8000903338803051,0.5240973361551893,0.8402969682260852,0.9910233306881608,0.3968730149389752,0.40597037774498146
Return6m_.NIFSMCP100,0.7226774830665623,0.4169503451823391,0.6289677936512645,0.8411945619170083,0.3710481831182917,0.418689522355008
Return12m_.NSEI,0.16111612879903126,0.021864285370754466,0.0003653311304290252,0.10743306628974869,0.0009864985795469128,0.0018032612854466112
Return12m_.NIFMDCP100,0.748542448598811,0.6155214976141452,0.06318553189996634,0.2503006132194723,0.9546364067581079,0.7503476334604948
Return12m_.NIFSMCP100,0.6749608450329267,0.4590566983001447,0.1519767988210281,0.6059145730069595,0.7275628902240645,0.8095022827721878
Drawdown3m_.NSEI,0.1891861998720965,0.2087980801887901,0.3110557903191191,0.5185842489770618,0.7226110910365566,0.9701647021243529
Drawdown3m_.NIFMDCP100,0.08198011222534185,0.7041236147365795,0.12492739490642513,0.08906579306236395,0.053908866006807665,0.12058389057480468
Drawdown3m_.NIFSMCP100,0.11104414039856669,0.9156422779763671,0.19830983101152766,0.19874069344797207,0.13721099321715235,0.27697933130907026
Drawdown6m_.NSEI,0.07172941073193129,0.16933608024827262,0.4337184927381732,0.8627844569648597,0.6151620035183643,0.3704199889955784
Drawdown6m_.NIFMDCP100,0.014827109256591475,0.18264303071484145,0.11075515842404182,0.02697217685462605,0.011567214197825582,0.02581616382947205
Drawdown6m_.NIFSMCP100,0.08655799345747583,0.3488972816827485,0.24860395200702423,0.0966651208528635,0.049809797467148975,0.08608809323793909
Drawdown12m_.NSEI,0.9773944383807667,0.016608374711057028,0.4444202953690035,0.08538734433030415,0.018446368280782943,0.008916148116741462
Drawdown12m_.NIFMDCP100,0.0266155987581147,0.15294729984642874,0.19249909933838194,0.025743030712539472,0.012400460832051152,0.019774738681415993
Drawdown12m_.NIFSMCP100,0.0492581950531068,0.16575634588206922,0.2319294956216389,0.033889217975153985,0.01562363560251856,0.022217212553904186
SemiStd3m_.NSEI,0.5039391415959642,0.1975451244155746,0.3896739412385106,0.6548223544519174,0.4919652824368619,0.3188373131511717
SemiStd3m_.NIFMDCP100,0.15137635596016752,0.11483399725372512,0.35756518174260377,0.14288756413589554,0.08463525147189466,0.06777442750752805
SemiStd3m_.NIFSMCP100,0.31117913098314043,0.45293573846404,0.6175796850639101,0.32669164067754997,0.3500943783916699,0.33996135062116384
SemiStd6m_.NSEI,0.02673252518210001,0.24735703488738525,0.1923722157503578,0.00917361559878005,0.02129481564639213,0.02462158407481163
SemiStd6m_.NIFMDCP100,0.9281603318536473,0.016136394990035274,0.6524034559219392,0.2734487046215861,0.18405908274598448,0.08435561274544612
SemiStd6m_.NIFSMCP100,0.3017115459719062,0.2522513362097003,0.1532781696430463,0.9278322551870086,0.8839355226895458,0.8126717427687606
SemiStd12m_.NSEI,0.009048510036418156,0.01924152774502863,9.32537240605491e-06,0.015518927428435525,5.028170299370416e-05,0.00015511380029797905
SemiStd12m_.NIFMDCP100,0.9339732884322789,0.15697598987947248,0.08438487508339954,0.035968038661566615,0.25859525517853843,0.11614273948878062
SemiStd12m_.NIFSMCP100,0.18827327851094688,0.8846126839875894,0.0011035925895537257,0.9376318921640692,0.23888549531755543,0.4330314682100296
