,IND_VIX,US_VIX
MonthlyPrice_.NSEI,-0.4639046156500372,-0.20830785755782946
MonthlyPrice_.NIFMDCP100,-0.6184161487486755,-0.3413416014526371
MonthlyPrice_.NIFSMCP100,-0.6881411631232369,-0.4259317387582328
LogReturn_.NSEI,-0.35175840033175954,-0.40022511893312396
LogReturn_.NIFMDCP100,-0.2935164600601261,-0.29861458283041875
LogReturn_.NIFSMCP100,-0.3066902887236424,-0.2961279858691418
Return3m_.NSEI,-0.5997402034096508,-0.5278807209914618
Return3m_.NIFMDCP100,-0.3930072579536205,-0.37861931549735217
Return3m_.NIFSMCP100,-0.457299645773609,-0.4177311886381233
Return6m_.NSEI,-0.5685899572825958,-0.5541880910282839
Return6m_.NIFMDCP100,-0.3429936423276823,-0.4237479327213862
Return6m_.NIFSMCP100,-0.45741425154378257,-0.5093646387113957
Return12m_.NSEI,-0.3413238843205654,-0.36228898050773933
Return12m_.NIFMDCP100,-0.17841962632963393,-0.3137895502578754
Return12m_.NIFSMCP100,-0.34028232093946603,-0.40888139899038306
Drawdown3m_.NSEI,-0.5159570547738406,-0.49082796810918966
Drawdown3m_.NIFMDCP100,-0.3045840495937115,-0.3434473841888348
Drawdown3m_.NIFSMCP100,-0.39143837139087173,-0.39199238070669495
Drawdown6m_.NSEI,-0.5916589881765425,-0.6166301372818657
Drawdown6m_.NIFMDCP100,-0.3210532410956457,-0.4461895103407464
Drawdown6m_.NIFSMCP100,-0.39429333988452514,-0.4540173146983988
Drawdown12m_.NSEI,-0.6394213088696185,-0.6403128270690424
Drawdown12m_.NIFMDCP100,-0.3238548295878359,-0.43305220661172344
Drawdown12m_.NIFSMCP100,-0.3588059367000575,-0.4365420287057273
SemiStd3m_.NSEI,0.671296421601741,0.5501875578278719
SemiStd3m_.NIFMDCP100,0.328947540228402,0.2389864987055902
SemiStd3m_.NIFSMCP100,0.4400286368291755,0.30905542657300716
SemiStd6m_.NSEI,0.5661945197043822,0.5686530723288096
SemiStd6m_.NIFMDCP100,0.17590481420042767,0.2701344824316349
SemiStd6m_.NIFSMCP100,0.33709644235064984,0.35970996238502356
SemiStd12m_.NSEI,0.49794157734215044,0.3810933625400195
SemiStd12m_.NIFMDCP100,0.09840523223159159,0.11788994895140764
SemiStd12m_.NIFSMCP100,0.29655764380529226,0.1968920811943503
