,IND_VIX,US_VIX
MonthlyPrice_.NSEI,-1574.3217353723405,-1062.7985478723404
MonthlyPrice_.NIFMDCP100,-4813.594716312058,-3994.46319503546
MonthlyPrice_.NIFSMCP100,-2351.5369153368792,-2188.2390762411337
LogReturn_.NSEI,-0.03940533689059803,-0.0674055119910432
LogReturn_.NIFMDCP100,-0.041271098287046136,-0.06312553621159427
LogReturn_.NIFSMCP100,-0.059609866751958,-0.0865322670084729
Return3m_.NSEI,-0.10314460912590397,-0.1364896359028527
Return3m_.NIFMDCP100,-0.08829287760067221,-0.12788169051808954
Return3m_.NIFSMCP100,-0.1426442728931529,-0.19589839537444412
Return6m_.NSEI,-0.1282373506005032,-0.1879113633106212
Return6m_.NIFMDCP100,-0.10312113472762276,-0.19153568883602085
Return6m_.NIFSMCP100,-0.19374979570905557,-0.32437013066721176
Return12m_.NSEI,-0.12567030736704474,-0.20054028362181547
Return12m_.NIFMDCP100,-0.09856420728942962,-0.2606127067737866
Return12m_.NIFSMCP100,-0.24054166242855474,-0.43453901740586337
Drawdown3m_.NSEI,-0.045671668599984436,-0.06531954147684343
Drawdown3m_.NIFMDCP100,-0.03588660194165309,-0.06083673471952183
Drawdown3m_.NIFSMCP100,-0.06657908476798574,-0.10023803692902135
Drawdown6m_.NSEI,-0.05627764067635437,-0.08817991273853057
Drawdown6m_.NIFMDCP100,-0.04142444286758557,-0.08655247195069596
Drawdown6m_.NIFSMCP100,-0.07971635730792943,-0.1380005831886022
Drawdown12m_.NSEI,-0.07930330960151859,-0.11939246294449761
Drawdown12m_.NIFMDCP100,-0.05084025246190288,-0.10220639698414438
Drawdown12m_.NIFSMCP100,-0.09561328510660898,-0.1748900832767253
SemiStd3m_.NSEI,0.03173658543666551,0.03910543613223876
SemiStd3m_.NIFMDCP100,0.022910855225217394,0.02502467965255601
SemiStd3m_.NIFSMCP100,0.04730696963941861,0.049952941158897916
SemiStd6m_.NSEI,0.017549147275663726,0.026498314445328117
SemiStd6m_.NIFMDCP100,0.009099444190527068,0.021008626859670324
SemiStd6m_.NIFSMCP100,0.02697756403425346,0.04327942988924108
SemiStd12m_.NSEI,0.011495584694770586,0.013227097712999892
SemiStd12m_.NIFMDCP100,0.0034135755594887156,0.006148208849681285
SemiStd12m_.NIFSMCP100,0.015526573209807664,0.015497985304683375
