,IND_VIX,US_VIX
MonthlyPrice_.NSEI,0.0008967844398113378,0.1553758253851505
MonthlyPrice_.NIFMDCP100,2.8117480608269574e-06,0.01758009390907289
MonthlyPrice_.NIFSMCP100,6.492395243640203e-08,0.002541495719117881
LogReturn_.NSEI,0.014217114684290433,0.004823144041505634
LogReturn_.NIFMDCP100,0.042890248010131415,0.039243210071979506
LogReturn_.NIFSMCP100,0.03398985440955915,0.04098889050000798
Return3m_.NSEI,6.642952927293777e-06,0.00011533018947962326
Return3m_.NIFMDCP100,0.0057235947154026245,0.007963851379566789
Return3m_.NIFSMCP100,0.0010842793681826723,0.0031346740139124307
Return6m_.NSEI,2.4849339049781705e-05,4.376304679598597e-05
Return6m_.NIFMDCP100,0.017005613832767885,0.0026888686781290083
Return6m_.NIFSMCP100,0.0010807481098300542,0.00021776882170887468
Return12m_.NSEI,0.017586342894515106,0.01139130198526539
Return12m_.NIFMDCP100,0.2250122715227425,0.02986506626254748
Return12m_.NIFSMCP100,0.017957034306909536,0.003908631134629248
Drawdown3m_.NSEI,0.0001743915508807259,0.0003971756419409722
Drawdown3m_.NIFMDCP100,0.03530047459892116,0.0168506464588134
Drawdown3m_.NIFSMCP100,0.005937654388453728,0.00586128177478118
Drawdown6m_.NSEI,9.478465074597153e-06,3.0600441647266052e-06
Drawdown6m_.NIFMDCP100,0.026084196341269017,0.0014797301512643468
Drawdown6m_.NIFSMCP100,0.00555317041898129,0.0011898955817213341
Drawdown12m_.NSEI,9.978079171801824e-07,9.532328715256e-07
Drawdown12m_.NIFMDCP100,0.024737046478889635,0.0021093357439248006
Drawdown12m_.NIFSMCP100,0.012267214359391154,0.001922373350268014
SemiStd3m_.NSEI,1.768436077576041e-07,5.097876945803215e-05
SemiStd3m_.NIFMDCP100,0.022437314413709775,0.1018596638437963
SemiStd3m_.NIFSMCP100,0.0017504212042191991,0.03256633624499039
SemiStd6m_.NSEI,2.7352307115702246e-05,2.478633359825899e-05
SemiStd6m_.NIFMDCP100,0.23172313107708575,0.06332520484969906
SemiStd6m_.NIFSMCP100,0.01913221746293159,0.012034503889555515
SemiStd12m_.NSEI,0.0003166495945465808,0.007531758153152435
SemiStd12m_.NIFMDCP100,0.5057831406073616,0.42485636337283683
SemiStd12m_.NIFSMCP100,0.04068279002050734,0.17981543124203592
