,Ind_spread,Us_spread
MonthlyPrice_.NSEI,0.04512194379116318,0.06098411439244055
MonthlyPrice_.NIFMDCP100,0.010592307741251654,0.0483683906758207
MonthlyPrice_.NIFSMCP100,-0.3075987661755644,-0.28087524414176546
LogReturn_.NSEI,0.48685715464207413,0.31984570701264214
LogReturn_.NIFMDCP100,0.4923725295826606,0.41612640789532623
LogReturn_.NIFSMCP100,0.49621329017806026,0.3334609691487412
Return3m_.NSEI,0.6932396075773571,0.4516744906043591
Return3m_.NIFMDCP100,0.6955824445600368,0.5112678818412449
Return3m_.NIFSMCP100,0.6511826495132446,0.4391830526432687
Return6m_.NSEI,0.5920039140227287,0.53669803389772
Return6m_.NIFMDCP100,0.596353584697812,0.5738462838258352
Return6m_.NIFSMCP100,0.5518550352665399,0.5447338398591156
Return12m_.NSEI,0.23477507249498256,0.247807321526394
Return12m_.NIFMDCP100,0.23460419334925248,0.26084478330170485
Return12m_.NIFSMCP100,0.15417298405666457,0.17409132437984756
Drawdown3m_.NSEI,0.557414125396757,0.24485569759494225
Drawdown3m_.NIFMDCP100,0.5844026946160793,0.3722145171211302
Drawdown3m_.NIFSMCP100,0.5575181368480098,0.2570117148130045
Drawdown6m_.NSEI,0.6325023860935792,0.4707267472606209
Drawdown6m_.NIFMDCP100,0.6728720617992839,0.5548989711415906
Drawdown6m_.NIFSMCP100,0.5742799226487058,0.4597775824810496
Drawdown12m_.NSEI,0.4876595529238008,0.4512170539779247
Drawdown12m_.NIFMDCP100,0.5219483694007545,0.5103183193715262
Drawdown12m_.NIFSMCP100,0.39085075386141,0.4017149540620153
SemiStd3m_.NSEI,-0.7528737920666574,-0.34950977167467523
SemiStd3m_.NIFMDCP100,-0.8180989700667199,-0.5402739785865676
SemiStd3m_.NIFSMCP100,-0.6921641500226069,-0.35733831301856767
SemiStd6m_.NSEI,-0.5577107038331109,-0.47302499846193774
SemiStd6m_.NIFMDCP100,-0.621286079933396,-0.568378854659972
SemiStd6m_.NIFSMCP100,-0.45678248191366627,-0.4420642107052101
SemiStd12m_.NSEI,-0.01392235513978083,0.014318830994804837
SemiStd12m_.NIFMDCP100,-0.09786699684481734,-0.060815540605925596
SemiStd12m_.NIFSMCP100,0.11689606297427246,0.14055713091872035
