,Ind_spread,Us_spread
MonthlyPrice_.NSEI,33.83800199275358,26.06957336956523
MonthlyPrice_.NIFMDCP100,13.134144927536019,34.18795652173911
MonthlyPrice_.NIFSMCP100,-254.6772583695654,-132.56208641304346
LogReturn_.NSEI,0.048696373930603866,0.018236264562055682
LogReturn_.NIFMDCP100,0.059377338411732115,0.02860569345082848
LogReturn_.NIFSMCP100,0.07062091351651725,0.027052676445924788
Return3m_.NSEI,0.1339028654220886,0.04973159147858211
Return3m_.NIFMDCP100,0.16702188258798323,0.06997993971504692
Return3m_.NIFSMCP100,0.18607301725551642,0.07153629503244802
Return6m_.NSEI,0.18478216841973677,0.09549173333917468
Return6m_.NIFMDCP100,0.2373001452896927,0.13016374475996942
Return6m_.NIFSMCP100,0.25487386768788317,0.14341181962770072
Return12m_.NSEI,0.07904561272253474,0.04755982101843772
Return12m_.NIFMDCP100,0.10113745530599035,0.06410009873029872
Return12m_.NIFSMCP100,0.07124411616990824,0.04585832047571314
Drawdown3m_.NSEI,0.04590226766633543,0.011493880470156129
Drawdown3m_.NIFMDCP100,0.057238272000652575,0.02078106988941682
Drawdown3m_.NIFSMCP100,0.06592083180396456,0.017322752043581052
Drawdown6m_.NSEI,0.07244115569257388,0.030732109310286575
Drawdown6m_.NIFMDCP100,0.0925372843921393,0.0435009222854978
Drawdown6m_.NIFSMCP100,0.09986354671879477,0.04557549943571066
Drawdown12m_.NSEI,0.07722843755208984,0.040732991734072306
Drawdown12m_.NIFMDCP100,0.09899772201900131,0.055174588932530584
Drawdown12m_.NIFSMCP100,0.0813316485535396,0.047650439575020846
SemiStd3m_.NSEI,-0.03664631697601216,-0.009697678179446409
SemiStd3m_.NIFMDCP100,-0.04953737746869894,-0.018648397046066467
SemiStd3m_.NIFSMCP100,-0.053732515575792505,-0.01581276968598545
SemiStd6m_.NSEI,-0.02237513227401416,-0.010817851506437165
SemiStd6m_.NIFMDCP100,-0.03170339005583074,-0.016533023549954215
SemiStd6m_.NIFSMCP100,-0.03000669992000382,-0.01655367568670785
SemiStd12m_.NSEI,-0.00036429273059859177,0.00021357265741255146
SemiStd12m_.NIFMDCP100,-0.0029273132681139962,-0.001036926090856425
SemiStd12m_.NIFSMCP100,0.004910572115319004,0.00336577735079238
