,Ind_spread,Us_spread
MonthlyPrice_.NSEI,0.8341694510582898,0.7771198140242963
MonthlyPrice_.NIFMDCP100,0.9608216519930051,0.8224171647265508
MonthlyPrice_.NIFSMCP100,0.14368643611598686,0.18368442238185922
LogReturn_.NSEI,0.015834618542797108,0.12760449675941832
LogReturn_.NIFMDCP100,0.01451763318624133,0.043118851126833
LogReturn_.NIFSMCP100,0.013654620850820587,0.11130058027850787
Return3m_.NSEI,0.00017288068216170238,0.026715375705202105
Return3m_.NIFMDCP100,0.0001608695218038303,0.010667407995238687
Return3m_.NIFSMCP100,0.0005681011918521328,0.031780778588948566
Return6m_.NSEI,0.002307133902265557,0.006852675064336955
Return6m_.NIFMDCP100,0.002100364779617392,0.0033676388841270555
Return6m_.NIFSMCP100,0.005178225092733912,0.00591619308369018
Return12m_.NSEI,0.26947042905226826,0.2430017271587528
Return12m_.NIFMDCP100,0.26982923611050835,0.21828327914629608
Return12m_.NIFSMCP100,0.47196339155737554,0.41588492934582044
Drawdown3m_.NSEI,0.004657290937072789,0.24884180770224917
Drawdown3m_.NIFMDCP100,0.0027100950098135623,0.07327428764362076
Drawdown3m_.NIFSMCP100,0.004647980921937744,0.22536891058534647
Drawdown6m_.NSEI,0.0009117729478558267,0.020256190584205136
Drawdown6m_.NIFMDCP100,0.0003148203403542382,0.0048872428237378696
Drawdown6m_.NIFSMCP100,0.003338193250769894,0.023791544564441436
Drawdown12m_.NSEI,0.015637167499230387,0.02688865753415981
Drawdown12m_.NIFMDCP100,0.00889383596611748,0.010838299116787242
Drawdown12m_.NIFSMCP100,0.05896363856496323,0.05167906601988892
SemiStd3m_.NSEI,2.1852164170832467e-05,0.0941088577064233
SemiStd3m_.NIFMDCP100,1.0433089980832477e-06,0.006421717645584524
SemiStd3m_.NIFSMCP100,0.00017865136993444608,0.086479764148778
SemiStd6m_.NSEI,0.004630785647415259,0.019571179502183567
SemiStd6m_.NIFMDCP100,0.001194117311211329,0.0037581479614712254
SemiStd6m_.NIFSMCP100,0.02484061012510086,0.03054953508557512
SemiStd12m_.NSEI,0.9485186299492019,0.947054537202294
SemiStd12m_.NIFMDCP100,0.6491462691946266,0.7777208091589358
SemiStd12m_.NIFSMCP100,0.5864614868941684,0.5124087859947775
