,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,-0.3376643740132083,-0.2888232185660128,0.0806915231016055,-0.01925794702642261
MonthlyPrice_.NIFMDCP100,-0.3250436395217481,-0.24731974722360692,0.061738792759475525,0.014417629907389266
MonthlyPrice_.NIFSMCP100,-0.6173244546382928,-0.04539750771738414,0.05077959052332214,0.31062029523980345
LogReturn_.NSEI,0.01761914077843211,-0.4466671837437516,-0.22869363845296783,-0.3645322883364718
LogReturn_.NIFMDCP100,0.04311883095611389,-0.4738132347199488,-0.20914984917010235,-0.39514013395872905
LogReturn_.NIFSMCP100,-0.005528059205378724,-0.50358208983941,-0.16201470346048177,-0.4174377117376382
Return3m_.NSEI,-0.09315277132032221,-0.6649894915028064,-0.12422296101976843,-0.5183070114884201
Return3m_.NIFMDCP100,-0.03687073211733747,-0.6957261229747242,-0.1297154684365627,-0.5637885285744532
Return3m_.NIFSMCP100,-0.1064910580909059,-0.6746536638285164,-0.10265459709170119,-0.544583249281088
Return6m_.NSEI,-0.03649487665954933,-0.7350293089329901,-0.04576659045873779,-0.5232448584493026
Return6m_.NIFMDCP100,0.05961437376851088,-0.7335575195974313,-0.02749289452332257,-0.5521139139107966
Return6m_.NIFSMCP100,0.009594404101294947,-0.7061338525043469,0.01343633998469866,-0.5207156328316103
Return12m_.NSEI,-0.2457989390151111,-0.30148237963779206,-0.014126599889222661,-0.10376718552272446
Return12m_.NIFMDCP100,-0.17634260510572158,-0.31175221150368776,-0.01900600199631682,-0.12959554362387593
Return12m_.NIFSMCP100,-0.2660143262308415,-0.20406465129295243,-0.03438720686581122,-0.01528397785547179
Drawdown3m_.NSEI,-0.01176681377674888,-0.4976890144351891,-0.11105064970292684,-0.39106369047400763
Drawdown3m_.NIFMDCP100,0.020075519966262934,-0.5368710321012728,-0.14991729806160878,-0.4249282612546515
Drawdown3m_.NIFSMCP100,-0.0429626049336151,-0.5334748862481717,-0.1242488329310803,-0.4204734452223713
Drawdown6m_.NSEI,-0.1648835543953463,-0.6291024664273078,-0.176055097937565,-0.41219497845419134
Drawdown6m_.NIFMDCP100,-0.11543733714790885,-0.6407918334983452,-0.22949001464877616,-0.44007914884347715
Drawdown6m_.NIFSMCP100,-0.18256593930328513,-0.5874573256101071,-0.1699247991173115,-0.37881360220171406
Drawdown12m_.NSEI,-0.25628361925923654,-0.5177509178645007,-0.0790479795533493,-0.27299630014869447
Drawdown12m_.NIFMDCP100,-0.21716127464144064,-0.5268121476325303,-0.12152862078792243,-0.2831600606173523
Drawdown12m_.NIFSMCP100,-0.27043055025705315,-0.41498710997489174,-0.09737924746061456,-0.15976322588506192
SemiStd3m_.NSEI,0.12662376322977104,0.612910048734691,0.09459561395836452,0.4443135367832759
SemiStd3m_.NIFMDCP100,0.025078494356817374,0.6554898022863029,0.1474154968933509,0.5190618702918769
SemiStd3m_.NIFSMCP100,0.13767153928865586,0.5875312712502473,0.10482085404677782,0.44736716001867977
SemiStd6m_.NSEI,0.24145750169829558,0.5495316962792803,0.10602778478020379,0.30689064125566207
SemiStd6m_.NIFMDCP100,0.1188365790542579,0.5576415474002496,0.1590114071793677,0.3496838993132923
SemiStd6m_.NIFSMCP100,0.23508852180105955,0.45252110296352327,0.10957057246417756,0.2342834703483891
SemiStd12m_.NSEI,0.47357350630574513,0.08007058195722276,0.14540985858353742,-0.19712607364956872
SemiStd12m_.NIFMDCP100,0.4665330437284847,0.14235496539159986,0.19909438114341646,-0.16149693695800074
SemiStd12m_.NIFSMCP100,0.5337750262166483,-0.026519681927966176,0.175261951829598,-0.3001149525639916
