,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,0.044001685348020736,0.08756123465545218,0.6399084402824116,0.9112357290501631
MonthlyPrice_.NIFMDCP100,0.05307336343615554,0.14587681264182972,0.7205670274254157,0.933488120073374
MonthlyPrice_.NIFSMCP100,6.0578807295819104e-05,0.7926218172781527,0.7686702571866919,0.06520425074568736
LogReturn_.NSEI,0.9187632138179151,0.006316379560178609,0.17972735845870869,0.02882751743213885
LogReturn_.NIFMDCP100,0.8028204544637294,0.003510949991553991,0.220874507028596,0.01707241913831825
LogReturn_.NIFSMCP100,0.9744736602747981,0.0017423136765422065,0.345149892741623,0.011306924785933647
Return3m_.NSEI,0.588942712565097,9.683987375108671e-06,0.4703948796386923,0.0012029592438373982
Return3m_.NIFMDCP100,0.8309452282927487,2.4720051112758767e-06,0.4508373481654493,0.00034260047284484507
Return3m_.NIFSMCP100,0.5364707952920869,6.413261496085454e-06,0.551330345415344,0.0005950614932568321
Return6m_.NSEI,0.8326440615009583,3.307754783410388e-07,0.7909730559866819,0.0010584542885725412
Return6m_.NIFMDCP100,0.7298160228144062,3.5888305571774026e-07,0.8735383685277145,0.0004811329991405433
Return6m_.NIFSMCP100,0.9557114496909729,1.4978405873389278e-06,0.9380060086249304,0.0011304330018488962
Return12m_.NSEI,0.14845167837277895,0.07395504095819505,0.9348278239864114,0.5470011963311325
Return12m_.NIFMDCP100,0.303571145897511,0.06417963305720753,0.9123925029418269,0.45125961895202327
Return12m_.NIFSMCP100,0.11684316073945045,0.23256051841796999,0.8421841673775963,0.9295011233822903
Drawdown3m_.NSEI,0.9456968655343729,0.0020115642451197235,0.5190646064564188,0.018355924253977918
Drawdown3m_.NIFMDCP100,0.9074831951987132,0.0007359788633189979,0.3828234828698722,0.00978540747833101
Drawdown3m_.NIFSMCP100,0.8035208696447929,0.0008068966948262535,0.4703017198359456,0.010667726922125587
Drawdown6m_.NSEI,0.33655916749330816,3.961542420660713e-05,0.3043727974143633,0.012487302820967328
Drawdown6m_.NIFMDCP100,0.5025856983224339,2.553622485623741e-05,0.17817498267700427,0.007233708469490896
Drawdown6m_.NIFSMCP100,0.2865475200991181,0.0001653365663851769,0.32178476572113035,0.022707429887496966
Drawdown12m_.NSEI,0.13136005535521966,0.0012202754586720932,0.6467601275248842,0.10719307246708798
Drawdown12m_.NIFMDCP100,0.20329126069942904,0.000963817703009795,0.4801497574379838,0.09423916997289239
Drawdown12m_.NIFSMCP100,0.11066660722755062,0.011846328181438714,0.5720730747130447,0.35198453048086864
SemiStd3m_.NSEI,0.4617916398433901,7.07224082703295e-05,0.5831591061521109,0.006631910889211445
SemiStd3m_.NIFMDCP100,0.884566191763964,1.431572192056585e-05,0.39090396567029684,0.0011798004461780476
SemiStd3m_.NIFSMCP100,0.4233049525216721,0.00016494601933669806,0.5429161845364594,0.006225065523027817
SemiStd6m_.NSEI,0.15598427479195287,0.0005177956951851748,0.5382548952446731,0.06867176225258498
SemiStd6m_.NIFMDCP100,0.49000047679464,0.000410313891211489,0.35428486728292974,0.03656677519347018
SemiStd6m_.NIFSMCP100,0.16753019598776975,0.005586974043660264,0.524684092900453,0.16903212530671508
SemiStd12m_.NSEI,0.0035299407367128666,0.6424936442335591,0.39745276102886407,0.24917082979990401
SemiStd12m_.NIFMDCP100,0.004128916125957005,0.40754802030795156,0.24438052321936432,0.3467144339771284
SemiStd12m_.NIFSMCP100,0.0008003941585010832,0.8779808334018055,0.306591266561409,0.07533985185325864
