,Nifty_Div_Yield,Nifty_EPS,Nifty_PB,Nifty_PE,Nifty_CAPE,US_CAPE
MonthlyPrice_.NSEI,-0.667916365141267,0.2364084316408189,0.4750081490959599,0.6841424856990986,0.6616832494986833,0.47800938284241845
MonthlyPrice_.NIFMDCP100,-0.7133243092733583,0.18374232865471896,0.5059281812092399,0.7323553576748659,0.6969823766882128,0.5126093551957469
MonthlyPrice_.NIFSMCP100,-0.6734714660063137,-0.07627811854262868,0.6686071636427857,0.7526015049907647,0.8781006850076516,0.7388635117674467
LogReturn_.NSEI,0.25362023832618885,0.24178145119313302,-0.2608681938598601,-0.06603805331497616,-0.20559608351852704,-0.1465565762803722
LogReturn_.NIFMDCP100,0.23766878913917414,0.2637297059402299,-0.26621439222246407,-0.04357089212994305,-0.19049411963555596,-0.1429586073899383
LogReturn_.NIFSMCP100,0.22798173440598804,0.24775033107413644,-0.2072587101694738,-0.02582206197003858,-0.14174705349426334,-0.10266391232083756
Return3m_.NSEI,0.28739637375069815,0.3843053051909705,-0.24668859444775812,-0.024952414383103503,-0.04418361971940397,-0.05284314218885793
Return3m_.NIFMDCP100,0.19118830832122724,0.3845872339758145,-0.23459539598887844,0.04836810107249325,-0.011149784551361083,-0.05248328600515225
Return3m_.NIFSMCP100,0.21500253170539463,0.3420127141488279,-0.19608817492213884,0.027826766682111717,0.023496033184275757,-0.024847674969055596
Return6m_.NSEI,-0.16197038177696096,0.33198385536561154,-0.008496078827850983,0.3954270510503063,0.17906892031950336,0.08092629540125591
Return6m_.NIFMDCP100,-0.24833180391067092,0.3487135976888645,-0.01696508275044318,0.4484877400795892,0.1717921610726489,0.07387490683593839
Return6m_.NIFSMCP100,-0.22724710691901193,0.3109579455753718,0.0007749144220830967,0.42018841702855914,0.19640890656956503,0.10037232517118275
Return12m_.NSEI,-0.6283875795969434,0.036465905597765864,0.4515426145972472,0.8038224125839551,0.6194966878859975,0.5888192955898721
Return12m_.NIFMDCP100,-0.6620574020987935,0.0933970537542038,0.409170783686341,0.785845287735989,0.5857565667349576,0.519670333286383
Return12m_.NIFSMCP100,-0.6623616285792864,-0.0231398227736972,0.49464645425543785,0.8362997133778135,0.6602520235843377,0.6345426366079826
Drawdown3m_.NSEI,0.17467619837296489,0.24888672048259983,-0.20629044773437036,0.0654056831756924,-0.0764717356793153,0.018188621963955653
Drawdown3m_.NIFMDCP100,0.1335811976619135,0.25440126533619967,-0.21254533409847237,0.12094124339514464,-0.07276364914135718,0.033471654976092065
Drawdown3m_.NIFSMCP100,0.11295250474120025,0.24618676399395079,-0.1640353464366915,0.1330915208646825,-0.008040462767813127,0.0832711219492665
Drawdown6m_.NSEI,-0.0373532274573538,0.15183127073384464,-0.009940295714441244,0.37379790303633265,0.21505574564712343,0.26726919972827656
Drawdown6m_.NIFMDCP100,-0.025787870473790695,0.169002843975168,-0.044733644706508986,0.3907904485946039,0.18137914102065422,0.25002652830235506
Drawdown6m_.NIFSMCP100,-0.10195377592088978,0.1457487617445342,0.03086577398356323,0.4282586084228685,0.2666770741168204,0.3157152552068388
Drawdown12m_.NSEI,-0.30754179900413836,0.009270494175084966,0.22379430209428022,0.6106554758557737,0.4574855758342962,0.47944260724449766
Drawdown12m_.NIFMDCP100,-0.30943176850231235,0.008284233738981609,0.21143383862546722,0.6381237979915785,0.4442567046271634,0.48009690657903276
Drawdown12m_.NIFSMCP100,-0.4147260923264906,-0.05788597726016631,0.31560321194299784,0.7296800306589093,0.5521600102248695,0.6005710005035485
SemiStd3m_.NSEI,-0.22868303883507823,-0.21304933531393844,0.19232650335948592,-0.12028349212644983,-0.07460874566053273,-0.16919474681270585
SemiStd3m_.NIFMDCP100,-0.12708934276652056,-0.26561357459574647,0.19467890398269516,-0.23422350854775947,-0.07094053722763559,-0.16714686943315316
SemiStd3m_.NIFSMCP100,-0.08809029904959718,-0.2505491679023506,0.11702211769027723,-0.24205661363267425,-0.16173481834689893,-0.24281058563710636
SemiStd6m_.NSEI,0.19864976953791363,-0.09733863984943388,-0.11762401240984836,-0.5451171676648349,-0.3637673825189614,-0.3976360423596014
SemiStd6m_.NIFMDCP100,0.24134445844259694,-0.1249876390078713,-0.09157004860260366,-0.6050703571280847,-0.32550699614651923,-0.3862884391336377
SemiStd6m_.NIFSMCP100,0.3095120058410214,-0.07465916299745466,-0.18414709507686186,-0.6299727010504409,-0.435461466533843,-0.4842861123740172
SemiStd12m_.NSEI,0.5392016877114132,0.23511039534054692,-0.5377201950117728,-0.8149102987657791,-0.7402043366339374,-0.8104456331288762
SemiStd12m_.NIFMDCP100,0.49912026701900514,0.2121337117390054,-0.4919851539167622,-0.8131021979034593,-0.7211884565308626,-0.7938667432905099
SemiStd12m_.NIFSMCP100,0.5141468431866065,0.30906444725150345,-0.5715550459881127,-0.8136106737412991,-0.7694589527091906,-0.8697169269073519
