,Nifty_Div_Yield,Nifty_EPS,Nifty_PB,Nifty_PE,Nifty_CAPE,US_CAPE
MonthlyPrice_.NSEI,8.56119740855199e-06,0.16508848604777282,0.0034176091850210977,4.215377390703878e-06,1.1112542304125839e-05,0.0031926176012533336
MonthlyPrice_.NIFMDCP100,1.046285599715091e-06,0.28340020074389916,0.0016442644467977718,3.834542852132472e-07,2.329525585986758e-06,0.0013910808358290616
MonthlyPrice_.NIFSMCP100,6.750321496662437e-06,0.6583720079955482,8.314135814924128e-06,1.1967226520859242e-07,2.000621890374532e-12,2.6678761755327685e-07
LogReturn_.NSEI,0.1355567450231625,0.15541282904961018,0.12436262781281915,0.7019697158575795,0.22899800978172546,0.39370080717576195
LogReturn_.NIFMDCP100,0.16278091966214414,0.12013817583550956,0.11655787429610176,0.8007945620618886,0.2657703028962932,0.40554172762123764
LogReturn_.NIFSMCP100,0.1811231783327012,0.14515376148366688,0.2251725146771142,0.8811675566913841,0.40957420351328366,0.5512940326251989
Return3m_.NSEI,0.08920833471386058,0.020661181926637573,0.14694141885239853,0.8851426701936087,0.7980506940257004,0.7595412954617831
Return3m_.NIFMDCP100,0.2639995172907481,0.020560419306295596,0.16844904653988224,0.779377334562672,0.9485405393484119,0.761131002548749
Return3m_.NIFSMCP100,0.20793026902208744,0.04118272897065545,0.2517218548172102,0.8720151980240964,0.8918058526142212,0.8856216168541917
Return6m_.NSEI,0.3452836515757538,0.0479164164410979,0.9607772536225303,0.01698498699026918,0.29603607473995996,0.6389320824313391
Return6m_.NIFMDCP100,0.14418149737333463,0.03712625486072696,0.9217694602526247,0.006081244373808525,0.31641637588122706,0.6685110935426986
Return6m_.NIFSMCP100,0.18257159073102258,0.06489726852393662,0.9964211871258029,0.01072640684328996,0.2509316865357518,0.5602608103468429
Return12m_.NSEI,4.067014916131484e-05,0.8327750392172995,0.005703587925006026,3.5628329175807494e-09,5.6086892376683295e-05,0.00015827478796537342
Return12m_.NIFMDCP100,1.0941766891869875e-05,0.5879617349834605,0.013214385914326776,1.3620560901372869e-08,0.0001745513988438141,0.0011614201268443924
Return12m_.NIFSMCP100,1.0804673473918669e-05,0.8934367023691396,0.0021643379285420927,2.1452595255766482e-10,1.1788436922399725e-05,3.2365711507775785e-05
Drawdown3m_.NSEI,0.3082361991689109,0.14325809124824374,0.227395027859004,0.7046947927877341,0.6575577181854473,0.9161466093831281
Drawdown3m_.NIFMDCP100,0.43734063532395506,0.13431596627397058,0.21329925464006938,0.4822902524797845,0.673219194296248,0.8463352858070714
Drawdown3m_.NIFSMCP100,0.5118875841000126,0.1477919293950476,0.33908531863451086,0.4390378879141399,0.9628791460341277,0.6292135528365512
Drawdown6m_.NSEI,0.8287654988963242,0.3767081543517352,0.9541164387945658,0.024720559537120712,0.2078150416301059,0.11506239210169467
Drawdown6m_.NIFMDCP100,0.8813237908817713,0.32445606109562997,0.7955896426155591,0.018444765091958137,0.28974544221621734,0.1413750026800955
Drawdown6m_.NIFSMCP100,0.5540655143877768,0.39634176395010123,0.8581723218594723,0.009167068240392595,0.11590010948043172,0.060691938017643166
Drawdown12m_.NSEI,0.06805616644748325,0.9572052500954762,0.1894891123457958,7.647325469184452e-05,0.005026432209845888,0.0030897985811526585
Drawdown12m_.NIFMDCP100,0.06629393249776272,0.9617545264929883,0.21575898876307642,2.827349266421031e-05,0.006639694124910056,0.0030438257159937088
Drawdown12m_.NIFSMCP100,0.01190504364940792,0.7373687347348894,0.060788437656170036,4.4378862162908206e-07,0.0004805000671235238,0.0001077105432627512
SemiStd3m_.NSEI,0.17974808481645832,0.21219029708867176,0.2611129815957165,0.4846930679853725,0.6654088144107777,0.32389890401015453
SemiStd3m_.NIFMDCP100,0.46013301489527914,0.11741619179901064,0.255213421254596,0.16914437665039683,0.6809697195123914,0.3298752863613288
SemiStd3m_.NIFSMCP100,0.6094325162792424,0.14051764491106833,0.4966980416532971,0.1549286367854279,0.3459950902702842,0.1536075101759551
SemiStd6m_.NSEI,0.2454571443379121,0.5722341076577546,0.4944711672408346,0.000586258794602168,0.02919023267817833,0.01632432211224577
SemiStd6m_.NIFMDCP100,0.15618404056535096,0.4676455319419035,0.5953159370822032,9.257914827642821e-05,0.05271582257440377,0.019961045902128438
SemiStd6m_.NIFSMCP100,0.06621992020522716,0.6651958767718513,0.2823224776014759,3.836495454212496e-05,0.00794272547727859,0.0027633461451652686
SemiStd12m_.NSEI,0.0006905632922249438,0.1674895220614483,0.0007191342793502198,1.4521821523061362e-09,2.472494102789824e-07,2.0989894267131604e-09
SemiStd12m_.NIFMDCP100,0.0019430250658944992,0.21420790901772424,0.002306195238610753,1.6878107800266662e-09,6.979061857315116e-07,7.609998631252779e-09
SemiStd12m_.NIFSMCP100,0.001337926096021791,0.06663358709000633,0.0002713979026487401,1.6181929129999162e-09,4.157800725934635e-08,5.795808277753167e-12
