,Ind_spread,Us_spread
MonthlyPrice_.NSEI,-0.2759418977867033,-0.08716823668596829
MonthlyPrice_.NIFMDCP100,-0.04725455292423827,-0.029619781269532828
MonthlyPrice_.NIFSMCP100,0.11196133154187085,0.042351650140086496
LogReturn_.NSEI,0.019965679650243685,-0.16395752572337433
LogReturn_.NIFMDCP100,0.10112703069485324,-0.08637158628449414
LogReturn_.NIFSMCP100,0.11291815968329084,-0.012884397542271407
Return3m_.NSEI,0.19786339905404995,-0.15299038783819083
Return3m_.NIFMDCP100,0.2901046003948729,-0.0222020112207062
Return3m_.NIFSMCP100,0.29749585754903957,0.06756888169248607
Return6m_.NSEI,0.1288424709107547,-0.0927189384357005
Return6m_.NIFMDCP100,0.3356690470284277,0.0121850857403812
Return6m_.NIFSMCP100,0.30596420330569823,0.07053374407847292
Return12m_.NSEI,0.5434716213552044,0.33849300513705827
Return12m_.NIFMDCP100,0.6716763618751606,0.33397463350480616
Return12m_.NIFSMCP100,0.6163648289889269,0.30391191076822704
Drawdown3m_.NSEI,0.06796764050127103,-0.20318090571214392
Drawdown3m_.NIFMDCP100,0.22892657464249738,-0.07646954332594812
Drawdown3m_.NIFSMCP100,0.2818894226454615,-0.04459488025286502
Drawdown6m_.NSEI,0.1589779435570246,-0.17977173468340765
Drawdown6m_.NIFMDCP100,0.32286012044386364,-0.05114552961496456
Drawdown6m_.NIFSMCP100,0.41199518313800465,-0.04753170728597797
Drawdown12m_.NSEI,0.18803910377208036,-0.03150207955452321
Drawdown12m_.NIFMDCP100,0.4062678863601875,-0.06961311271064313
Drawdown12m_.NIFSMCP100,0.4964959539983381,-0.0646650560283346
SemiStd3m_.NSEI,-0.04680479968700785,0.1568673984621255
SemiStd3m_.NIFMDCP100,-0.28571893865008274,-0.011057932436640399
SemiStd3m_.NIFSMCP100,-0.33202029111469805,0.009112729875371704
SemiStd6m_.NSEI,0.12497724525969683,0.1883888815459202
SemiStd6m_.NIFMDCP100,-0.38627233873532546,-0.04728258117059968
SemiStd6m_.NIFSMCP100,-0.3605658206754765,-0.0005410054890165643
SemiStd12m_.NSEI,0.1362222378747833,-0.10072508596661457
SemiStd12m_.NIFMDCP100,-0.5631479992652669,-0.3511946652082524
SemiStd12m_.NIFSMCP100,-0.4637774492445647,-0.28785774296260075
