,Ind_spread,Us_spread
MonthlyPrice_.NSEI,0.03283474011196663,0.507803957105978
MonthlyPrice_.NIFMDCP100,0.7199446768805491,0.8222463396840047
MonthlyPrice_.NIFSMCP100,0.3943874879112741,0.7479847864868532
LogReturn_.NSEI,0.8796481709598558,0.2106482772895799
LogReturn_.NIFMDCP100,0.44199866211716277,0.5117047104450836
LogReturn_.NIFSMCP100,0.3903333599959644,0.9221652036138746
Return3m_.NSEI,0.12966384473818127,0.24320433128711771
Return3m_.NIFMDCP100,0.024546654535784418,0.866285088128496
Return3m_.NIFSMCP100,0.02097389957970841,0.6079770497319221
Return6m_.NSEI,0.32653731590258195,0.4810530911704376
Return6m_.NIFMDCP100,0.008743181305378878,0.9263777218444771
Return6m_.NIFSMCP100,0.017432514344082106,0.5922856979967901
Return12m_.NSEI,7.216780775864962e-06,0.008159731707235052
Return12m_.NIFMDCP100,4.236022199677336e-09,0.009110410035534366
Return12m_.NIFSMCP100,1.580040245308112e-07,0.01824015505183918
Drawdown3m_.NSEI,0.6058561636201931,0.11946682945587983
Drawdown3m_.NIFMDCP100,0.07850918910931282,0.5614280868421531
Drawdown3m_.NIFSMCP100,0.02910705038970196,0.7351127359003429
Drawdown6m_.NSEI,0.22502767083208353,0.16930514705390665
Drawdown6m_.NIFMDCP100,0.011868444396126332,0.6979480470116273
Drawdown6m_.NIFSMCP100,0.0010726365640876256,0.7183701144430956
Drawdown12m_.NSEI,0.15021437958122696,0.8111519195255887
Drawdown12m_.NIFMDCP100,0.0012779942345226836,0.597138694435214
Drawdown12m_.NIFSMCP100,5.467834859929077e-05,0.6235177901633175
SemiStd3m_.NSEI,0.7225022650022779,0.23132362407781804
SemiStd3m_.NIFMDCP100,0.026899847522317,0.9331716575846978
SemiStd3m_.NIFSMCP100,0.009550557755003908,0.9449072841658501
SemiStd6m_.NSEI,0.3413798007596798,0.1494434960141633
SemiStd6m_.NIFMDCP100,0.002300798756972089,0.7197853907836038
SemiStd6m_.NIFSMCP100,0.00465405746669556,0.9967267236165855
SemiStd12m_.NSEI,0.29935213704488706,0.44382444102929774
SemiStd12m_.NIFMDCP100,2.8119480872668134e-06,0.00593501164600907
SemiStd12m_.NIFSMCP100,0.00018988298229882794,0.025729572125285927
