,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,-0.6033090342631461,-0.749022218648443,0.18517666302476166,0.2781984052106106
MonthlyPrice_.NIFMDCP100,-0.5349310212889937,-0.558578957309336,0.1853657888213327,0.07561404977198156
MonthlyPrice_.NIFSMCP100,-0.46307114260652327,-0.35814075072678786,0.2014999910182586,-0.02712344013766627
LogReturn_.NSEI,-0.13076005436823057,-0.06600182151742018,-0.08745954348975818,0.03404504179016919
LogReturn_.NIFMDCP100,-0.19184444565733255,-0.09416506820700371,-0.06612111705353946,0.03084027675298507
LogReturn_.NIFSMCP100,-0.16890255666286536,-0.0517535504250603,-0.015088807599184172,0.026785572510148008
Return3m_.NSEI,-0.2166490677822511,-0.2848096875332175,-0.002749198419846528,0.04152477434492152
Return3m_.NIFMDCP100,-0.22440638932942775,-0.22432099298655017,0.04844841797715574,0.023600892721601294
Return3m_.NIFSMCP100,-0.16745152685920545,-0.1170561972541487,0.06589447461640026,0.02202644085343168
Return6m_.NSEI,-0.24184850169145375,-0.4408855089034794,-0.10401576479268816,-0.026986281883215855
Return6m_.NIFMDCP100,-0.1580888665975577,-0.314767990546639,-0.057764165985003474,-0.10337435789848338
Return6m_.NIFSMCP100,-0.19525408422430982,-0.2201675756726264,-0.014901051317849983,-0.030983258190587278
Return12m_.NSEI,0.28232989705023437,-0.20251295040012665,0.04867113462587592,-0.580673881329385
Return12m_.NIFMDCP100,0.29827942193208107,-0.08951788033876017,0.020344736690329407,-0.6224904787236764
Return12m_.NIFSMCP100,0.17619404087129703,-0.12615247273863153,0.06408830308203066,-0.5076474819943521
Drawdown3m_.NSEI,-0.11634678088823361,-0.2329759146557106,-0.0673612034244737,0.002258755720150582
Drawdown3m_.NIFMDCP100,-0.12939057941837853,-0.13809102575814092,-0.006424320753614239,-0.056036973237444936
Drawdown3m_.NIFSMCP100,-0.06571466789361517,-0.115348199529479,-0.04283442878994905,-0.07640837554013905
Drawdown6m_.NSEI,-0.07353950950258256,-0.3255274750200419,-0.1102373213223035,-0.06324444359828402
Drawdown6m_.NIFMDCP100,-0.11219429686898624,-0.1648402658386052,-0.002372633732747237,-0.09247775777221225
Drawdown6m_.NIFSMCP100,0.007796036245079256,-0.023232429129642684,-0.029544442105191138,-0.10917053914018963
Drawdown12m_.NSEI,0.054008049459475606,-0.3784910717655256,-0.06649631009609996,-0.2280146657504868
Drawdown12m_.NIFMDCP100,-0.02734750995354457,-0.26853673277367696,-0.12298666443886518,-0.22103887073988934
Drawdown12m_.NIFSMCP100,0.05625126096549735,-0.12054350735076828,-0.14923152149826943,-0.24729498633654806
SemiStd3m_.NSEI,0.14519226455528172,0.41458836440511715,-0.10212358658657171,-0.019121650082357167
SemiStd3m_.NIFMDCP100,0.05189806153698646,0.23172796727269176,-0.20908259709247143,0.1225991836797559
SemiStd3m_.NIFSMCP100,-0.030737139411630195,0.26673221145050025,-0.10312588614327194,0.11161432457749072
SemiStd6m_.NSEI,0.1976530847972356,0.5390448566057441,-0.04223363186984131,-0.05382501820364752
SemiStd6m_.NIFMDCP100,-0.08247148823714193,0.21482008096980823,0.009233445630618762,0.32082780761346036
SemiStd6m_.NIFSMCP100,-0.18641737976671563,0.22509494367220095,0.002219263320465234,0.2781794056059048
SemiStd12m_.NSEI,0.17012498068848378,0.6658372316142332,-0.09458819596814849,0.07946836874561235
SemiStd12m_.NIFMDCP100,-0.2721296881493575,0.08398018039997117,-0.002872926641173205,0.686094103373758
SemiStd12m_.NIFSMCP100,-0.2771856498621199,0.20833610920648127,-0.018674693365042797,0.5841143315293119
