,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,-1399.8663599400224,-1579.8870225988703,209219331920.904,285.3469632768362
MonthlyPrice_.NIFMDCP100,-1908.8464223059834,-1811.9339322033898,322085813898.305,119.27449152542373
MonthlyPrice_.NIFSMCP100,-780.6867030954954,-548.8673372881354,165414244101.6949,-20.213694915254216
LogReturn_.NSEI,-0.0161611246002934,-0.007415441108774424,-5263474.232594809,0.0018600397624593456
LogReturn_.NIFMDCP100,-0.028434333298024243,-0.012687271333379995,-4772026.104500624,0.002020616788719687
LogReturn_.NIFSMCP100,-0.02995923630152269,-0.00834486367978953,-1303221.5254105665,0.0021002322300806386
Return3m_.NSEI,-0.03820723510478014,-0.04565918194454054,-236082.43756713037,0.0032371881187571432
Return3m_.NIFMDCP100,-0.062165318530312874,-0.05648946305407279,6535237.188465885,0.0028901025061525407
Return3m_.NIFSMCP100,-0.058963412250468146,-0.03746903348467468,11298253.248296054,0.003428543740178085
Return6m_.NSEI,-0.059986794104774276,-0.09940830265949521,-12562620.102121433,-0.00295887878663788
Return6m_.NIFMDCP100,-0.06276588056699614,-0.11360501006842356,-11167337.88029743,-0.018142913742575716
Return6m_.NIFSMCP100,-0.09704197330170339,-0.0994712178464073,-3606161.823294698,-0.006807042290682411
Return12m_.NSEI,0.14530551448542722,-0.09474637664054607,12197350.570850518,-0.13210808257476897
Return12m_.NIFMDCP100,0.27142755779701294,-0.07404999255270882,9014705.193830548,-0.2504005220502149
Return12m_.NIFSMCP100,0.1825640305624115,-0.1188240497223954,32334904.373181064,-0.23251881789181145
Drawdown3m_.NSEI,-0.010374395779946458,-0.018884437300478302,-2924738.8014690704,8.903270667061845e-05
Drawdown3m_.NIFMDCP100,-0.01463341951537577,-0.014196889560706928,-353784.81694690086,-0.0028014940573755304
Drawdown3m_.NIFSMCP100,-0.008925830965280263,-0.014242352923733607,-2833010.1424642997,-0.004587744019619401
Drawdown6m_.NSEI,-0.007863404196070291,-0.03164186718882084,-5739675.393513383,-0.002989400602925864
Drawdown6m_.NIFMDCP100,-0.016913680053840738,-0.02258994735572249,-174167.38827722755,-0.006162777547943509
Drawdown6m_.NIFSMCP100,0.001413426894796206,-0.003828941270017388,-2608219.2967234924,-0.008749370891114432
Drawdown12m_.NSEI,0.007652936587159365,-0.04875395410004836,-4588132.779069349,-0.014282501358244649
Drawdown12m_.NIFMDCP100,-0.005320222410813278,-0.04748979365311853,-11650346.203357764,-0.01900870465326618
Drawdown12m_.NIFSMCP100,0.01293271420512389,-0.025193344442284753,-16706550.73153546,-0.02513301556320462
SemiStd3m_.NSEI,0.007199225177493785,0.01868718868318002,-2465682.4637512434,-0.00041912109084282274
SemiStd3m_.NIFMDCP100,0.0031402642129749517,0.012746122496852788,-6160298.379923986,0.003279249811737991
SemiStd3m_.NIFSMCP100,-0.0023182903176059365,0.018287924614789258,-3787397.40039683,0.0037213128322773556
SemiStd6m_.NSEI,0.007648366538835589,0.01896158272808374,-795778.7447255928,-0.0009207063785842482
SemiStd6m_.NIFMDCP100,-0.0034268263627376732,0.008114237707251833,186818.92674151284,0.005892941661168593
SemiStd6m_.NIFSMCP100,-0.00940469349377616,0.010323062790979267,54517.49481482733,0.006203761484061425
SemiStd12m_.NSEI,0.004577626440556985,0.016286393312731483,-1239304.4565299833,0.0009452320284123067
SemiStd12m_.NIFMDCP100,-0.00890369298423651,0.00249778836485123,-45770.704577516415,0.00992315579038766
SemiStd12m_.NIFSMCP100,-0.011484397193720035,0.007846691776620498,-376755.6293022886,0.010698113328665913
