,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,3.361771947485437e-07,5.872857755662153e-12,0.15663427753137027,0.031376114060139404
MonthlyPrice_.NIFMDCP100,1.0668664587987209e-05,3.5188291249710346e-06,0.156203953807863,0.5658283584868751
MonthlyPrice_.NIFSMCP100,0.00019479002419586777,0.004959676821643999,0.12262177986240097,0.8370131864746844
LogReturn_.NSEI,0.31932773015465843,0.616342831141385,0.5063813946942606,0.7962223423590562
LogReturn_.NIFMDCP100,0.14198502172528782,0.4742085234603133,0.6157042420519274,0.8150485499666622
LogReturn_.NIFSMCP100,0.1970217261920384,0.6945324329323821,0.9089007116453869,0.8390162304379847
Return3m_.NSEI,0.09637918232381892,0.0274107419142251,0.9833674957790188,0.7527470717570326
Return3m_.NIFMDCP100,0.08475507067267474,0.08487672891031472,0.7131704437887865,0.8579447865415823
Return3m_.NIFSMCP100,0.20095331169580222,0.3730862646201847,0.6169177009775058,0.86733290428443
Return6m_.NSEI,0.0626476290269864,0.00042234575638167016,0.42900080574085386,0.8378262041430466
Return6m_.NIFMDCP100,0.22766518136871605,0.014305139392698063,0.6611011749756002,0.4318679696641563
Return6m_.NIFSMCP100,0.1349020845704758,0.09096165496895336,0.9100295769325815,0.8142063083289981
Return12m_.NSEI,0.028845692541599632,0.12071303210338136,0.7119091203092682,1.1524046326094606e-06
Return12m_.NIFMDCP100,0.020622433182880595,0.4963882167103799,0.8773806791502299,1.0955221130259929e-07
Return12m_.NIFSMCP100,0.17809438360014607,0.33682308939226346,0.6266242849894383,3.472491925937682e-05
Drawdown3m_.NSEI,0.37600995839565043,0.07322893774286499,0.6090829071207402,0.9863343347765618
Drawdown3m_.NIFMDCP100,0.32446614715874267,0.29270850701742157,0.9611454270632649,0.6706441921007391
Drawdown3m_.NIFSMCP100,0.617881123850684,0.380148640555368,0.7452085958631929,0.561742170463019
Drawdown6m_.NSEI,0.576565301237896,0.011148050186976954,0.40175451701086384,0.6311810975957064
Drawdown6m_.NIFMDCP100,0.39339812455499956,0.2081683577834812,0.9856454337224259,0.4821996796906922
Drawdown6m_.NIFSMCP100,0.9528578121849698,0.8601401521778798,0.8226911315937457,0.4063530763588594
Drawdown12m_.NSEI,0.6819206765279879,0.0028646603910860158,0.6136976815898469,0.07973894299651896
Drawdown12m_.NIFMDCP100,0.8356853578257666,0.03802421664284905,0.34918507774724716,0.08965765922754754
Drawdown12m_.NIFSMCP100,0.6694573639165662,0.3589144700664608,0.2551153844525693,0.056786991404830456
SemiStd3m_.NSEI,0.26834845736931756,0.0009898403457007099,0.43749004883310194,0.8847005228837244
SemiStd3m_.NIFMDCP100,0.6937215127686374,0.07482516752022139,0.10887869945653339,0.35071716153804733
SemiStd3m_.NIFSMCP100,0.815656216625626,0.03938682059318466,0.43298156623469763,0.39586388145049023
SemiStd6m_.NSEI,0.1300802680725579,8.84942667744859e-06,0.7486639296186564,0.6829413955267678
SemiStd6m_.NIFMDCP100,0.5310186950309421,0.09929291717130395,0.9441786276385031,0.012443980115781406
SemiStd6m_.NIFSMCP100,0.15382715407918734,0.08377914718683699,0.98657324501,0.03138816573664638
SemiStd12m_.NSEI,0.19375236636078053,6.43345199335954e-09,0.4722157510909484,0.5461320976787265
SemiStd12m_.NIFMDCP100,0.035427273258332725,0.523504890410968,0.9826190594590727,1.4485299626443293e-09
SemiStd12m_.NIFSMCP100,0.03202392951658828,0.1101765582399663,0.8873778643566932,9.61349816863688e-07
