,Nifty_Div_Yield,Nifty_EPS,Nifty_PB,Nifty_PE,Nifty_CAPE,US_CAPE
MonthlyPrice_.NSEI,0.15267458284715513,0.10592242681428907,-0.09588556435078446,0.047679021338547095,-0.15781385033078524,0.8073143538058242
MonthlyPrice_.NIFMDCP100,-0.12259866681864756,0.0027435863303776923,0.15341569808498368,0.29436984351146944,0.16853849929550377,0.6028070585313391
MonthlyPrice_.NIFSMCP100,-0.2681141426785096,-0.06718204717356331,0.28298686427595393,0.41951552179665874,0.3260400421043473,0.4527922850230961
LogReturn_.NSEI,0.07676813460760783,-0.08799689966742526,-0.14178778405529274,-0.06851519419046204,-0.1591846359686766,0.01584367080987069
LogReturn_.NIFMDCP100,0.05967175128833549,-0.18487261823502246,-0.13495245998693947,-0.054154322284558506,-0.148077254153732,0.10442484706899795
LogReturn_.NIFSMCP100,0.06316518954598495,-0.20062675988974285,-0.12201557288490288,-0.03128893082749376,-0.15143689755448145,0.08605067930605069
Return3m_.NSEI,0.036597156207002046,-0.030917217465348975,-0.14695193455776423,-0.01625343512484591,-0.029145249276956647,0.24470906852553584
Return3m_.NIFMDCP100,-0.030298928854161775,-0.09704754912221052,-0.08114653500825646,0.019972071405128158,0.016042307745984658,0.27504553704228896
Return3m_.NIFSMCP100,-0.018654962466888886,-0.1227266795013767,-0.06822218241622528,0.040855703309795655,-0.008579305351440665,0.24199442592446835
Return6m_.NSEI,-0.11738615264227797,0.10761917773545122,0.022450557257341346,0.15450813341192657,0.07463239343599316,0.402553849673587
Return6m_.NIFMDCP100,-0.24639244148392087,0.051306180605608646,0.11449407080929327,0.20035486769602534,0.1819937180899694,0.3307029222537117
Return6m_.NIFSMCP100,-0.18468983705862446,0.0034984997376010987,0.07580606047663521,0.17364222000425486,0.11030222059423317,0.35404385657940335
Return12m_.NSEI,-0.5952594599051436,5.895422535643553e-05,0.4659900060913994,0.426153993710331,0.4658613332605267,0.14502578085024537
Return12m_.NIFMDCP100,-0.6758719504423062,-0.06256279085034747,0.5207296857895533,0.4775983644712607,0.5699532045155857,0.030763099341036663
Return12m_.NIFSMCP100,-0.6054854620165979,-0.046650683907575055,0.46626193788250925,0.4454185439787161,0.5145978269778657,0.11932708196725268
Drawdown3m_.NSEI,0.05546613690480772,-0.050691149686753,-0.16631342972523344,-0.08038563887303152,-0.13688367691277792,0.15140077896545262
Drawdown3m_.NIFMDCP100,-0.05113005095048649,-0.20111162097388713,-0.047329512927009175,0.005110784672769972,0.006623783648783594,0.13282725601325474
Drawdown3m_.NIFSMCP100,-0.05133397622726409,-0.18626227782961055,-0.045223849911495376,-0.005392466912421038,-0.007011208244053201,0.06998126720784215
Drawdown6m_.NSEI,-0.013969993728941275,0.014082194181626243,-0.13122291182908635,-0.03239771147180753,-0.08018014646963366,0.19960307015458767
Drawdown6m_.NIFMDCP100,-0.15087530454425258,-0.08485612377462082,-0.006721472516080035,0.06919203271043241,0.10326349152915283,0.15199470540467758
Drawdown6m_.NIFSMCP100,-0.15694492596113965,-0.06435885130459675,-0.0016471034766000442,0.05930425324815733,0.10640229693306966,0.00018496443140064389
Drawdown12m_.NSEI,-0.1544332613717919,0.06544241408607716,0.02538780312610658,0.12482417601610142,0.014068850120377195,0.2958316789080245
Drawdown12m_.NIFMDCP100,-0.2850995052842602,0.017036435869202077,0.1164336866991186,0.20288884838642787,0.19911666211240844,0.17251487529995893
Drawdown12m_.NIFSMCP100,-0.33051192523432976,0.04137772897904173,0.15471356994480237,0.22831081895159536,0.2463484683452025,0.023827924487085112
SemiStd3m_.NSEI,-0.009408008026114835,-0.06909931323279175,0.12187180119181608,0.0125878401747633,0.04470766704201459,-0.32596522840255027
SemiStd3m_.NIFMDCP100,0.17062596661199897,0.08020579310333131,-0.05289603555718142,-0.13200130786735784,-0.16223926090168517,-0.21160703832741778
SemiStd3m_.NIFSMCP100,0.11471887810826147,0.019415351727394323,0.003789681675755249,-0.05105786167835729,-0.05887078792628338,-0.1915587254835147
SemiStd6m_.NSEI,-0.03101704346009674,-0.21909921602433194,0.12371384962475394,-0.025939869484060987,0.08527815979188136,-0.4346386117659138
SemiStd6m_.NIFMDCP100,0.41399057328286815,-0.08753660974593543,-0.24011732954325363,-0.30707390863841805,-0.3454937535164805,-0.1233741026980915
SemiStd6m_.NIFSMCP100,0.31415779488272255,-0.1702104763537936,-0.13653108307699072,-0.17659160111636957,-0.16924737015426852,-0.13766119081166697
SemiStd12m_.NSEI,0.05901731933458443,-0.21000696516404507,-0.04398952569548692,-0.14530557138894484,0.04361829137023826,-0.6466865728631218
SemiStd12m_.NIFMDCP100,0.7191702855181548,0.050980983228908025,-0.5847553444557845,-0.6118265157294194,-0.655151539817757,-0.02498289401043967
SemiStd12m_.NIFSMCP100,0.5891297307519086,-0.13361366763865204,-0.4563488392897276,-0.4744370327806498,-0.4808077770128418,-0.14116108737098762
