,Nifty_Div_Yield,Nifty_EPS,Nifty_PB,Nifty_PE,Nifty_CAPE,US_CAPE
MonthlyPrice_.NSEI,29.631596101694964,14582.58883093221,-35.998761949152545,118.72549152542396,-564.8893333333335,1417.4779604519779
MonthlyPrice_.NIFMDCP100,-36.59320989830506,580.887183627127,88.57896323728816,1127.2919785762717,927.7775016949153,1627.7152254237287
MonthlyPrice_.NIFSMCP100,-37.80857790508472,-6720.200923230513,77.19389046779662,759.0091196033901,847.9524806779662,577.6369623728813
LogReturn_.NSEI,0.0007936317406914377,-0.6453031976252416,-0.0028354558482012147,-0.009087685197785978,-0.030350730233803868,0.0014817645105376137
LogReturn_.NIFMDCP100,0.000739782679056199,-1.625797201092857,-0.0032364001545751564,-0.008613840790037025,-0.033857406069663615,0.011711824615126981
LogReturn_.NIFSMCP100,0.0009371602800693136,-2.1114623124601373,-0.003501848603306823,-0.005956006093722453,-0.041437899099465186,0.011549833151260399
Return3m_.NSEI,0.0005398556869387918,-0.3235110703858354,-0.004193258941332303,-0.0030761240387056892,-0.007929176225374954,0.0326562071620766
Return3m_.NIFMDCP100,-0.0007020721980578349,-1.595135120102636,-0.003637227894133907,0.0059375318276491205,0.006855692003655424,0.05765599083212134
Return3m_.NIFSMCP100,-0.0005494515856039162,-2.564085132198616,-0.003886929760725957,0.015438890356547929,-0.004660334951404964,0.06448010731291702
Return6m_.NSEI,-0.002435402092252884,1.5838056228946646,0.0009010045090354476,0.041127611880237336,0.028556904593101826,0.07555498572032164
Return6m_.NIFMDCP100,-0.008182599142418775,1.2086261476247426,0.007355173555544085,0.08536741559047738,0.11146800995537288,0.09935443665328861
Return6m_.NIFSMCP100,-0.007677928174961843,0.10316711775636621,0.006096084911107076,0.09261572208096559,0.08456979107017426,0.133150697979234
Return12m_.NSEI,-0.025625543634399024,0.001800280277503908,0.038805154528582075,0.23537573264700773,0.3698736574940796,0.056480343796487274
Return12m_.NIFMDCP100,-0.051444224428185734,-3.377899466778691,0.07667090169377429,0.46640518793667324,0.8000946307387361,0.02118300782543077
Return12m_.NIFSMCP100,-0.052477033215984556,-2.8680186702223387,0.07817025913493368,0.49529299836853774,0.8225521791264642,0.0935599351968658
Drawdown3m_.NSEI,0.00041369275450242544,-0.2681887410201855,-0.0023995143309767267,-0.007692310453322292,-0.018829188921095846,0.010215589724104975
Drawdown3m_.NIFMDCP100,-0.00048368313631912905,-1.3495230036004133,-0.0008660895300519573,0.000620298376632301,0.001155635339532801,0.011367298353968297
Drawdown3m_.NIFSMCP100,-0.0005832205264718448,-1.5011054788773437,-0.000993897182760328,-0.0007860383311788949,-0.001469097829192147,0.007192751153795185
Drawdown6m_.NSEI,-0.00012494751899641142,0.08934292348777352,-0.00227032028427155,-0.0037176979308116724,-0.013225991101102435,0.016150425935110735
Drawdown6m_.NIFMDCP100,-0.0019025104216469368,-0.7590152101856682,-0.00016395299135748886,0.01119420651336059,0.024015168876780443,0.017338945528676833
Drawdown6m_.NIFSMCP100,-0.0023800623569954294,-0.6923213825456115,-4.8317891360120946e-05,0.011538656326722156,0.02975925223354694,2.537550041257323e-05
Drawdown12m_.NSEI,-0.0018304253423214911,0.5502105244369029,0.0005820795367188063,0.018981836367422327,0.0030753867213963106,0.031720585334479356
Drawdown12m_.NIFMDCP100,-0.004639273942228308,0.19664852883396702,0.003665035925002055,0.04235845114556867,0.05975732005908897,0.025396007120366142
Drawdown12m_.NIFSMCP100,-0.006356032464929458,0.5644481169064226,0.005755372181055425,0.056331822897719354,0.08737331115290033,0.004145438968087939
SemiStd3m_.NSEI,-3.901948317544185e-05,-0.20328997827413772,0.0009777618684827978,0.0006698281484626975,0.003419761324656244,-0.012230393950925473
SemiStd3m_.NIFMDCP100,0.0008635783237528317,0.2879524318611877,-0.000517875976157743,-0.008571625393677968,-0.015144066997417093,-0.009688846031687485
SemiStd3m_.NIFSMCP100,0.0007237370742995324,0.0868859585685958,4.624818505070785e-05,-0.004132728661913322,-0.006849765956813493,-0.01093284537124752
SemiStd6m_.NSEI,-0.00010039383614877743,-0.5030438910730093,0.0007745884287299952,-0.0010772159565997164,0.005090663916188503,-0.012726831472867881
SemiStd6m_.NIFMDCP100,0.0014388657487332923,-0.21581317295931576,-0.0016143561784047688,-0.01369307793343571,-0.022146238733198487,-0.003879173167338187
SemiStd6m_.NIFSMCP100,0.0013257072809580632,-0.5095003581981408,-0.0011144930640321984,-0.009560887022169515,-0.013171998899195611,-0.005255289693855259
SemiStd12m_.NSEI,0.00013282911959534358,-0.3352786651382469,-0.00019151779248765773,-0.004195893167038613,0.001810557905959031,-0.013167186781690113
SemiStd12m_.NIFMDCP100,0.0019681923623940663,0.0989697376854361,-0.0030956798473709213,-0.02148287702612066,-0.03306796949028297,-0.0006185344457719644
SemiStd12m_.NIFSMCP100,0.0020416907287572677,-0.32846440039342834,-0.0030592995282609304,-0.02109531127435473,-0.03073126624501704,-0.004425673276248159
