,Nifty_Div_Yield,Nifty_EPS,Nifty_PB,Nifty_PE,Nifty_CAPE,US_CAPE
MonthlyPrice_.NSEI,0.244190145801515,0.4205417286303832,0.4661337400873722,0.7175336708348823,0.228485363863137,6.661338147750939e-15
MonthlyPrice_.NIFMDCP100,0.35071920795442413,0.9834014438465086,0.2418809956460366,0.02242709078025018,0.19800295092714726,3.4584687091943067e-07
MonthlyPrice_.NIFSMCP100,0.03833976402842598,0.6100375883651328,0.02845953497941478,0.0008482202164359354,0.011014036904053004,0.0002806287700358734
LogReturn_.NSEI,0.5598960725215387,0.5037626443866419,0.27985246668525376,0.6029491473210484,0.2244175606852432,0.9043640044761359
LogReturn_.NIFMDCP100,0.650623507054616,0.1573279139675856,0.30392171877601215,0.6811053572105348,0.2588509528054539,0.4271778035842022
LogReturn_.NIFSMCP100,0.6316097724716161,0.12428558917681132,0.35303255541822454,0.8124064259716475,0.24808001656275636,0.5132803048732857
Return3m_.NSEI,0.781311718340038,0.8145952996668053,0.2625282024018254,0.9019025953278819,0.8250488331318349,0.05951160389606236
Return3m_.NIFMDCP100,0.8182392743801168,0.4607225677964788,0.5376610638451731,0.8796099279235139,0.9031707010444467,0.03342963669740806
Return3m_.NIFSMCP100,0.8874960846338351,0.3502125905365636,0.6045040155060053,0.7566072288496082,0.9481276357007551,0.06248449558471281
Return6m_.NSEI,0.3717311150583107,0.41309481885972366,0.8648021397619434,0.23850456984434798,0.5708973350209376,0.0014293972693357748
Return6m_.NIFMDCP100,0.057726223002909416,0.6970449922639101,0.3837101707199553,0.12480712411532124,0.1640084247878031,0.009857563328740993
Return6m_.NIFSMCP100,0.15774599368977915,0.978835187373589,0.564839340035372,0.18456234408502437,0.4014757418057069,0.005516260498964254
Return12m_.NSEI,5.266730407349485e-07,0.9996433049231959,0.00017523420895093622,0.0006863508128178708,0.00017605692822231234,0.2689035505498467
Return12m_.NIFMDCP100,3.119071445567556e-09,0.6348720046856711,1.9970400642721486e-05,0.00011395746830400455,2.000920003242257e-06,0.8155032552088888
Return12m_.NIFSMCP100,2.9711579174751535e-07,0.7233793639149064,0.00017350707595431558,0.0003621103876749743,2.5955390416498858e-05,0.3638199143176466
Drawdown3m_.NSEI,0.6738096588029197,0.7005044694243754,0.2040757732298839,0.5414939339609,0.2969895776091023,0.24819416265374183
Drawdown3m_.NIFMDCP100,0.6980350780347553,0.1233596552382672,0.7195187015086684,0.9690853802186317,0.9599400395741093,0.3116701646362636
Drawdown3m_.NIFSMCP100,0.6968887892961113,0.1541760213005381,0.7315163907921638,0.9673824133537439,0.9575990254808848,0.5951958993394064
Drawdown6m_.NSEI,0.9156300356356359,0.9149549105395249,0.31760283090218455,0.8058857902350722,0.5425313365091466,0.1262578485208088
Drawdown6m_.NIFMDCP100,0.2498588750580888,0.519166901727254,0.9593497218514155,0.599364220539107,0.43236464890931714,0.2463217100912507
Drawdown6m_.NIFSMCP100,0.23109021843537358,0.6251662561320215,0.9900346609497812,0.6526368967242018,0.418427868547558,0.9988808964456912
Drawdown12m_.NSEI,0.238734939898539,0.619341106314875,0.8473135488672339,0.3419761116612978,0.9150352004156872,0.021737252455592326
Drawdown12m_.NIFMDCP100,0.027247020017918677,0.8972017685849019,0.37565105793782116,0.12001050697115012,0.12720324844057518,0.1874730454585236
Drawdown12m_.NIFSMCP100,0.009902777269428231,0.7535949270464566,0.23787325734640108,0.0793379052892107,0.057772302888114746,0.8565926260314372
SemiStd3m_.NSEI,0.9431250261498851,0.5998547601565729,0.3536043915389975,0.9239513545832936,0.7344674207059241,0.011033510034332172
SemiStd3m_.NIFMDCP100,0.19242375447824855,0.5424018100330437,0.6881307727303332,0.3147154742293292,0.21553500072382348,0.10457677748968552
SemiStd3m_.NIFSMCP100,0.38277085005385425,0.8829418994723475,0.9770740831574725,0.6984410236892469,0.6550148680742869,0.14259095112133857
SemiStd6m_.NSEI,0.8140073244695276,0.09258079834051047,0.3463210086474009,0.8440343979470342,0.5170832984286,0.0005203002362823561
SemiStd6m_.NIFMDCP100,0.0010083984510318444,0.5060053924302217,0.06460925350138824,0.01700867229171954,0.006857373679711953,0.3476573071269109
SemiStd6m_.NIFSMCP100,0.014505159528506839,0.19352516939528286,0.2982474736000005,0.17710169060748693,0.19609556997042432,0.2942279849136338
SemiStd12m_.NSEI,0.6542106205054217,0.10728793193500441,0.7385794041618139,0.26797110621748366,0.7407079103290952,2.379365127147537e-08
SemiStd12m_.NIFMDCP100,9.640488407569592e-11,0.698873430614813,9.292099194535552e-07,2.0621963958689093e-07,1.3501110895930424e-08,0.8497202594788558
SemiStd12m_.NIFSMCP100,7.353376390017985e-07,0.30878827244122653,0.00024764677098998433,0.00012832146938013267,0.00010089857828887716,0.2820051662572256
