,IND_VIX,US_VIX
MonthlyPrice_.NSEI,-0.5682684783058508,-0.5105729176453183
MonthlyPrice_.NIFMDCP100,-0.5162649791687616,-0.290792768326582
MonthlyPrice_.NIFSMCP100,-0.4262356444065669,-0.1732882111546524
LogReturn_.NSEI,-0.25706470916506013,-0.2770518346989449
LogReturn_.NIFMDCP100,-0.20764782824078942,-0.29720051630350597
LogReturn_.NIFSMCP100,-0.10532145400647638,-0.2528390779389387
Return3m_.NSEI,-0.39582910445820096,-0.4299268311994731
Return3m_.NIFMDCP100,-0.3047094098844381,-0.30732504304114744
Return3m_.NIFSMCP100,-0.18536366282057612,-0.2759911756121073
Return6m_.NSEI,-0.569315515341882,-0.4436852140875894
Return6m_.NIFMDCP100,-0.4162221883441323,-0.23002003521257744
Return6m_.NIFSMCP100,-0.3277872232922766,-0.2173095808245108
Return12m_.NSEI,-0.2611259241556712,-0.21923202254257415
Return12m_.NIFMDCP100,-0.16919652802492716,-0.04585131447395299
Return12m_.NIFSMCP100,-0.19201442931122217,-0.09689418833685713
Drawdown3m_.NSEI,-0.5067284702496442,-0.40234209981819313
Drawdown3m_.NIFMDCP100,-0.34896578913465454,-0.24797074141638598
Drawdown3m_.NIFSMCP100,-0.24146061483821238,-0.20231275567878712
Drawdown6m_.NSEI,-0.5649500095706063,-0.4678594473722306
Drawdown6m_.NIFMDCP100,-0.4036163770393412,-0.21749262118461626
Drawdown6m_.NIFSMCP100,-0.2929807681807759,-0.1214974199072605
Drawdown12m_.NSEI,-0.6154216600001201,-0.519409964893996
Drawdown12m_.NIFMDCP100,-0.5081938826818045,-0.3028074710579184
Drawdown12m_.NIFSMCP100,-0.42371898655280144,-0.18252900044259626
SemiStd3m_.NSEI,0.5455889741885748,0.4137319409814003
SemiStd3m_.NIFMDCP100,0.38963421318110747,0.21413970150943815
SemiStd3m_.NIFSMCP100,0.3565464892745716,0.28887959376638317
SemiStd6m_.NSEI,0.5837371865386017,0.34220556400411817
SemiStd6m_.NIFMDCP100,0.3613435500139395,-0.01680674080714456
SemiStd6m_.NIFSMCP100,0.40371529272637097,0.09655433142772867
SemiStd12m_.NSEI,0.5323186313759856,0.5228931205422936
SemiStd12m_.NIFMDCP100,0.23236552161670254,-0.01631637138366504
SemiStd12m_.NIFSMCP100,0.33024875595201975,0.12243302388309785
