,IND_VIX,US_VIX
MonthlyPrice_.NSEI,-2530.9462288135596,-2928.309485875706
MonthlyPrice_.NIFMDCP100,-3536.1320423728803,-2564.8930305084746
MonthlyPrice_.NIFSMCP100,-1379.3085661016949,-722.1219301694916
LogReturn_.NSEI,-0.060984792258228844,-0.08463889167825739
LogReturn_.NIFMDCP100,-0.05907501174121347,-0.10888193505334988
LogReturn_.NIFSMCP100,-0.03585865241458936,-0.11085394775992084
Return3m_.NSEI,-0.13399207522836032,-0.18741130594397867
Return3m_.NIFMDCP100,-0.16202477044126148,-0.2104376035625517
Return3m_.NIFSMCP100,-0.12528546888489853,-0.24021556477617034
Return6m_.NSEI,-0.2710490405709001,-0.2720192621987997
Return6m_.NIFMDCP100,-0.31719780400622594,-0.22573580862121462
Return6m_.NIFSMCP100,-0.3127044898601338,-0.26696284217566935
Return12m_.NSEI,-0.2579632383502633,-0.278895603644948
Return12m_.NIFMDCP100,-0.2955321251195537,-0.10313234388865947
Return12m_.NIFSMCP100,-0.3818919191671541,-0.248161370911787
Drawdown3m_.NSEI,-0.08672940153342538,-0.08867809803933739
Drawdown3m_.NIFMDCP100,-0.0757545324414783,-0.06931960147549918
Drawdown3m_.NIFSMCP100,-0.06295282825776793,-0.06792381294986506
Drawdown6m_.NSEI,-0.11595313495156791,-0.12365672086553382
Drawdown6m_.NIFMDCP100,-0.11679351070432915,-0.0810446420307905
Drawdown6m_.NIFSMCP100,-0.10195797895223975,-0.05444763342848405
Drawdown12m_.NSEI,-0.16738826307293558,-0.18192498613100194
Drawdown12m_.NIFMDCP100,-0.18976846105671616,-0.14560994454028411
Drawdown12m_.NIFSMCP100,-0.18698981261962733,-0.10372937107293725
SemiStd3m_.NSEI,0.051926669352243694,0.050707684608318426
SemiStd3m_.NIFMDCP100,0.04525376751110092,0.03202762223319523
SemiStd3m_.NIFSMCP100,0.05161823404961576,0.05385594989830851
SemiStd6m_.NSEI,0.043357582593302475,0.03273140242310204
SemiStd6m_.NIFMDCP100,0.028819814295742603,-0.0017261726099976969
SemiStd6m_.NIFSMCP100,0.039094534923697286,0.012040442801002365
SemiStd12m_.NSEI,0.027493278441988577,0.0347774423393348
SemiStd12m_.NIFMDCP100,0.014593133105188321,-0.0013195634732403008
SemiStd12m_.NIFSMCP100,0.026264023326440625,0.012538583853876122
