,IND_VIX,US_VIX
MonthlyPrice_.NSEI,2.178320419155e-06,3.07445703513487e-05
MonthlyPrice_.NIFMDCP100,2.418205093523973e-05,0.02419366155170577
MonthlyPrice_.NIFSMCP100,0.0006845471509420165,0.1854728323792212
LogReturn_.NSEI,0.047391309642196955,0.03211035431993681
LogReturn_.NIFMDCP100,0.11138373365756005,0.021107686876112863
LogReturn_.NIFSMCP100,0.4231976478120112,0.05128575930585377
Return3m_.NSEI,0.0017449935755211587,0.0006073539039122
Return3m_.NIFMDCP100,0.01792260324121875,0.016913985203221626
Return3m_.NIFSMCP100,0.15620878630389323,0.03280229303362692
Return6m_.NSEI,2.0664163231653987e-06,0.00038415264978097774
Return6m_.NIFMDCP100,0.0009406793540842617,0.07705447354768258
Return6m_.NIFSMCP100,0.010567645660098268,0.09534345747836381
Return12m_.NSEI,0.04387994095008518,0.0923783065700381
Return12m_.NIFMDCP100,0.1962319344259047,0.7279343666755058
Return12m_.NIFSMCP100,0.14162545071065136,0.4614347784248385
Drawdown3m_.NSEI,3.607043165998469e-05,0.0014384954662121086
Drawdown3m_.NIFMDCP100,0.006281785860521305,0.05609190594863134
Drawdown3m_.NIFSMCP100,0.06308292829108164,0.12108845785294275
Drawdown6m_.NSEI,2.5715555045380256e-06,0.0001636715967752167
Drawdown6m_.NIFMDCP100,0.0013845190918593264,0.09505798059240833
Drawdown6m_.NIFSMCP100,0.023099676668037805,0.3550961255787555
Drawdown12m_.NSEI,1.670535807463125e-07,2.1138486959060288e-05
Drawdown12m_.NIFMDCP100,3.394709452519962e-05,0.018687838551564084
Drawdown12m_.NIFSMCP100,0.0007421566049670147,0.16275080370961126
SemiStd3m_.NSEI,6.539323611720604e-06,0.001016524286399978
SemiStd3m_.NIFMDCP100,0.002089477565431652,0.10039412165134554
SemiStd3m_.NIFSMCP100,0.005170095236914918,0.025185770853090483
SemiStd6m_.NSEI,9.807432486130807e-07,0.007444497652016935
SemiStd6m_.NIFMDCP100,0.0045596242824987865,0.8985804100391395
SemiStd6m_.NIFSMCP100,0.0013804062381399529,0.46301521306862736
SemiStd12m_.NSEI,1.1998340736951718e-05,1.8184190547776424e-05
SemiStd12m_.NIFMDCP100,0.07400625879152756,0.9015246249108506
SemiStd12m_.NIFSMCP100,0.009965370912445648,0.35137542041153536
