,Gold,Silver,Crude,BTC
MonthlyPrice_.NSEI,0.7894618377275492,0.7337864219569168,-0.6020540353119028,0.8547418247209785
MonthlyPrice_.NIFMDCP100,0.745044716352075,0.6920389580984873,-0.5384297272959023,0.8405210081021199
MonthlyPrice_.NIFSMCP100,0.6532287208133408,0.6022517307258145,-0.4469046272630482,0.7857232354604728
LogReturn_.NSEI,-0.022582463991413983,-0.00868638031420752,-0.018278034179149857,-0.09370408225213225
LogReturn_.NIFMDCP100,-0.11608738689670084,-0.08692672749560482,0.047929518942140245,-0.22018945658707337
LogReturn_.NIFSMCP100,-0.16158256634550403,-0.1376215833440411,0.12034946529885822,-0.2686801038889883
Return3m_.NSEI,-0.09053116868220246,-0.08905647363033849,0.0020201416880013118,-0.15154887080878326
Return3m_.NIFMDCP100,-0.25843863126285505,-0.2312449363712629,0.19839909748046788,-0.294057010415993
Return3m_.NIFSMCP100,-0.31120265131437713,-0.2832097743500357,0.2634780487028307,-0.3259226516480618
Return6m_.NSEI,-0.22202642591306748,-0.1422984489330244,0.3670261614361594,-0.1798264508344347
Return6m_.NIFMDCP100,-0.3822110127456394,-0.28581424619554213,0.5180110483584444,-0.365839179933519
Return6m_.NIFSMCP100,-0.4216671964680604,-0.3279370929338766,0.5592496810473196,-0.39504292126076196
Return12m_.NSEI,-0.35100845307549255,-0.3324295980524293,0.3265216650135215,-0.2131119041157336
Return12m_.NIFMDCP100,-0.4736554584326792,-0.4371626956532391,0.5100935943700035,-0.3098745621805453
Return12m_.NIFSMCP100,-0.4268976932373083,-0.395619816224072,0.5148472301241409,-0.2450300584279196
Drawdown3m_.NSEI,0.014142753020162649,0.028529127010256432,0.015100955748942352,-0.07192816668226559
Drawdown3m_.NIFMDCP100,-0.1385893115733212,-0.08566562078995556,0.1206685437499753,-0.22475076794527615
Drawdown3m_.NIFSMCP100,-0.16156899674627437,-0.11008273298228535,0.11368953437146678,-0.24718245847741532
Drawdown6m_.NSEI,-0.00658514101845178,0.026534667695971702,0.049816959062659254,-0.10641030366143886
Drawdown6m_.NIFMDCP100,-0.21428485397221292,-0.12808329604297836,0.20958746601174832,-0.29671741820636577
Drawdown6m_.NIFSMCP100,-0.38917784898358865,-0.2893202308294713,0.3634985723404257,-0.3928686119833658
Drawdown12m_.NSEI,-0.15513433664168033,-0.049832446736787134,0.22886561239617997,-0.23873668770002493
Drawdown12m_.NIFMDCP100,-0.29693957621542444,-0.16759875144801245,0.31026502176414233,-0.36737870053976507
Drawdown12m_.NIFSMCP100,-0.3519597148338959,-0.24155139007914617,0.35005093999657094,-0.33991764249308143
SemiStd3m_.NSEI,0.10051555134508669,0.028771221913853524,-0.14184969325217786,0.14395081965933995
SemiStd3m_.NIFMDCP100,0.3015335402744459,0.1888616931297706,-0.32848076099374107,0.35560166776135194
SemiStd3m_.NIFSMCP100,0.35760260402361893,0.2585671641264223,-0.2870541222792407,0.3960769407666053
SemiStd6m_.NSEI,0.23415443531543095,0.09378767689705016,-0.3917338449813104,0.2828457320041468
SemiStd6m_.NIFMDCP100,0.5185357107572771,0.33366820598463676,-0.5879266910143943,0.5942539484921034
SemiStd6m_.NIFSMCP100,0.6090129174228257,0.4518333850689716,-0.6076585460704439,0.618445314175841
SemiStd12m_.NSEI,0.4175113957291026,0.346245236711931,-0.5108865177425607,0.2963128775089049
SemiStd12m_.NIFMDCP100,0.7524182004674884,0.6687868443299145,-0.7318904518442183,0.6231181730404517
SemiStd12m_.NIFSMCP100,0.6556641796311318,0.6045806619620948,-0.6332403035487307,0.47189718254446367
