,Gold,Silver,Crude,BTC
MonthlyPrice_.NSEI,1.7366911020388898e-08,5.29011223271425e-07,0.00013011599013856845,6.383915618357605e-11
MonthlyPrice_.NIFMDCP100,2.8458741652137576e-07,4.126497512579874e-06,0.0008481223800109738,2.666586951249883e-10
MonthlyPrice_.NIFSMCP100,2.0996782571502948e-05,0.00012927958401975914,0.007114360166134537,2.2529498933110403e-08
LogReturn_.NSEI,0.8975444501293581,0.9605018293972263,0.9169981618085774,0.5923674998318007
LogReturn_.NIFMDCP100,0.5066320399756403,0.6195202724734341,0.784535000301587,0.203722694103877
LogReturn_.NIFSMCP100,0.3537541292433648,0.4304782855199869,0.4910443571672569,0.11860421234052332
Return3m_.NSEI,0.605014743920997,0.610931893894429,0.9908107493315754,0.384820239834192
Return3m_.NIFMDCP100,0.13386971374509837,0.18136028574649465,0.2532380378045813,0.08641389492908069
Return3m_.NIFSMCP100,0.06880151412157498,0.09923125285119005,0.12618664747306885,0.05604339188806606
Return6m_.NSEI,0.19988035274780547,0.41482213103192356,0.030095940300890467,0.3012822022035828
Return6m_.NIFMDCP100,0.023459263044330214,0.09602932497367078,0.0014357218364156044,0.030673717296938463
Return6m_.NIFSMCP100,0.01163896538813014,0.05445430813421637,0.0004786308628028646,0.01884103947844884
Return12m_.NSEI,0.03868916373870657,0.05103944087603396,0.055567063950844764,0.21900484351000493
Return12m_.NIFMDCP100,0.004051936941743994,0.00864015029473797,0.0017456520549317123,0.07005613758760632
Return12m_.NIFSMCP100,0.01054112931771467,0.018652663946985282,0.001553229674128076,0.15598523714473322
Drawdown3m_.NSEI,0.9357323040553815,0.8707673546136026,0.931387952492176,0.681357688563176
Drawdown3m_.NIFMDCP100,0.4272121929588173,0.6246293301292334,0.48988736754075135,0.19427531796331987
Drawdown3m_.NIFSMCP100,0.35379509307538926,0.52900598880005,0.5155094024445299,0.15226779977374583
Drawdown6m_.NSEI,0.9700514907664286,0.8797339159820527,0.7762616666668203,0.5429219843327198
Drawdown6m_.NIFMDCP100,0.21641939258137177,0.4633999192485134,0.2269004790276974,0.0834742810278224
Drawdown6m_.NIFSMCP100,0.020847835724677966,0.09184434416605014,0.03183964933164707,0.019565339882460453
Drawdown12m_.NSEI,0.37354108539950337,0.7761938772755592,0.18601955503267242,0.16723052556358753
Drawdown12m_.NIFMDCP100,0.08323234615825448,0.3358748358284285,0.06968543347515421,0.029926065806810342
Drawdown12m_.NIFSMCP100,0.038128698531248784,0.16213139261709797,0.03926003370894149,0.04572948282387812
SemiStd3m_.NSEI,0.5656160580119893,0.8696800148162045,0.416310293509643,0.4093684649556484
SemiStd3m_.NIFMDCP100,0.07834982679258617,0.27723226549627755,0.05403163818623047,0.03604345709911527
SemiStd3m_.NIFSMCP100,0.03493786047516534,0.13366956234696015,0.09453301305825557,0.01850451534863673
SemiStd6m_.NSEI,0.17577583848882594,0.5920358609419045,0.019952465602641967,0.09968519926014263
SemiStd6m_.NIFMDCP100,0.0014170096700159007,0.05012865779797071,0.00020407765400531908,0.0001672545612738663
SemiStd6m_.NIFSMCP100,0.00010342397673634984,0.00643458190834445,0.00010819571546827333,7.510669551402671e-05
SemiStd12m_.NSEI,0.012578784430328005,0.04159677972089537,0.0017121729704610011,0.08391622903626916
SemiStd12m_.NIFMDCP100,1.863167957694145e-07,1.1252908523440297e-05,5.854565290341895e-07,6.38516846265258e-05
SemiStd12m_.NIFSMCP100,1.9088186743010382e-05,0.00011978342508256468,4.451275450478853e-05,0.004210445317698985
