,Ind_spread,Us_spread
MonthlyPrice_.NSEI,0.4334951374860354,0.8094666247427298
MonthlyPrice_.NIFMDCP100,0.36913353113009106,0.7883481300344943
MonthlyPrice_.NIFSMCP100,0.2658971354247792,0.7271649309965702
LogReturn_.NSEI,-0.035826604695345224,-0.09125751697331677
LogReturn_.NIFMDCP100,-0.06525267381727996,-0.21833681222496973
LogReturn_.NIFSMCP100,-0.08827372452589755,-0.24356149072768815
Return3m_.NSEI,-0.03440407494610759,-0.140340852417424
Return3m_.NIFMDCP100,-0.12724343272042107,-0.31339750021913165
Return3m_.NIFSMCP100,-0.16229690054584744,-0.33607195042447424
Return6m_.NSEI,-0.18511955156902948,-0.2653994831948789
Return6m_.NIFMDCP100,-0.3220884064570114,-0.4006576683443389
Return6m_.NIFSMCP100,-0.35196146053175337,-0.40406795523833733
Return12m_.NSEI,-0.5795657085463372,-0.292509276015976
Return12m_.NIFMDCP100,-0.6625903484387411,-0.39476126061066646
Return12m_.NIFSMCP100,-0.6341431260877667,-0.3352936903963439
Drawdown3m_.NSEI,0.0019977205034107243,-0.1042662635747915
Drawdown3m_.NIFMDCP100,-0.04200615828068765,-0.27606047513049287
Drawdown3m_.NIFSMCP100,-0.09587634672962095,-0.25934859636285595
Drawdown6m_.NSEI,0.030034604919203352,-0.11040072733282463
Drawdown6m_.NIFMDCP100,-0.05748123091868554,-0.31998140595473246
Drawdown6m_.NIFSMCP100,-0.2610133837361738,-0.4155024722623385
Drawdown12m_.NSEI,-0.05910397132425544,-0.25771522104841454
Drawdown12m_.NIFMDCP100,-0.11167897064401602,-0.39724106533122444
Drawdown12m_.NIFSMCP100,-0.2724500996379043,-0.3719088051105524
SemiStd3m_.NSEI,-0.019127629440819808,0.1997878741666286
SemiStd3m_.NIFMDCP100,0.06689338763118487,0.40922595830052744
SemiStd3m_.NIFSMCP100,0.14697469945974362,0.38980619335828653
SemiStd6m_.NSEI,0.1987420019856128,0.3705337806504237
SemiStd6m_.NIFMDCP100,0.37403334716039577,0.6439349358584465
SemiStd6m_.NIFSMCP100,0.4834661961457097,0.6176004282914356
SemiStd12m_.NSEI,0.6290036758317255,0.38240643518221024
SemiStd12m_.NIFMDCP100,0.819005880183862,0.7105988043245445
SemiStd12m_.NIFSMCP100,0.7962303756818567,0.5648237822537283
