,Ind_spread,Us_spread
MonthlyPrice_.NSEI,300.9820244957984,1083.276631512605
MonthlyPrice_.NIFMDCP100,938.9081456722694,3864.9310491596652
MonthlyPrice_.NIFSMCP100,225.35142004201683,1187.855643697479
LogReturn_.NSEI,-0.00029735451434402717,-0.0014598950337768011
LogReturn_.NIFMDCP100,-0.0007891427634688556,-0.00508942044724771
LogReturn_.NIFSMCP100,-0.0013108781723598347,-0.006971457808325367
Return3m_.NSEI,-0.0005431685991090887,-0.004270640153929105
Return3m_.NIFMDCP100,-0.0031786092733953955,-0.015089727471446794
Return3m_.NIFSMCP100,-0.004867731488411762,-0.019428208395677705
Return6m_.NSEI,-0.0033928258819312866,-0.00937547876812096
Return6m_.NIFMDCP100,-0.01112303712775907,-0.02666894602274597
Return6m_.NIFSMCP100,-0.01529430227563514,-0.03384332830536579
Return12m_.NSEI,-0.015656380883345197,-0.015230439596764482
Return12m_.NIFMDCP100,-0.037668980033573024,-0.043257098108343696
Return12m_.NIFSMCP100,-0.04849552132839967,-0.0494223990507275
Drawdown3m_.NSEI,1.1024460873004378e-05,-0.0011090485110460317
Drawdown3m_.NIFMDCP100,-0.00036113135266818236,-0.004574467644822561
Drawdown3m_.NIFSMCP100,-0.001061289758464213,-0.00553338000907751
Drawdown6m_.NSEI,0.000272317951624492,-0.0019293471668189912
Drawdown6m_.NIFMDCP100,-0.0006407576766658603,-0.006875061691998582
Drawdown6m_.NIFSMCP100,-0.0035422971172778483,-0.010868758025403642
Drawdown12m_.NSEI,-0.000551079428957998,-0.004631500390309266
Drawdown12m_.NIFMDCP100,-0.00134842853001788,-0.009244741398726209
Drawdown12m_.NIFSMCP100,-0.004107575653678869,-0.010807348582612685
SemiStd3m_.NSEI,-6.645994458171789e-05,0.0013379874810371664
SemiStd3m_.NIFMDCP100,0.00036871271667473745,0.004347626223055796
SemiStd3m_.NIFSMCP100,0.001005449420084367,0.005139850429489132
SemiStd6m_.NSEI,0.0005086112497578112,0.0018277138728129384
SemiStd6m_.NIFMDCP100,0.0016943465523617791,0.0056223516664943955
SemiStd6m_.NIFSMCP100,0.0027497699403036644,0.006770518573240928
SemiStd12m_.NSEI,0.0010022149224756139,0.0011744025144536814
SemiStd12m_.NIFMDCP100,0.0026922695207600056,0.004502358638241118
SemiStd12m_.NIFSMCP100,0.003669363378260341,0.0050170572196083
